pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,4,637,0,159.25,1282.75,1
2,EXTEND,48,8192,0,170.67,97.65,1
3,EXTEND,104,8192,0,164.85,70.14,1
4,EXTEND,39,3169,0,168.64,36.68,1
5,DECODE,193,0,193,168.63,19.56,1
6,DECODE,193,0,193,169.63,5.98,1
7,DECODE,193,0,193,170.63,5.65,1
8,DECODE,193,0,193,171.63,5.63,1
9,DECODE,193,0,193,172.63,5.63,1
10,DECODE,193,0,193,173.63,6.35,1
11,DECODE,193,0,193,174.63,5.60,1
12,DECODE,193,0,193,175.63,5.60,1
13,DECODE,193,0,193,176.63,5.61,1
14,DECODE,193,0,193,177.63,6.15,1
15,DECODE,193,0,193,178.63,5.60,1
16,DECODE,193,0,193,179.63,5.63,1
17,DECODE,193,0,193,180.63,5.59,1
18,DECODE,193,0,193,181.63,5.69,1
19,DECODE,193,0,193,182.63,5.62,1
20,DECODE,193,0,193,183.63,5.57,1
21,DECODE,193,0,193,184.63,5.60,1
22,DECODE,193,0,193,185.63,5.60,1
23,DECODE,193,0,193,186.63,5.58,1
24,DECODE,193,0,193,187.63,5.59,1
25,DECODE,191,0,191,188.51,6.92,1
26,EXTEND,20,1264,0,165.50,20.38,1
27,DECODE,211,0,211,187.33,6.62,1
28,DECODE,211,0,211,188.33,5.75,1
29,DECODE,204,0,204,189.47,6.69,1
30,EXTEND,12,663,0,175.92,17.88,1
31,DECODE,213,0,213,189.62,5.73,1
32,EXTEND,6,226,0,152.00,20.64,1
33,DECODE,215,0,215,189.22,5.74,1
34,EXTEND,5,281,0,159.60,22.66,1
35,DECODE,213,0,213,189.56,5.74,1
36,EXTEND,6,354,0,145.00,18.71,1
37,DECODE,216,0,216,189.44,5.73,1
38,EXTEND,4,142,0,150.50,19.06,1
39,DECODE,217,0,217,189.63,6.61,1
40,EXTEND,4,170,0,163.00,19.02,1
41,DECODE,216,0,216,189.90,6.00,1
42,EXTEND,5,332,0,186.20,17.50,1
43,DECODE,214,0,214,190.98,5.74,1
44,EXTEND,1,1,0,197.00,65.09,1
45,DECODE,213,0,213,191.85,5.72,1
46,DECODE,213,0,213,192.85,5.66,1
47,DECODE,211,0,211,193.83,5.70,1
48,DECODE,207,0,207,195.00,5.72,1
49,DECODE,205,0,205,196.18,5.69,1
50,DECODE,197,0,197,196.97,5.64,1
51,DECODE,193,0,193,197.90,5.67,1
52,DECODE,191,0,191,198.81,5.46,1
53,DECODE,188,0,188,199.79,5.52,1
54,DECODE,183,0,183,200.97,6.26,1
55,DECODE,177,0,177,201.99,5.49,1
56,DECODE,175,0,175,202.87,6.48,1
57,DECODE,174,0,174,203.90,5.33,1
58,DECODE,172,0,172,205.05,5.35,1
59,DECODE,167,0,167,206.02,6.21,1
60,DECODE,164,0,164,206.97,5.35,1
61,DECODE,163,0,163,207.94,5.35,1
62,DECODE,160,0,160,208.85,6.01,1
63,DECODE,157,0,157,209.70,5.57,1
64,DECODE,152,0,152,211.16,6.00,1
65,DECODE,151,0,151,212.05,5.24,1
66,DECODE,147,0,147,213.67,5.20,1
67,DECODE,144,0,144,214.78,5.72,1
68,DECODE,144,0,144,215.78,4.91,1
69,DECODE,142,0,142,217.23,4.95,1
70,DECODE,140,0,140,218.50,4.92,1
71,DECODE,137,0,137,219.31,4.98,1
72,DECODE,134,0,134,220.46,5.72,1
73,DECODE,132,0,132,221.45,4.87,1
74,DECODE,126,0,126,223.00,5.37,1
75,DECODE,124,0,124,224.18,5.58,1
76,DECODE,123,0,123,225.28,4.70,1
77,DECODE,123,0,123,226.28,4.72,1
78,DECODE,122,0,122,227.47,4.69,1
79,DECODE,121,0,121,228.64,4.71,1
80,DECODE,120,0,120,229.68,5.41,1
81,DECODE,114,0,114,230.27,4.64,1
82,DECODE,111,0,111,231.15,5.41,1
83,DECODE,109,0,109,231.83,4.93,1
84,DECODE,108,0,108,232.76,4.96,1
85,DECODE,108,0,108,233.76,4.82,1
86,DECODE,108,0,108,234.76,4.79,1
87,DECODE,106,0,106,235.75,4.87,1
88,DECODE,104,0,104,236.65,5.85,1
89,DECODE,102,0,102,237.05,4.87,1
90,DECODE,100,0,100,238.15,4.90,1
91,DECODE,98,0,98,239.38,4.78,1
92,DECODE,96,0,96,240.07,5.22,1
93,DECODE,95,0,95,240.63,4.80,1
94,DECODE,93,0,93,240.65,4.81,1
95,DECODE,91,0,91,241.20,5.31,1
96,DECODE,91,0,91,242.20,5.54,1
97,DECODE,89,0,89,243.29,5.81,1
98,DECODE,88,0,88,244.44,6.53,1
99,DECODE,85,0,85,244.80,4.76,1
100,DECODE,84,0,84,245.77,4.78,1
101,DECODE,83,0,83,246.18,6.63,1
102,DECODE,81,0,81,248.01,4.72,1
103,DECODE,80,0,80,249.19,5.72,1
104,DECODE,79,0,79,250.05,4.80,1
