pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,4,308,0,77.00,1761.06,1
2,EXTEND,92,8160,0,88.70,76.97,1
3,DECODE,96,0,96,89.21,19.28,1
4,DECODE,96,0,96,90.21,4.12,1
5,DECODE,96,0,96,91.21,3.81,1
6,DECODE,96,0,96,92.21,3.90,1
7,DECODE,96,0,96,93.21,3.83,1
8,DECODE,96,0,96,94.21,4.86,1
9,DECODE,96,0,96,95.21,4.15,1
10,DECODE,96,0,96,96.21,4.23,1
11,DECODE,96,0,96,97.21,4.25,1
12,EXTEND,6,429,0,75.00,26.48,1
13,EXTEND,26,2011,0,80.69,27.92,1
14,DECODE,128,0,128,93.81,5.77,1
15,DECODE,128,0,128,94.81,4.66,1
16,DECODE,128,0,128,95.81,4.53,1
17,DECODE,128,0,128,96.81,4.50,1
18,DECODE,128,0,128,97.81,4.91,1
19,DECODE,128,0,128,98.81,4.50,1
20,DECODE,128,0,128,99.81,4.76,1
21,DECODE,128,0,128,100.81,4.63,1
22,DECODE,128,0,128,101.81,4.45,1
23,DECODE,128,0,128,102.81,4.44,1
24,DECODE,128,0,128,103.81,4.44,1
25,DECODE,128,0,128,104.81,4.44,1
26,DECODE,128,0,128,105.81,4.46,1
27,DECODE,128,0,128,106.81,4.43,1
28,DECODE,128,0,128,107.81,4.46,1
29,DECODE,128,0,128,108.81,4.45,1
30,DECODE,128,0,128,109.81,4.38,1
31,DECODE,128,0,128,110.81,4.39,1
32,DECODE,128,0,128,111.81,4.42,1
33,DECODE,128,0,128,112.81,4.38,1
34,DECODE,128,0,128,113.81,4.47,1
35,DECODE,128,0,128,114.81,4.49,1
36,DECODE,128,0,128,115.81,4.44,1
37,DECODE,128,0,128,116.81,6.05,1
38,DECODE,128,0,128,117.81,5.11,1
39,DECODE,128,0,128,118.81,4.35,1
40,DECODE,128,0,128,119.81,4.39,1
41,DECODE,128,0,128,120.81,4.31,1
42,EXTEND,3,238,0,82.67,24.98,1
43,EXTEND,29,2062,0,74.34,24.31,1
44,DECODE,160,0,160,112.67,5.60,1
45,DECODE,160,0,160,113.67,5.46,1
46,DECODE,160,0,160,114.67,4.67,1
47,DECODE,160,0,160,115.67,4.60,1
48,DECODE,160,0,160,116.67,4.73,1
49,DECODE,160,0,160,117.67,6.78,1
50,DECODE,160,0,160,118.67,4.88,1
51,DECODE,160,0,160,119.67,4.70,1
52,DECODE,160,0,160,120.67,4.67,1
53,DECODE,160,0,160,121.67,4.68,1
54,DECODE,160,0,160,122.67,4.70,1
55,EXTEND,20,1724,0,89.40,28.26,1
56,EXTEND,12,1332,0,114.00,27.20,1
57,DECODE,192,0,192,119.67,6.15,1
58,DECODE,192,0,192,120.67,4.81,1
59,DECODE,192,0,192,121.67,4.85,1
60,DECODE,192,0,192,122.67,4.86,1
61,DECODE,192,0,192,123.67,4.90,1
62,DECODE,192,0,192,124.67,4.94,1
63,DECODE,192,0,192,125.67,4.89,1
64,DECODE,192,0,192,126.67,4.88,1
65,DECODE,192,0,192,127.67,4.84,1
66,DECODE,192,0,192,128.67,4.88,1
67,DECODE,192,0,192,129.67,4.89,1
68,DECODE,192,0,192,130.67,4.90,1
69,DECODE,192,0,192,131.67,5.07,1
70,DECODE,192,0,192,132.67,5.04,1
71,EXTEND,9,614,0,71.22,34.37,1
72,EXTEND,23,1990,0,89.70,25.64,1
73,DECODE,224,0,224,126.79,6.87,1
74,DECODE,224,0,224,127.79,5.55,1
75,DECODE,224,0,224,128.79,5.50,1
76,DECODE,224,0,224,129.79,5.45,1
77,DECODE,224,0,224,130.79,5.49,1
78,DECODE,224,0,224,131.79,5.42,1
79,DECODE,224,0,224,132.79,5.37,1
80,DECODE,224,0,224,133.79,5.42,1
81,DECODE,224,0,224,134.79,5.43,1
82,DECODE,224,0,224,135.79,5.41,1
83,DECODE,224,0,224,136.79,5.42,1
84,DECODE,224,0,224,137.79,5.40,1
85,DECODE,224,0,224,138.79,5.56,1
86,DECODE,224,0,224,139.79,5.39,1
87,DECODE,224,0,224,140.79,5.42,1
88,EXTEND,2,202,0,104.00,28.31,1
89,EXTEND,30,2594,0,90.00,28.67,1
90,DECODE,256,0,256,135.55,6.90,1
91,DECODE,256,0,256,136.55,5.82,1
92,DECODE,256,0,256,137.55,5.69,1
93,DECODE,256,0,256,138.55,5.76,1
94,DECODE,256,0,256,139.55,5.74,1
95,DECODE,256,0,256,140.55,5.71,1
96,DECODE,256,0,256,141.55,5.80,1
97,DECODE,256,0,256,142.55,6.22,1
98,DECODE,256,0,256,143.55,5.80,1
99,DECODE,256,0,256,144.55,5.79,1
100,DECODE,256,0,256,145.55,5.80,1
101,DECODE,256,0,256,146.55,6.59,1
102,DECODE,256,0,256,147.55,6.42,1
103,DECODE,256,0,256,148.55,6.38,1
104,DECODE,256,0,256,149.55,6.40,1
105,DECODE,256,0,256,150.55,6.42,1
106,DECODE,256,0,256,151.55,6.55,1
107,DECODE,256,0,256,152.55,6.69,1
108,DECODE,256,0,256,153.55,7.02,1
109,DECODE,256,0,256,154.55,5.99,1
110,DECODE,256,0,256,155.55,6.01,1
111,DECODE,256,0,256,156.55,5.91,1
112,DECODE,256,0,256,157.55,5.79,1
113,DECODE,256,0,256,158.55,5.81,1
114,DECODE,256,0,256,159.55,5.78,1
115,DECODE,256,0,256,160.55,5.82,1
116,DECODE,256,0,256,161.55,5.82,1
117,DECODE,256,0,256,162.55,5.82,1
118,DECODE,256,0,256,163.55,5.82,1
119,DECODE,256,0,256,164.55,5.90,1
120,DECODE,256,0,256,165.55,6.04,1
121,DECODE,256,0,256,166.55,5.86,1
122,DECODE,256,0,256,167.55,5.97,1
123,DECODE,256,0,256,168.55,5.85,1
124,DECODE,256,0,256,169.55,5.83,1
125,DECODE,256,0,256,170.55,5.82,1
126,DECODE,256,0,256,171.55,5.87,1
127,DECODE,256,0,256,172.55,5.90,1
128,DECODE,256,0,256,173.55,5.86,1
129,DECODE,256,0,256,174.55,5.88,1
130,DECODE,256,0,256,175.55,5.88,1
131,DECODE,256,0,256,176.55,6.97,1
132,DECODE,256,0,256,177.55,5.89,1
133,DECODE,256,0,256,178.55,5.88,1
134,DECODE,256,0,256,179.55,5.86,1
135,DECODE,256,0,256,180.55,5.89,1
136,DECODE,256,0,256,181.55,6.08,1
137,DECODE,256,0,256,182.55,6.12,1
138,DECODE,256,0,256,183.55,6.14,1
139,DECODE,256,0,256,184.55,6.05,1
140,DECODE,256,0,256,185.55,6.10,1
141,DECODE,256,0,256,186.55,6.07,1
142,DECODE,256,0,256,187.55,6.09,1
143,DECODE,256,0,256,188.55,6.12,1
144,DECODE,256,0,256,189.55,5.98,1
145,DECODE,256,0,256,190.55,6.00,1
146,DECODE,256,0,256,191.55,5.98,1
147,DECODE,256,0,256,192.55,6.01,1
148,DECODE,256,0,256,193.55,6.49,1
149,DECODE,256,0,256,194.55,6.27,1
150,DECODE,256,0,256,195.55,6.29,1
151,DECODE,256,0,256,196.55,5.95,1
152,DECODE,256,0,256,197.55,6.00,1
153,DECODE,256,0,256,198.55,5.97,1
154,DECODE,256,0,256,199.55,5.98,1
155,DECODE,256,0,256,200.55,5.98,1
156,DECODE,256,0,256,201.55,5.98,1
157,DECODE,256,0,256,202.55,5.99,1
158,DECODE,256,0,256,203.55,5.99,1
159,DECODE,256,0,256,204.55,5.95,1
160,DECODE,256,0,256,205.55,6.04,1
161,DECODE,256,0,256,206.55,5.98,1
162,DECODE,256,0,256,207.55,5.98,1
163,DECODE,256,0,256,208.55,6.02,1
164,DECODE,256,0,256,209.55,6.01,1
165,DECODE,256,0,256,210.55,5.98,1
166,DECODE,256,0,256,211.55,5.99,1
167,DECODE,256,0,256,212.55,6.02,1
168,DECODE,256,0,256,213.55,6.10,1
169,DECODE,256,0,256,214.55,6.04,1
170,DECODE,256,0,256,215.55,6.08,1
171,DECODE,256,0,256,216.55,6.83,1
172,DECODE,256,0,256,217.55,6.86,1
173,DECODE,256,0,256,218.55,6.82,1
174,DECODE,256,0,256,219.55,6.85,1
175,DECODE,256,0,256,220.55,6.86,1
176,DECODE,256,0,256,221.55,6.86,1
177,DECODE,256,0,256,222.55,6.85,1
178,DECODE,256,0,256,223.55,6.33,1
179,DECODE,256,0,256,224.55,6.81,1
180,DECODE,256,0,256,225.55,7.08,1
181,DECODE,256,0,256,226.55,6.87,1
182,DECODE,256,0,256,227.55,6.90,1
183,DECODE,256,0,256,228.55,6.89,1
