pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,5,1091,0,218.20,1823.05,1
2,EXTEND,49,8192,0,167.18,83.16,1
3,EXTEND,43,4191,0,186.70,41.08,1
4,DECODE,96,0,96,180.08,27.49,1
5,DECODE,96,0,96,181.08,4.61,1
6,DECODE,96,0,96,182.08,4.60,1
7,DECODE,96,0,96,183.08,4.50,1
8,DECODE,96,0,96,184.08,4.58,1
9,DECODE,96,0,96,185.08,4.44,1
10,DECODE,96,0,96,186.08,4.51,1
11,DECODE,96,0,96,187.08,4.48,1
12,DECODE,96,0,96,188.08,4.51,1
13,DECODE,96,0,96,189.08,4.52,1
14,DECODE,96,0,96,190.08,4.51,1
15,DECODE,96,0,96,191.08,4.63,1
16,DECODE,96,0,96,192.08,4.61,1
17,DECODE,96,0,96,193.08,4.54,1
18,DECODE,96,0,96,194.08,4.54,1
19,DECODE,96,0,96,195.08,5.35,1
20,DECODE,96,0,96,196.08,4.53,1
21,DECODE,95,0,95,195.85,4.62,1
22,DECODE,92,0,92,193.32,4.61,1
23,DECODE,91,0,91,193.30,4.61,1
24,DECODE,89,0,89,192.92,4.68,1
25,DECODE,87,0,87,194.95,6.51,1
26,DECODE,85,0,85,197.04,5.23,1
27,DECODE,82,0,82,199.61,5.18,1
28,DECODE,80,0,80,198.29,6.62,1
29,DECODE,76,0,76,199.96,5.22,1
30,DECODE,74,0,74,202.31,5.24,1
31,DECODE,71,0,71,203.32,6.32,1
32,DECODE,69,0,69,204.88,5.09,1
33,DECODE,64,0,64,205.08,5.82,1
34,DECODE,59,0,59,209.15,5.03,1
35,DECODE,57,0,57,208.28,5.51,1
36,DECODE,54,0,54,206.19,6.58,1
37,DECODE,51,0,51,209.49,5.04,1
38,DECODE,49,0,49,207.51,5.13,1
39,DECODE,49,0,49,208.51,5.50,1
40,DECODE,48,0,48,210.42,6.50,1
41,DECODE,47,0,47,209.13,5.60,1
42,DECODE,46,0,46,206.26,4.90,1
43,DECODE,45,0,45,208.33,4.95,1
44,DECODE,44,0,44,209.80,4.82,1
45,DECODE,43,0,43,210.12,4.82,1
46,DECODE,43,0,43,211.12,4.98,1
47,DECODE,43,0,43,212.12,4.63,1
48,DECODE,40,0,40,212.88,5.64,1
49,DECODE,38,0,38,214.08,4.89,1
50,DECODE,34,0,34,216.03,4.95,1
51,DECODE,33,0,33,217.67,4.90,1
52,DECODE,33,0,33,218.67,4.66,1
53,DECODE,32,0,32,218.84,6.31,1
54,DECODE,32,0,32,219.84,4.84,1
55,DECODE,32,0,32,220.84,4.54,1
56,DECODE,32,0,32,221.84,4.59,1
57,DECODE,32,0,32,222.84,4.57,1
58,DECODE,31,0,31,224.52,4.79,1
59,DECODE,30,0,30,226.37,4.73,1
