pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,3,238,0,79.33,1878.97,1
2,EXTEND,89,8192,0,92.04,99.21,1
3,EXTEND,69,5834,0,88.20,44.62,1
4,DECODE,160,0,160,91.53,17.01,1
5,EXTEND,64,5888,0,96.62,35.30,1
6,DECODE,224,0,224,93.98,6.21,1
7,DECODE,224,0,224,94.98,5.18,1
8,DECODE,224,0,224,95.98,5.08,1
9,DECODE,224,0,224,96.98,5.07,1
10,DECODE,224,0,224,97.98,5.07,1
11,DECODE,224,0,224,98.98,5.07,1
12,DECODE,224,0,224,99.98,5.08,1
13,DECODE,224,0,224,100.98,5.07,1
14,EXTEND,22,1530,0,74.45,25.28,1
15,EXTEND,10,674,0,72.60,25.19,1
16,DECODE,256,0,256,98.59,6.39,1
17,DECODE,256,0,256,99.59,5.63,1
18,DECODE,256,0,256,100.59,6.46,1
19,DECODE,256,0,256,101.59,5.43,1
20,DECODE,256,0,256,102.59,6.98,1
21,DECODE,256,0,256,103.59,5.46,1
22,DECODE,256,0,256,104.59,5.89,1
23,DECODE,256,0,256,105.59,5.50,1
24,DECODE,256,0,256,106.59,5.51,1
25,DECODE,256,0,256,107.59,5.42,1
26,DECODE,256,0,256,108.59,5.51,1
27,DECODE,256,0,256,109.59,5.45,1
28,DECODE,256,0,256,110.59,5.54,1
29,DECODE,256,0,256,111.59,5.44,1
30,DECODE,256,0,256,112.59,5.53,1
31,DECODE,256,0,256,113.59,5.44,1
32,DECODE,256,0,256,114.59,5.62,1
33,DECODE,256,0,256,115.59,5.46,1
34,DECODE,256,0,256,116.59,5.42,1
35,DECODE,256,0,256,117.59,5.49,1
36,DECODE,256,0,256,118.59,5.49,1
37,DECODE,256,0,256,119.59,5.45,1
38,DECODE,256,0,256,120.59,5.46,1
39,DECODE,256,0,256,121.59,5.49,1
40,DECODE,256,0,256,122.59,5.49,1
41,DECODE,256,0,256,123.59,5.42,1
42,DECODE,256,0,256,124.59,5.48,1
43,DECODE,256,0,256,125.59,5.49,1
44,DECODE,256,0,256,126.59,5.63,1
45,DECODE,256,0,256,127.59,5.48,1
46,DECODE,256,0,256,128.59,5.54,1
47,DECODE,256,0,256,129.59,5.52,1
48,DECODE,256,0,256,130.59,5.56,1
49,DECODE,256,0,256,131.59,5.48,1
50,DECODE,256,0,256,132.59,5.64,1
51,DECODE,256,0,256,133.59,5.52,1
52,DECODE,256,0,256,134.59,5.66,1
53,DECODE,256,0,256,135.59,5.54,1
54,DECODE,256,0,256,136.59,6.20,1
55,DECODE,256,0,256,137.59,5.54,1
56,DECODE,256,0,256,138.59,5.62,1
57,DECODE,256,0,256,139.59,34.47,1
58,DECODE,256,0,256,140.59,5.74,1
59,DECODE,256,0,256,141.59,5.61,1
60,DECODE,256,0,256,142.59,5.64,1
61,DECODE,256,0,256,143.59,5.63,1
62,DECODE,256,0,256,144.59,5.62,1
63,DECODE,256,0,256,145.59,5.63,1
64,DECODE,256,0,256,146.59,5.63,1
65,DECODE,256,0,256,147.59,5.62,1
66,DECODE,256,0,256,148.59,5.67,1
67,DECODE,256,0,256,149.59,5.58,1
68,DECODE,256,0,256,150.59,5.61,1
69,DECODE,256,0,256,151.59,5.59,1
70,DECODE,256,0,256,152.59,5.63,1
71,DECODE,256,0,256,153.59,5.61,1
72,DECODE,256,0,256,154.59,5.66,1
73,DECODE,256,0,256,155.59,5.65,1
74,DECODE,256,0,256,156.59,5.63,1
75,DECODE,256,0,256,157.59,5.64,1
