pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,13,4790,0,368.46,1481.27,1
2,EXTEND,24,8192,0,341.33,259.65,1
3,EXTEND,28,2115,0,304.96,79.39,1
4,DECODE,64,0,64,334.69,24.31,1
5,EXTEND,32,2820,0,327.12,97.22,1
6,DECODE,96,0,96,333.17,15.57,1
7,DECODE,96,0,96,334.17,12.78,1
8,DECODE,96,0,96,335.17,12.06,1
9,DECODE,96,0,96,336.17,12.83,1
10,DECODE,96,0,96,337.17,11.88,1
11,DECODE,96,0,96,338.17,11.95,1
12,DECODE,96,0,96,339.17,12.96,1
13,DECODE,96,0,96,340.17,12.83,1
14,DECODE,96,0,96,341.17,12.79,1
15,DECODE,96,0,96,342.17,13.35,1
16,DECODE,96,0,96,343.17,13.34,1
17,DECODE,96,0,96,344.17,13.35,1
18,DECODE,96,0,96,345.17,13.33,1
19,DECODE,96,0,96,346.17,13.41,1
20,DECODE,96,0,96,347.17,13.32,1
21,DECODE,96,0,96,348.17,13.41,1
22,DECODE,96,0,96,349.17,13.41,1
23,DECODE,96,0,96,350.17,13.46,1
24,DECODE,96,0,96,351.17,12.84,1
25,DECODE,96,0,96,352.17,12.74,1
26,DECODE,96,0,96,353.17,12.88,1
27,DECODE,96,0,96,354.17,12.88,1
28,DECODE,96,0,96,355.17,12.98,1
29,DECODE,96,0,96,356.17,12.72,1
30,DECODE,96,0,96,357.17,12.92,1
31,DECODE,96,0,96,358.17,12.91,1
32,DECODE,96,0,96,359.17,12.86,1
33,DECODE,96,0,96,360.17,12.82,1
34,DECODE,96,0,96,361.17,12.67,1
35,DECODE,96,0,96,362.17,12.82,1
36,EXTEND,2,113,0,354.00,63.36,1
37,EXTEND,62,2527,0,325.29,90.38,1
38,DECODE,160,0,160,348.77,17.03,1
39,DECODE,160,0,160,349.77,15.64,1
40,EXTEND,4,4,0,345.50,31.88,1
41,EXTEND,55,1927,0,344.85,65.68,1
42,EXTEND,37,1353,0,326.14,56.98,1
43,DECODE,256,0,256,346.23,19.30,1
44,DECODE,256,0,256,347.23,16.56,1
45,DECODE,256,0,256,348.23,16.78,1
46,DECODE,256,0,256,349.23,16.61,1
47,DECODE,256,0,256,350.23,16.43,1
48,DECODE,256,0,256,351.23,16.97,1
49,DECODE,256,0,256,352.23,17.17,1
50,DECODE,256,0,256,353.23,17.38,1
51,DECODE,256,0,256,354.23,17.39,1
52,DECODE,256,0,256,355.23,17.51,1
53,DECODE,256,0,256,356.23,17.44,1
54,DECODE,256,0,256,357.23,17.52,1
55,DECODE,256,0,256,358.23,17.61,1
56,DECODE,256,0,256,359.23,17.54,1
57,DECODE,256,0,256,360.23,17.52,1
58,DECODE,256,0,256,361.23,18.16,1
59,DECODE,256,0,256,362.23,17.75,1
60,DECODE,256,0,256,363.23,17.44,1
61,DECODE,256,0,256,364.23,17.34,1
62,DECODE,256,0,256,365.23,17.51,1
63,DECODE,256,0,256,366.23,17.49,1
64,DECODE,256,0,256,367.23,17.88,1
65,DECODE,256,0,256,368.23,17.43,1
66,DECODE,256,0,256,369.23,17.46,1
67,DECODE,256,0,256,370.23,17.44,1
68,DECODE,256,0,256,371.23,17.51,1
69,DECODE,256,0,256,372.23,17.38,1
70,DECODE,256,0,256,373.23,17.43,1
71,DECODE,256,0,256,374.23,17.53,1
72,DECODE,256,0,256,375.23,16.68,1
73,DECODE,256,0,256,376.23,16.57,1
74,DECODE,256,0,256,377.23,16.60,1
75,DECODE,256,0,256,378.23,16.56,1
76,DECODE,256,0,256,379.23,16.53,1
77,DECODE,256,0,256,380.23,16.54,1
78,DECODE,256,0,256,381.23,16.58,1
79,DECODE,256,0,256,382.23,16.68,1
80,DECODE,256,0,256,383.23,16.58,1
81,DECODE,256,0,256,384.23,16.65,1
82,DECODE,256,0,256,385.23,16.61,1
83,DECODE,256,0,256,386.23,16.69,1
84,DECODE,256,0,256,387.23,16.62,1
85,DECODE,256,0,256,388.23,17.45,1
86,DECODE,256,0,256,389.23,17.42,1
87,DECODE,256,0,256,390.23,17.33,1
88,DECODE,256,0,256,391.23,17.34,1
89,DECODE,256,0,256,392.23,17.49,1
90,DECODE,256,0,256,393.23,17.34,1
91,DECODE,256,0,256,394.23,17.37,1
92,DECODE,256,0,256,395.23,17.35,1
93,DECODE,256,0,256,396.23,17.38,1
94,DECODE,256,0,256,397.23,17.42,1
95,DECODE,256,0,256,398.23,17.41,1
96,DECODE,256,0,256,399.23,17.57,1
97,DECODE,256,0,256,400.23,17.41,1
98,DECODE,256,0,256,401.23,17.42,1
99,DECODE,256,0,256,402.23,17.51,1
100,DECODE,256,0,256,403.23,17.43,1
101,DECODE,256,0,256,404.23,17.40,1
102,DECODE,256,0,256,405.23,17.42,1
103,DECODE,256,0,256,406.23,17.51,1
104,DECODE,256,0,256,407.23,17.44,1
105,DECODE,256,0,256,408.23,17.41,1
106,DECODE,256,0,256,409.23,17.52,1
107,DECODE,256,0,256,410.23,17.38,1
108,DECODE,256,0,256,411.23,17.46,1
109,DECODE,256,0,256,412.23,17.46,1
110,DECODE,256,0,256,413.23,17.51,1
111,DECODE,256,0,256,414.23,17.83,1
112,DECODE,256,0,256,415.23,17.75,1
113,DECODE,256,0,256,416.23,17.77,1
114,DECODE,256,0,256,417.23,17.67,1
115,DECODE,256,0,256,418.23,17.72,1
116,DECODE,256,0,256,419.23,17.75,1
117,DECODE,256,0,256,420.23,17.71,1
118,DECODE,256,0,256,421.23,17.58,1
119,DECODE,256,0,256,422.23,17.57,1
120,DECODE,256,0,256,423.23,17.69,1
121,DECODE,256,0,256,424.23,19.50,1
122,DECODE,256,0,256,425.23,17.77,1
123,DECODE,256,0,256,426.23,17.60,1
124,DECODE,256,0,256,427.23,17.63,1
125,DECODE,256,0,256,428.23,17.59,1
126,DECODE,256,0,256,429.23,17.67,1
127,DECODE,256,0,256,430.23,17.72,1
128,DECODE,256,0,256,431.23,17.54,1
129,DECODE,256,0,256,432.23,17.54,1
130,DECODE,256,0,256,433.23,17.58,1
131,DECODE,256,0,256,434.23,17.55,1
132,DECODE,256,0,256,435.23,17.57,1
133,DECODE,256,0,256,436.23,17.61,1
134,DECODE,256,0,256,437.23,17.69,1
135,DECODE,256,0,256,438.23,17.63,1
136,DECODE,256,0,256,439.23,17.51,1
137,DECODE,256,0,256,440.23,17.66,1
138,DECODE,256,0,256,441.23,17.58,1
139,DECODE,256,0,256,442.23,17.56,1
140,DECODE,256,0,256,443.23,17.58,1
141,DECODE,256,0,256,444.23,17.61,1
142,DECODE,256,0,256,445.23,17.70,1
143,DECODE,256,0,256,446.23,17.68,1
144,DECODE,256,0,256,447.23,17.74,1
145,DECODE,256,0,256,448.23,17.23,1
146,DECODE,256,0,256,449.23,17.00,1
147,DECODE,256,0,256,450.23,16.96,1
148,DECODE,256,0,256,451.23,16.96,1
149,DECODE,256,0,256,452.23,16.96,1
150,DECODE,256,0,256,453.23,17.01,1
151,DECODE,256,0,256,454.23,17.08,1
152,DECODE,256,0,256,455.23,17.01,1
153,DECODE,256,0,256,456.23,16.97,1
154,DECODE,256,0,256,457.23,16.97,1
155,DECODE,256,0,256,458.23,16.97,1
156,DECODE,256,0,256,459.23,16.99,1
157,DECODE,256,0,256,460.23,16.98,1
158,DECODE,256,0,256,461.23,16.98,1
159,DECODE,256,0,256,462.23,16.98,1
160,DECODE,256,0,256,463.23,16.97,1
161,DECODE,256,0,256,464.23,17.00,1
162,DECODE,256,0,256,465.23,16.97,1
163,DECODE,256,0,256,466.23,16.99,1
164,DECODE,256,0,256,467.23,17.02,1
165,DECODE,256,0,256,468.23,17.02,1
166,DECODE,256,0,256,469.23,16.97,1
167,DECODE,256,0,256,470.23,17.00,1
168,DECODE,256,0,256,471.23,17.01,1
169,DECODE,256,0,256,472.23,17.94,1
170,DECODE,256,0,256,473.23,17.72,1
171,DECODE,256,0,256,474.23,17.68,1
172,DECODE,256,0,256,475.23,17.72,1
173,DECODE,256,0,256,476.23,17.69,1
174,DECODE,256,0,256,477.23,17.73,1
175,DECODE,256,0,256,478.23,17.77,1
176,DECODE,256,0,256,479.23,17.84,1
177,DECODE,256,0,256,480.23,17.80,1
178,DECODE,256,0,256,481.23,17.73,1
179,DECODE,256,0,256,482.23,17.72,1
180,DECODE,256,0,256,483.23,17.81,1
181,DECODE,256,0,256,484.23,17.80,1
182,DECODE,256,0,256,485.23,17.76,1
183,DECODE,256,0,256,486.23,17.77,1
184,DECODE,256,0,256,487.23,17.77,1
185,DECODE,256,0,256,488.23,17.79,1
186,DECODE,256,0,256,489.23,17.99,1
187,DECODE,256,0,256,490.23,17.78,1
188,DECODE,256,0,256,491.23,17.77,1
189,DECODE,256,0,256,492.23,17.73,1
190,DECODE,256,0,256,493.23,17.82,1
191,DECODE,256,0,256,494.23,17.84,1
192,DECODE,256,0,256,495.23,17.85,1
193,DECODE,256,0,256,496.23,20.62,1
194,DECODE,256,0,256,497.23,18.18,1
195,DECODE,256,0,256,498.23,18.08,1
196,DECODE,256,0,256,499.23,17.95,1
197,DECODE,256,0,256,500.23,18.07,1
198,DECODE,256,0,256,501.23,17.95,1
199,DECODE,256,0,256,502.23,17.94,1
200,DECODE,256,0,256,503.23,18.04,1
201,DECODE,256,0,256,504.23,17.89,1
202,DECODE,256,0,256,505.23,18.03,1
203,DECODE,256,0,256,506.23,17.88,1
204,DECODE,256,0,256,507.23,17.17,1
205,DECODE,256,0,256,508.23,17.14,1
206,DECODE,256,0,256,509.23,17.16,1
207,DECODE,256,0,256,510.23,17.18,1
208,DECODE,256,0,256,511.23,17.20,1
209,DECODE,256,0,256,512.23,17.18,1
210,DECODE,256,0,256,513.23,17.19,1
211,DECODE,256,0,256,514.23,17.24,1
212,DECODE,256,0,256,515.23,17.25,1
213,DECODE,256,0,256,516.23,17.25,1
214,DECODE,256,0,256,517.23,17.26,1
215,DECODE,256,0,256,518.23,17.25,1
216,DECODE,256,0,256,519.23,17.23,1
217,DECODE,256,0,256,520.23,17.28,1
218,DECODE,256,0,256,521.23,17.27,1
219,DECODE,256,0,256,522.23,17.36,1
220,DECODE,256,0,256,523.23,17.36,1
