pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,9,1102,0,122.44,1295.01,1
2,EXTEND,38,3318,0,87.32,112.50,1
3,DECODE,47,0,47,95.04,35.56,1
4,DECODE,47,0,47,96.04,10.67,1
5,DECODE,47,0,47,97.04,10.66,1
6,DECODE,47,0,47,98.04,10.42,1
7,DECODE,47,0,47,99.04,10.51,1
8,DECODE,47,0,47,100.04,10.55,1
9,DECODE,47,0,47,101.04,10.61,1
10,DECODE,47,0,47,102.04,10.49,1
11,DECODE,47,0,47,103.04,10.53,1
12,DECODE,47,0,47,104.04,10.45,1
13,DECODE,47,0,47,105.04,10.45,1
14,DECODE,47,0,47,106.04,10.53,1
15,DECODE,47,0,47,107.04,10.47,1
16,DECODE,47,0,47,108.04,10.51,1
17,DECODE,47,0,47,109.04,10.53,1
18,DECODE,47,0,47,110.04,10.54,1
19,DECODE,47,0,47,111.04,10.49,1
20,DECODE,47,0,47,112.04,10.76,1
21,DECODE,47,0,47,113.04,11.29,1
22,DECODE,47,0,47,114.04,11.31,1
23,DECODE,47,0,47,115.04,11.13,1
24,DECODE,47,0,47,116.04,11.36,1
25,DECODE,47,0,47,117.04,11.26,1
26,DECODE,47,0,47,118.04,11.41,1
27,DECODE,47,0,47,119.04,11.32,1
28,DECODE,47,0,47,120.04,11.38,1
29,DECODE,47,0,47,121.04,11.42,1
30,DECODE,47,0,47,122.04,11.48,1
31,DECODE,47,0,47,123.04,11.38,1
32,DECODE,47,0,47,124.04,11.38,1
33,DECODE,47,0,47,125.04,11.37,1
34,DECODE,47,0,47,126.04,11.47,1
35,DECODE,47,0,47,127.04,11.41,1
36,DECODE,47,0,47,128.04,11.80,1
37,DECODE,47,0,47,129.04,11.31,1
38,DECODE,47,0,47,130.04,11.39,1
39,DECODE,47,0,47,131.04,12.14,1
40,DECODE,47,0,47,132.04,11.37,1
41,DECODE,47,0,47,133.04,11.37,1
42,DECODE,47,0,47,134.04,11.44,1
43,DECODE,47,0,47,135.04,11.30,1
44,DECODE,47,0,47,136.04,11.31,1
45,DECODE,47,0,47,137.04,11.25,1
46,DECODE,47,0,47,138.04,11.26,1
47,DECODE,47,0,47,139.04,10.53,1
48,DECODE,47,0,47,140.04,11.26,1
49,DECODE,47,0,47,141.04,11.26,1
50,DECODE,47,0,47,142.04,11.31,1
51,DECODE,47,0,47,143.04,11.24,1
52,DECODE,47,0,47,144.04,11.27,1
53,DECODE,47,0,47,145.04,11.21,1
54,DECODE,47,0,47,146.04,10.40,1
55,DECODE,47,0,47,147.04,10.38,1
56,DECODE,47,0,47,148.04,10.40,1
57,DECODE,47,0,47,149.04,10.70,1
58,DECODE,47,0,47,150.04,10.46,1
59,DECODE,47,0,47,151.04,11.04,1
60,DECODE,47,0,47,152.04,11.22,1
61,DECODE,47,0,47,153.04,11.18,1
62,DECODE,47,0,47,154.04,11.17,1
63,DECODE,47,0,47,155.04,11.71,1
64,DECODE,47,0,47,156.04,10.41,1
65,DECODE,47,0,47,157.04,10.38,1
66,DECODE,47,0,47,158.04,10.41,1
67,DECODE,47,0,47,159.04,10.45,1
68,DECODE,47,0,47,160.04,10.49,1
69,DECODE,47,0,47,161.04,10.47,1
