pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,4,358,0,89.50,1812.01,1
2,EXTEND,86,8192,0,95.26,84.52,1
3,EXTEND,26,2271,0,96.12,37.42,1
4,DECODE,115,0,115,96.62,15.87,1
5,DECODE,115,0,115,97.62,4.47,1
6,DECODE,115,0,115,98.62,4.30,1
7,DECODE,115,0,115,99.62,4.28,1
8,DECODE,115,0,115,100.62,4.26,1
9,DECODE,115,0,115,101.62,4.30,1
10,DECODE,115,0,115,102.62,4.28,1
11,DECODE,115,0,115,103.62,4.32,1
12,DECODE,115,0,115,104.62,4.25,1
13,DECODE,115,0,115,105.62,4.30,1
14,DECODE,115,0,115,106.62,4.32,1
15,DECODE,115,0,115,107.62,4.33,1
16,DECODE,115,0,115,108.62,4.28,1
17,DECODE,115,0,115,109.62,4.25,1
18,DECODE,115,0,115,110.62,4.30,1
19,DECODE,115,0,115,111.62,4.39,1
20,DECODE,115,0,115,112.62,4.61,1
21,DECODE,115,0,115,113.62,4.34,1
22,DECODE,115,0,115,114.62,4.32,1
23,DECODE,115,0,115,115.62,4.34,1
24,DECODE,115,0,115,116.62,4.25,1
25,DECODE,115,0,115,117.62,4.24,1
26,DECODE,115,0,115,118.62,4.26,1
27,DECODE,115,0,115,119.62,4.23,1
28,DECODE,115,0,115,120.62,4.23,1
29,DECODE,115,0,115,121.62,4.24,1
30,DECODE,115,0,115,122.62,4.26,1
31,DECODE,115,0,115,123.62,4.36,1
32,DECODE,115,0,115,124.62,4.23,1
33,DECODE,115,0,115,125.62,4.23,1
34,DECODE,115,0,115,126.62,4.25,1
35,DECODE,115,0,115,127.62,4.24,1
36,DECODE,115,0,115,128.62,4.25,1
37,DECODE,115,0,115,129.62,4.54,1
38,DECODE,115,0,115,130.62,5.19,1
39,DECODE,115,0,115,131.62,5.17,1
40,DECODE,115,0,115,132.62,5.10,1
41,DECODE,115,0,115,133.62,5.15,1
42,DECODE,115,0,115,134.62,5.16,1
43,DECODE,115,0,115,135.62,5.12,1
44,DECODE,115,0,115,136.62,5.20,1
45,DECODE,115,0,115,137.62,5.13,1
46,DECODE,115,0,115,138.62,5.16,1
47,DECODE,115,0,115,139.62,5.08,1
48,DECODE,115,0,115,140.62,4.99,1
49,DECODE,115,0,115,141.62,5.22,1
50,DECODE,115,0,115,142.62,5.20,1
51,DECODE,115,0,115,143.62,5.26,1
52,DECODE,115,0,115,144.62,5.30,1
53,DECODE,115,0,115,145.62,5.17,1
54,DECODE,115,0,115,146.62,5.08,1
55,DECODE,115,0,115,147.62,5.14,1
56,DECODE,115,0,115,148.62,5.22,1
57,DECODE,115,0,115,149.62,5.21,1
58,DECODE,115,0,115,150.62,5.06,1
59,DECODE,115,0,115,151.62,5.18,1
60,DECODE,115,0,115,152.62,5.22,1
61,DECODE,115,0,115,153.62,5.28,1
62,DECODE,115,0,115,154.62,5.14,1
63,DECODE,115,0,115,155.62,5.18,1
64,DECODE,115,0,115,156.62,5.12,1
65,DECODE,115,0,115,157.62,5.21,1
66,DECODE,115,0,115,158.62,5.12,1
67,DECODE,115,0,115,159.62,5.15,1
68,DECODE,115,0,115,160.62,5.20,1
69,DECODE,115,0,115,161.62,5.77,1
70,DECODE,115,0,115,162.62,5.21,1
71,DECODE,115,0,115,163.62,5.29,1
72,DECODE,115,0,115,164.62,5.17,1
73,DECODE,115,0,115,165.62,5.29,1
74,DECODE,115,0,115,166.62,5.25,1
75,DECODE,114,0,114,167.93,5.47,1
76,EXTEND,16,1158,0,78.69,43.23,1
77,DECODE,129,0,129,158.14,6.01,1
78,EXTEND,7,151,0,64.14,48.20,1
79,DECODE,135,0,135,154.45,4.87,1
80,EXTEND,4,258,0,104.00,27.09,1
81,DECODE,139,0,139,154.00,5.84,1
