pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,19,6163,0,324.37,1362.92,1
2,EXTEND,26,8192,0,315.08,268.44,1
3,EXTEND,16,1362,0,304.50,60.55,1
4,DECODE,60,0,60,317.73,24.99,1
5,DECODE,60,0,60,318.73,11.32,1
6,DECODE,60,0,60,319.73,11.25,1
7,DECODE,60,0,60,320.73,11.24,1
8,DECODE,60,0,60,321.73,11.27,1
9,DECODE,60,0,60,322.73,11.30,1
10,DECODE,60,0,60,323.73,11.27,1
11,DECODE,60,0,60,324.73,11.26,1
12,DECODE,60,0,60,325.73,11.29,1
13,DECODE,60,0,60,326.73,11.32,1
14,DECODE,60,0,60,327.73,11.34,1
15,DECODE,60,0,60,328.73,11.28,1
16,DECODE,60,0,60,329.73,11.34,1
17,DECODE,60,0,60,330.73,11.29,1
18,DECODE,60,0,60,331.73,11.34,1
19,DECODE,60,0,60,332.73,11.32,1
20,DECODE,60,0,60,333.73,13.11,1
21,DECODE,60,0,60,334.73,12.71,1
22,DECODE,60,0,60,335.73,12.12,1
23,DECODE,60,0,60,336.73,12.05,1
24,DECODE,60,0,60,337.73,12.27,1
25,DECODE,60,0,60,338.73,12.04,1
26,DECODE,60,0,60,339.73,12.09,1
27,DECODE,60,0,60,340.73,12.06,1
28,DECODE,60,0,60,341.73,12.02,1
29,DECODE,60,0,60,342.73,12.00,1
30,DECODE,60,0,60,343.73,12.13,1
31,DECODE,60,0,60,344.73,12.02,1
32,DECODE,60,0,60,345.73,12.03,1
33,DECODE,60,0,60,346.73,12.14,1
34,DECODE,60,0,60,347.73,12.00,1
35,DECODE,60,0,60,348.73,12.09,1
36,DECODE,60,0,60,349.73,12.17,1
37,DECODE,60,0,60,350.73,12.10,1
38,DECODE,60,0,60,351.73,12.09,1
39,DECODE,60,0,60,352.73,12.13,1
40,DECODE,60,0,60,353.73,12.17,1
41,DECODE,60,0,60,354.73,12.20,1
42,DECODE,60,0,60,355.73,12.20,1
43,DECODE,60,0,60,356.73,12.13,1
44,DECODE,60,0,60,357.73,12.15,1
45,DECODE,60,0,60,358.73,11.95,1
46,DECODE,60,0,60,359.73,12.05,1
47,DECODE,60,0,60,360.73,12.06,1
48,DECODE,60,0,60,361.73,12.10,1
49,DECODE,60,0,60,362.73,12.13,1
50,DECODE,60,0,60,363.73,12.08,1
51,DECODE,60,0,60,364.73,12.09,1
52,DECODE,60,0,60,365.73,12.09,1
53,DECODE,60,0,60,366.73,12.12,1
54,DECODE,60,0,60,367.73,12.02,1
55,DECODE,60,0,60,368.73,12.08,1
56,DECODE,60,0,60,369.73,12.00,1
57,DECODE,60,0,60,370.73,12.07,1
58,DECODE,60,0,60,371.73,11.96,1
59,DECODE,60,0,60,372.73,12.04,1
60,DECODE,60,0,60,373.73,12.01,1
61,DECODE,60,0,60,374.73,12.18,1
62,DECODE,60,0,60,375.73,12.01,1
63,DECODE,60,0,60,376.73,12.66,1
64,DECODE,60,0,60,377.73,12.01,1
65,DECODE,60,0,60,378.73,12.08,1
66,DECODE,60,0,60,379.73,12.54,1
67,DECODE,60,0,60,380.73,12.02,1
68,DECODE,60,0,60,381.73,12.05,1
69,DECODE,60,0,60,382.73,12.01,1
70,DECODE,60,0,60,383.73,11.99,1
71,DECODE,60,0,60,384.73,12.08,1
72,DECODE,60,0,60,385.73,12.01,1
73,DECODE,60,0,60,386.73,12.15,1
74,DECODE,60,0,60,387.73,12.16,1
75,DECODE,60,0,60,388.73,12.04,1
76,DECODE,60,0,60,389.73,12.05,1
77,DECODE,60,0,60,390.73,12.13,1
78,DECODE,60,0,60,391.73,11.98,1
79,DECODE,60,0,60,392.73,12.09,1
80,DECODE,60,0,60,393.73,12.11,1
81,DECODE,60,0,60,394.73,12.16,1
82,DECODE,60,0,60,395.73,12.09,1
83,DECODE,60,0,60,396.73,12.12,1
84,DECODE,60,0,60,397.73,11.98,1
85,DECODE,60,0,60,398.73,12.05,1
86,DECODE,60,0,60,399.73,12.04,1
87,DECODE,60,0,60,400.73,12.10,1
88,DECODE,60,0,60,401.73,12.08,1
89,DECODE,60,0,60,402.73,12.09,1
90,DECODE,60,0,60,403.73,11.99,1
91,DECODE,60,0,60,404.73,12.08,1
92,DECODE,60,0,60,405.73,12.04,1
93,DECODE,60,0,60,406.73,12.05,1
94,DECODE,60,0,60,407.73,12.04,1
95,DECODE,60,0,60,408.73,12.03,1
96,DECODE,60,0,60,409.73,12.04,1
97,DECODE,60,0,60,410.73,12.09,1
98,DECODE,60,0,60,411.73,12.13,1
99,DECODE,60,0,60,412.73,12.12,1
100,DECODE,60,0,60,413.73,12.01,1
101,DECODE,60,0,60,414.73,12.14,1
102,DECODE,60,0,60,415.73,12.37,1
103,DECODE,60,0,60,416.73,12.08,1
104,DECODE,60,0,60,417.73,12.08,1
105,DECODE,60,0,60,418.73,12.08,1
106,DECODE,60,0,60,419.73,12.05,1
107,DECODE,60,0,60,420.73,12.14,1
108,DECODE,60,0,60,421.73,12.04,1
109,DECODE,60,0,60,422.73,12.07,1
110,DECODE,60,0,60,423.73,13.11,1
111,DECODE,60,0,60,424.73,12.19,1
112,DECODE,60,0,60,425.73,12.10,1
113,DECODE,60,0,60,426.73,12.08,1
114,DECODE,60,0,60,427.73,12.07,1
115,DECODE,60,0,60,428.73,12.14,1
116,DECODE,60,0,60,429.73,12.06,1
117,DECODE,60,0,60,430.73,12.17,1
118,DECODE,60,0,60,431.73,12.12,1
119,DECODE,60,0,60,432.73,12.14,1
120,DECODE,60,0,60,433.73,12.10,1
121,DECODE,60,0,60,434.73,12.08,1
122,DECODE,60,0,60,435.73,12.07,1
123,DECODE,60,0,60,436.73,12.22,1
124,DECODE,60,0,60,437.73,12.10,1
125,DECODE,60,0,60,438.73,12.18,1
126,DECODE,60,0,60,439.73,12.17,1
127,DECODE,60,0,60,440.73,12.10,1
128,DECODE,60,0,60,441.73,12.06,1
129,DECODE,60,0,60,442.73,12.19,1
130,DECODE,60,0,60,443.73,12.14,1
131,DECODE,60,0,60,444.73,12.14,1
132,DECODE,60,0,60,445.73,12.11,1
133,DECODE,60,0,60,446.73,12.12,1
134,DECODE,60,0,60,447.73,12.18,1
135,DECODE,60,0,60,448.73,12.24,1
136,DECODE,60,0,60,449.73,12.27,1
137,DECODE,60,0,60,450.73,12.30,1
138,DECODE,60,0,60,451.73,12.20,1
139,DECODE,60,0,60,452.73,12.27,1
140,DECODE,60,0,60,453.73,12.15,1
141,DECODE,60,0,60,454.73,12.21,1
142,DECODE,60,0,60,455.73,12.89,1
143,DECODE,60,0,60,456.73,12.24,1
144,DECODE,60,0,60,457.73,12.23,1
145,DECODE,60,0,60,458.73,12.21,1
146,DECODE,60,0,60,459.73,12.18,1
147,DECODE,60,0,60,460.73,12.20,1
148,DECODE,60,0,60,461.73,12.20,1
149,DECODE,60,0,60,462.73,12.25,1
150,DECODE,60,0,60,463.73,12.16,1
151,DECODE,60,0,60,464.73,12.26,1
152,DECODE,60,0,60,465.73,12.13,1
153,DECODE,60,0,60,466.73,12.20,1
154,DECODE,60,0,60,467.73,12.21,1
155,DECODE,60,0,60,468.73,12.27,1
156,DECODE,60,0,60,469.73,12.27,1
157,DECODE,60,0,60,470.73,12.18,1
158,DECODE,60,0,60,471.73,12.64,1
