pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,3,978,0,326.00,1713.54,1
2,EXTEND,25,8192,0,327.68,58.36,1
3,EXTEND,70,5024,0,322.17,36.02,1
4,DECODE,97,0,97,325.65,39.78,1
5,DECODE,97,0,97,326.65,4.73,1
6,DECODE,97,0,97,327.65,4.56,1
7,DECODE,97,0,97,328.65,4.46,1
8,DECODE,97,0,97,329.65,4.45,1
9,DECODE,97,0,97,330.65,4.42,1
10,DECODE,97,0,97,331.65,4.45,1
11,DECODE,97,0,97,332.65,4.42,1
12,DECODE,97,0,97,333.65,4.72,1
13,DECODE,97,0,97,334.65,4.43,1
14,DECODE,97,0,97,335.65,4.49,1
15,DECODE,97,0,97,336.65,4.47,1
16,DECODE,97,0,97,337.65,4.49,1
17,DECODE,97,0,97,338.65,4.93,1
18,DECODE,97,0,97,339.65,4.85,1
19,DECODE,97,0,97,340.65,4.89,1
20,DECODE,97,0,97,341.65,4.88,1
21,DECODE,97,0,97,342.65,4.97,1
22,DECODE,97,0,97,343.65,4.87,1
23,DECODE,97,0,97,344.65,4.96,1
24,DECODE,97,0,97,345.65,5.16,1
25,DECODE,97,0,97,346.65,5.16,1
26,DECODE,97,0,97,347.65,5.57,1
27,DECODE,97,0,97,348.65,5.51,1
28,DECODE,97,0,97,349.65,5.51,1
29,DECODE,97,0,97,350.65,5.50,1
30,DECODE,97,0,97,351.65,5.43,1
31,DECODE,97,0,97,352.65,5.40,1
32,DECODE,97,0,97,353.65,5.42,1
33,DECODE,97,0,97,354.65,5.38,1
34,DECODE,97,0,97,355.65,5.39,1
35,DECODE,97,0,97,356.65,5.40,1
36,DECODE,97,0,97,357.65,5.44,1
37,DECODE,97,0,97,358.65,5.47,1
38,DECODE,97,0,97,359.65,5.42,1
39,DECODE,97,0,97,360.65,5.31,1
40,DECODE,97,0,97,361.65,5.46,1
41,DECODE,97,0,97,362.65,5.39,1
42,DECODE,97,0,97,363.65,5.42,1
43,DECODE,97,0,97,364.65,5.38,1
44,DECODE,97,0,97,365.65,5.37,1
45,DECODE,97,0,97,366.65,5.38,1
46,DECODE,97,0,97,367.65,5.41,1
47,DECODE,97,0,97,368.65,5.39,1
48,DECODE,97,0,97,369.65,5.37,1
49,DECODE,97,0,97,370.65,5.41,1
50,DECODE,97,0,97,371.65,5.42,1
51,DECODE,97,0,97,372.65,5.35,1
52,DECODE,97,0,97,373.65,5.47,1
53,DECODE,97,0,97,374.65,5.42,1
54,DECODE,97,0,97,375.65,5.41,1
55,DECODE,97,0,97,376.65,5.48,1
56,DECODE,97,0,97,377.65,5.38,1
57,DECODE,97,0,97,378.65,5.40,1
58,DECODE,97,0,97,379.65,5.45,1
59,DECODE,97,0,97,380.65,5.39,1
60,DECODE,97,0,97,381.65,5.43,1
61,DECODE,97,0,97,382.65,5.44,1
62,DECODE,97,0,97,383.65,5.45,1
63,DECODE,97,0,97,384.65,5.40,1
64,DECODE,97,0,97,385.65,5.47,1
65,DECODE,97,0,97,386.65,5.36,1
66,DECODE,97,0,97,387.65,5.49,1
67,DECODE,97,0,97,388.65,5.46,1
68,DECODE,97,0,97,389.65,5.46,1
69,DECODE,97,0,97,390.65,5.45,1
70,DECODE,97,0,97,391.65,5.44,1
71,DECODE,97,0,97,392.65,5.44,1
72,DECODE,97,0,97,393.65,5.44,1
73,DECODE,97,0,97,394.65,5.49,1
74,DECODE,97,0,97,395.65,5.49,1
75,DECODE,97,0,97,396.65,5.46,1
