pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,313,0,313.00,10027.13,1
2,EXTEND,27,8192,0,303.41,295.68,1
3,EXTEND,281,4911,0,314.53,202.81,1
4,DECODE,308,0,308,315.47,45.75,1
5,DECODE,308,0,308,316.47,9.55,1
6,DECODE,308,0,308,317.47,9.34,1
7,DECODE,308,0,308,318.47,10.22,1
8,DECODE,308,0,308,319.47,10.66,1
9,DECODE,308,0,308,320.47,11.82,1
10,DECODE,308,0,308,321.47,6.55,1
11,DECODE,308,0,308,322.47,6.95,1
12,DECODE,308,0,308,323.47,9.44,1
13,DECODE,308,0,308,324.47,7.07,1
14,DECODE,308,0,308,325.47,9.42,1
15,DECODE,308,0,308,326.47,10.19,1
16,DECODE,308,0,308,327.47,11.40,1
17,DECODE,308,0,308,328.47,8.32,1
18,DECODE,308,0,308,329.47,9.24,1
19,DECODE,308,0,308,330.47,10.93,1
20,DECODE,308,0,308,331.47,9.03,1
21,DECODE,308,0,308,332.47,9.28,1
22,DECODE,308,0,308,333.47,8.62,1
23,DECODE,308,0,308,334.47,8.53,1
24,DECODE,308,0,308,335.47,6.68,1
25,DECODE,308,0,308,336.47,6.68,1
26,DECODE,308,0,308,337.47,10.93,1
27,DECODE,308,0,308,338.47,11.07,1
28,DECODE,308,0,308,339.47,9.08,1
29,DECODE,308,0,308,340.47,6.92,1
30,DECODE,308,0,308,341.47,7.98,1
31,DECODE,308,0,308,342.47,9.84,1
32,DECODE,308,0,308,343.47,8.04,1
33,DECODE,308,0,308,344.47,8.79,1
34,DECODE,308,0,308,345.47,8.98,1
35,DECODE,308,0,308,346.47,10.75,1
36,DECODE,308,0,308,347.47,10.25,1
37,DECODE,308,0,308,348.47,7.62,1
38,DECODE,308,0,308,349.47,9.89,1
39,DECODE,308,0,308,350.47,6.59,1
40,DECODE,308,0,308,351.47,9.59,1
41,DECODE,308,0,308,352.47,7.42,1
42,DECODE,308,0,308,353.47,8.10,1
43,DECODE,308,0,308,354.47,7.79,1
44,DECODE,308,0,308,355.47,8.42,1
45,DECODE,308,0,308,356.47,7.27,1
46,DECODE,308,0,308,357.47,7.21,1
47,DECODE,308,0,308,358.47,8.17,1
48,DECODE,308,0,308,359.47,11.46,1
49,DECODE,308,0,308,360.47,10.92,1
50,DECODE,308,0,308,361.47,7.76,1
51,DECODE,308,0,308,362.47,8.47,1
52,DECODE,308,0,308,363.47,13.24,1
53,DECODE,308,0,308,364.47,9.36,1
54,DECODE,308,0,308,365.47,6.75,1
55,DECODE,308,0,308,366.47,11.96,1
56,DECODE,308,0,308,367.47,9.63,1
57,DECODE,308,0,308,368.47,8.05,1
58,DECODE,308,0,308,369.47,12.33,1
59,DECODE,308,0,308,370.47,11.61,1
60,DECODE,308,0,308,371.47,10.22,1
61,DECODE,308,0,308,372.47,11.24,1
62,DECODE,308,0,308,373.47,9.47,1
63,DECODE,308,0,308,374.47,10.24,1
64,DECODE,308,0,308,375.47,7.51,1
65,DECODE,308,0,308,376.47,7.84,1
66,DECODE,308,0,308,377.47,7.80,1
67,DECODE,308,0,308,378.47,9.53,1
68,DECODE,308,0,308,379.47,16.05,1
69,DECODE,308,0,308,380.47,8.06,1
70,DECODE,308,0,308,381.47,6.74,1
71,DECODE,308,0,308,382.47,7.71,1
72,DECODE,308,0,308,383.47,6.81,1
73,DECODE,308,0,308,384.47,10.02,1
74,DECODE,308,0,308,385.47,7.46,1
75,DECODE,308,0,308,386.47,6.85,1
76,DECODE,308,0,308,387.47,7.61,1
77,DECODE,308,0,308,388.47,9.28,1
78,DECODE,308,0,308,389.47,11.52,1
79,DECODE,308,0,308,390.47,7.18,1
80,DECODE,308,0,308,391.47,7.01,1
81,DECODE,308,0,308,392.47,7.39,1
82,DECODE,308,0,308,393.47,7.05,1
83,DECODE,308,0,308,394.47,14.13,1
84,DECODE,308,0,308,395.47,7.00,1
85,DECODE,308,0,308,396.47,8.45,1
86,DECODE,308,0,308,397.47,8.44,1
87,DECODE,308,0,308,398.47,8.33,1
88,DECODE,308,0,308,399.47,14.95,1
89,DECODE,308,0,308,400.47,7.38,1
90,DECODE,308,0,308,401.47,6.96,1
91,DECODE,308,0,308,402.47,6.96,1
92,DECODE,308,0,308,403.47,9.55,1
93,DECODE,308,0,308,404.47,11.44,1
94,DECODE,308,0,308,405.47,8.45,1
95,DECODE,308,0,308,406.47,11.24,1
96,DECODE,308,0,308,407.47,8.88,1
97,DECODE,308,0,308,408.47,10.65,1
98,DECODE,308,0,308,409.47,7.61,1
99,DECODE,308,0,308,410.47,10.55,1
100,DECODE,308,0,308,411.47,7.29,1
101,DECODE,308,0,308,412.47,7.78,1
102,DECODE,308,0,308,413.47,7.58,1
103,DECODE,308,0,308,414.47,13.37,1
104,DECODE,308,0,308,415.47,11.23,1
105,DECODE,308,0,308,416.47,10.02,1
106,DECODE,308,0,308,417.47,14.19,1
107,DECODE,308,0,308,418.47,6.98,1
108,DECODE,308,0,308,419.47,8.77,1
109,DECODE,308,0,308,420.47,11.21,1
110,DECODE,308,0,308,421.47,7.06,1
111,DECODE,308,0,308,422.47,10.67,1
112,DECODE,308,0,308,423.47,7.29,1
113,DECODE,308,0,308,424.47,9.69,1
114,DECODE,308,0,308,425.47,9.34,1
115,DECODE,308,0,308,426.47,8.47,1
116,DECODE,308,0,308,427.47,8.50,1
117,DECODE,308,0,308,428.47,8.16,1
118,DECODE,308,0,308,429.47,7.19,1
119,DECODE,308,0,308,430.47,11.30,1
120,DECODE,308,0,308,431.47,12.57,1
121,DECODE,308,0,308,432.47,11.92,1
122,DECODE,308,0,308,433.47,14.11,1
123,DECODE,308,0,308,434.47,8.34,1
124,DECODE,308,0,308,435.47,8.05,1
125,DECODE,308,0,308,436.47,11.93,1
126,DECODE,308,0,308,437.47,9.15,1
127,DECODE,308,0,308,438.47,12.12,1
128,DECODE,308,0,308,439.47,8.45,1
129,DECODE,308,0,308,440.47,7.06,1
130,DECODE,308,0,308,441.47,7.05,1
131,DECODE,308,0,308,442.47,7.78,1
132,DECODE,308,0,308,443.47,7.19,1
133,DECODE,308,0,308,444.47,8.18,1
134,DECODE,308,0,308,445.47,10.00,1
135,DECODE,308,0,308,446.47,8.59,1
136,DECODE,308,0,308,447.47,7.14,1
137,DECODE,308,0,308,448.47,10.48,1
138,DECODE,308,0,308,449.47,8.52,1
139,DECODE,308,0,308,450.47,13.92,1
140,DECODE,308,0,308,451.47,7.26,1
141,DECODE,308,0,308,452.47,9.18,1
142,DECODE,308,0,308,453.47,7.60,1
143,DECODE,308,0,308,454.47,9.98,1
144,DECODE,308,0,308,455.47,7.13,1
145,DECODE,308,0,308,456.47,13.36,1
146,DECODE,308,0,308,457.47,7.25,1
147,DECODE,308,0,308,458.47,11.52,1
148,DECODE,308,0,308,459.47,7.15,1
149,DECODE,308,0,308,460.47,8.34,1
150,DECODE,308,0,308,461.47,16.97,1
151,DECODE,308,0,308,462.47,9.48,1
152,DECODE,308,0,308,463.47,7.26,1
153,DECODE,308,0,308,464.47,9.30,1
154,DECODE,306,0,306,465.48,7.92,1
155,EXTEND,130,1812,0,313.91,44.39,1
156,DECODE,436,0,436,421.29,10.52,1
157,DECODE,436,0,436,422.29,9.48,1
158,DECODE,436,0,436,423.29,11.53,1
159,DECODE,436,0,436,424.29,8.53,1
160,DECODE,436,0,436,425.29,10.06,1
161,DECODE,436,0,436,426.29,15.92,1
162,DECODE,436,0,436,427.29,9.37,1
163,DECODE,436,0,436,428.29,16.31,1
164,DECODE,436,0,436,429.29,15.23,1
165,DECODE,436,0,436,430.29,15.59,1
166,DECODE,436,0,436,431.29,14.29,1
167,DECODE,436,0,436,432.29,8.94,1
168,DECODE,436,0,436,433.29,9.86,1
169,DECODE,436,0,436,434.29,14.44,1
170,DECODE,436,0,436,435.29,13.01,1
171,DECODE,436,0,436,436.29,10.23,1
172,DECODE,436,0,436,437.29,9.94,1
173,DECODE,436,0,436,438.29,12.43,1
174,DECODE,436,0,436,439.29,8.36,1
175,DECODE,434,0,434,440.09,9.60,1
176,EXTEND,67,981,0,315.25,35.29,1
177,DECODE,500,0,500,424.27,10.90,1
178,EXTEND,33,429,0,314.36,33.59,1
179,DECODE,533,0,533,418.47,342.23,1
180,DECODE,533,0,533,419.47,25.86,1
181,DECODE,533,0,533,420.47,30.70,1
182,DECODE,533,0,533,421.47,32.58,1
183,DECODE,533,0,533,422.47,33.00,1
184,DECODE,533,0,533,423.47,30.07,1
185,DECODE,533,0,533,424.47,19.18,1
186,DECODE,533,0,533,425.47,43.76,1
187,DECODE,533,0,533,426.47,19.21,1
188,DECODE,532,0,532,427.34,41.23,1
189,EXTEND,20,254,0,314.60,44.58,1
190,DECODE,552,0,552,424.26,416.51,1
191,DECODE,552,0,552,425.26,30.43,1
192,DECODE,551,0,551,426.13,44.05,1
193,EXTEND,12,126,0,313.17,49.24,1
194,DECODE,563,0,563,424.72,41.59,1
195,DECODE,563,0,563,425.72,52.92,1
196,DECODE,563,0,563,426.72,38.29,1
197,DECODE,563,0,563,427.72,22.48,1
198,DECODE,563,0,563,428.72,29.24,1
199,DECODE,563,0,563,429.72,18.27,1
200,DECODE,562,0,562,430.59,49.79,1
201,EXTEND,10,110,0,313.00,41.81,1
202,DECODE,572,0,572,429.53,363.44,1
203,DECODE,572,0,572,430.53,23.40,1
204,DECODE,572,0,572,431.53,22.14,1
205,DECODE,572,0,572,432.53,22.63,1
206,DECODE,572,0,572,433.53,31.06,1
207,DECODE,572,0,572,434.53,38.07,1
208,DECODE,572,0,572,435.53,22.52,1
209,DECODE,572,0,572,436.53,24.43,1
210,DECODE,571,0,571,437.40,43.99,1
211,EXTEND,10,134,0,313.60,52.03,1
212,DECODE,580,0,580,436.13,358.88,1
213,EXTEND,6,46,0,312.67,41.67,1
214,DECODE,584,0,584,435.59,402.79,1
215,EXTEND,4,56,0,314.00,32.74,1
216,DECODE,588,0,588,435.77,36.84,1
217,DECODE,588,0,588,436.77,20.65,1
218,DECODE,588,0,588,437.77,26.62,1
219,DECODE,588,0,588,438.77,19.56,1
220,DECODE,588,0,588,439.77,37.42,1
221,DECODE,588,0,588,440.77,23.13,1
222,DECODE,588,0,588,441.77,26.05,1
223,DECODE,588,0,588,442.77,37.05,1
224,DECODE,588,0,588,443.77,21.50,1
225,DECODE,587,0,587,444.63,30.01,1
226,EXTEND,8,104,0,312.50,667.65,1
227,DECODE,594,0,594,443.71,550.08,1
228,EXTEND,5,69,0,314.80,41.83,1
229,DECODE,599,0,599,443.64,408.91,1
230,DECODE,599,0,599,444.64,20.07,1
231,DECODE,598,0,598,445.50,116.48,1
232,EXTEND,4,15,0,316.75,37.23,1
233,DECODE,601,0,601,445.50,883.66,1
234,EXTEND,4,18,0,313.75,44.35,1
235,DECODE,605,0,605,445.63,112.49,1
236,DECODE,605,0,605,446.63,338.54,1
237,DECODE,603,0,603,447.34,36.57,1
238,EXTEND,4,18,0,315.25,26.63,1
239,DECODE,606,0,606,447.33,33.88,1
240,EXTEND,3,3,0,313.00,25.80,1
241,DECODE,608,0,608,447.52,115.21,1
242,EXTEND,3,36,0,312.00,45.08,1
243,DECODE,609,0,609,447.56,40.04,1
244,EXTEND,3,27,0,313.33,28.59,1
245,DECODE,612,0,612,447.90,145.44,1
246,DECODE,612,0,612,448.90,27.79,1
247,DECODE,611,0,611,449.76,38.67,1
248,EXTEND,4,26,0,313.50,32.26,1
249,DECODE,613,0,613,449.57,30.44,1
250,EXTEND,3,19,0,314.67,27.14,1
251,DECODE,614,0,614,449.61,37.08,1
252,EXTEND,3,3,0,318.00,22.43,1
253,DECODE,616,0,616,449.81,39.31,1
254,EXTEND,3,27,0,313.00,57.27,1
255,DECODE,619,0,619,450.15,44.32,1
256,DECODE,619,0,619,451.15,31.34,1
257,DECODE,619,0,619,452.15,30.62,1
258,DECODE,618,0,618,453.00,41.78,1
259,EXTEND,4,58,0,316.00,35.03,1
260,DECODE,621,0,621,452.96,46.70,1
261,EXTEND,3,25,0,313.67,31.93,1
262,DECODE,624,0,624,453.29,41.01,1
263,DECODE,624,0,624,454.29,84.88,1
264,DECODE,624,0,624,455.29,33.64,1
265,DECODE,624,0,624,456.29,22.26,1
266,DECODE,623,0,623,457.13,33.98,1
267,EXTEND,5,59,0,315.60,29.87,1
268,DECODE,625,0,625,456.53,58.83,1
269,EXTEND,5,61,0,314.80,28.21,1
270,DECODE,630,0,630,456.40,53.71,1
271,DECODE,630,0,630,457.40,26.55,1
272,DECODE,630,0,630,458.40,24.66,1
273,DECODE,630,0,630,459.40,36.39,1
274,DECODE,629,0,629,460.25,41.74,1
275,EXTEND,5,62,0,313.60,31.13,1
276,DECODE,630,0,630,459.45,21.96,1
277,EXTEND,6,57,0,317.00,32.88,1
278,DECODE,634,0,634,458.78,61.73,1
279,EXTEND,4,40,0,314.25,30.89,1
280,DECODE,637,0,637,458.72,50.54,1
281,EXTEND,4,40,0,313.00,82.46,1
282,DECODE,640,0,640,458.64,48.88,1
283,EXTEND,3,29,0,313.67,34.93,1
284,DECODE,642,0,642,458.80,71.26,1
285,EXTEND,3,14,0,314.00,77.14,1
286,DECODE,644,0,644,458.96,33.88,1
287,EXTEND,2,2,0,314.00,21.45,1
288,DECODE,645,0,645,459.35,37.00,1
289,EXTEND,2,15,0,314.00,24.36,1
290,DECODE,647,0,647,459.90,71.74,1
291,DECODE,647,0,647,460.90,30.70,1
292,DECODE,645,0,645,461.56,36.04,1
293,EXTEND,4,16,0,314.00,23.48,1
294,DECODE,646,0,646,461.14,37.90,1
295,EXTEND,4,16,0,313.75,23.44,1
296,DECODE,649,0,649,461.07,57.77,1
297,EXTEND,3,3,0,313.00,22.84,1
298,DECODE,652,0,652,461.39,33.31,1
299,DECODE,652,0,652,462.39,37.07,1
300,DECODE,652,0,652,463.39,34.14,1
301,DECODE,650,0,650,464.05,42.04,1
302,EXTEND,5,77,0,315.20,38.36,1
303,DECODE,653,0,653,463.57,37.52,1
304,EXTEND,4,15,0,316.00,43.62,1
305,DECODE,655,0,655,463.32,43.36,1
306,EXTEND,4,20,0,315.75,29.00,1
307,DECODE,658,0,658,463.25,40.03,1
308,EXTEND,4,17,0,314.75,29.21,1
309,DECODE,660,0,660,462.99,61.33,1
310,EXTEND,3,3,0,314.00,23.33,1
311,DECODE,662,0,662,463.14,35.31,1
312,EXTEND,3,48,0,315.00,30.92,1
313,DECODE,664,0,664,463.30,36.69,1
314,EXTEND,3,29,0,314.33,52.03,1
315,DECODE,666,0,666,463.45,36.70,1
316,EXTEND,2,2,0,314.00,53.75,1
317,DECODE,666,0,666,463.64,25.63,1
318,EXTEND,3,42,0,315.00,36.55,1
319,DECODE,669,0,669,463.97,36.79,1
320,DECODE,669,0,669,464.97,36.82,1
321,DECODE,669,0,669,465.97,67.29,1
322,DECODE,666,0,666,466.41,30.20,1
323,EXTEND,5,65,0,315.80,80.07,1
