pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,8,607,0,75.88,2069.63,1
2,EXTEND,84,6733,0,80.15,84.93,1
3,DECODE,92,0,92,80.78,23.35,1
4,DECODE,92,0,92,81.78,4.12,1
5,DECODE,92,0,92,82.78,3.94,1
6,DECODE,92,0,92,83.78,3.96,1
7,DECODE,92,0,92,84.78,3.92,1
8,DECODE,92,0,92,85.78,3.98,1
9,DECODE,92,0,92,86.78,3.90,1
10,DECODE,92,0,92,87.78,4.24,1
11,DECODE,92,0,92,88.78,4.33,1
12,DECODE,92,0,92,89.78,6.30,1
13,DECODE,92,0,92,90.78,4.63,1
14,DECODE,92,0,92,91.78,4.05,1
15,DECODE,92,0,92,92.78,3.86,1
16,DECODE,92,0,92,93.78,3.87,1
17,DECODE,92,0,92,94.78,3.85,1
18,DECODE,92,0,92,95.78,3.85,1
19,DECODE,92,0,92,96.78,3.90,1
20,DECODE,92,0,92,97.78,4.34,1
21,DECODE,92,0,92,98.78,4.39,1
22,DECODE,92,0,92,99.78,4.43,1
23,DECODE,92,0,92,100.78,4.37,1
24,DECODE,92,0,92,101.78,4.75,1
25,DECODE,92,0,92,102.78,6.34,1
26,DECODE,92,0,92,103.78,4.23,1
27,DECODE,92,0,92,104.78,4.09,1
28,DECODE,92,0,92,105.78,3.96,1
29,DECODE,92,0,92,106.78,3.94,1
30,DECODE,92,0,92,107.78,3.87,1
31,DECODE,92,0,92,108.78,3.89,1
32,DECODE,92,0,92,109.78,3.87,1
33,DECODE,92,0,92,110.78,3.84,1
34,DECODE,92,0,92,111.78,3.87,1
35,DECODE,92,0,92,112.78,3.88,1
36,DECODE,92,0,92,113.78,3.84,1
37,DECODE,92,0,92,114.78,3.83,1
38,DECODE,92,0,92,115.78,3.82,1
39,DECODE,92,0,92,116.78,3.82,1
40,DECODE,92,0,92,117.78,3.86,1
41,DECODE,92,0,92,118.78,3.85,1
42,DECODE,92,0,92,119.78,3.86,1
43,DECODE,92,0,92,120.78,3.83,1
44,DECODE,92,0,92,121.78,3.85,1
45,DECODE,92,0,92,122.78,3.85,1
46,DECODE,92,0,92,123.78,4.00,1
47,DECODE,92,0,92,124.78,4.05,1
48,DECODE,92,0,92,125.78,4.01,1
