length,turn
4138,2
6368,2
8192,2
4796,2
862,2
1221,4
867,2
880,2
1245,2
1649,4
1143,2
1062,2
2671,2
3098,4
3168,2
2981,2
2235,4
1642,2
1262,2
1562,2
8192,2
8192,2
8192,2
8192,2
2129,2
1826,2
1669,2
2228,2
962,4
1019,4
1094,4
1107,4
8192,2
8192,2
8192,2
8192,2
2354,4
2579,4
2535,4
2103,4
2060,2
2258,2
2057,4
1645,4
2290,4
2278,2
1269,2
1546,2
7624,2
3360,2
4706,2
3247,2
2761,2
2095,2
2436,4
2305,2
3846,2
4560,2
3577,2
4608,2
2302,4
1814,2
1399,4
2230,4
766,2
1081,4
1081,4
1109,4
2658,2
1800,2
2439,2
2217,2
1268,4
885,4
1754,4
996,2
1316,2
1180,2
1410,4
1286,2
1517,2
1356,4
987,2
1447,4
1744,4
1640,2
672,2
2358,2
218,2
247,2
191,2
213,2
2462,2
1915,2
1512,2
2635,2
624,2
323,2
666,2
616,2
6204,2
5609,2
4887,2
4900,2
1351,4
952,2
973,2
754,2
2302,2
4391,2
2683,2
6435,2
834,4
1068,4
881,4
880,4
820,4
705,4
1872,8
942,4
1989,4
1797,2
2253,2
1585,4
2559,2
1766,2
2892,2
2794,2
2361,2
1650,4
2188,2
1124,4
1095,4
1386,4
1244,4
1643,4
855,4
840,4
1126,4
924,4
673,4
670,4
655,4
676,4
1140,2
1534,4
1321,4
1438,4
973,4
874,4
784,4
885,4
1379,4
1573,4
1425,4
1421,4
5437,2
3799,2
3863,2
4733,2
1863,4
1244,4
1233,4
1021,2
948,4
438,4
616,4
500,4
1646,2
1476,2
1372,2
1404,2
1484,4
1344,4
1590,4
1416,4
611,2
1171,4
844,4
502,2
681,4
704,4
1046,4
547,4
1733,2
2043,4
2097,4
1947,4
785,4
760,4
909,4
658,4
1934,2
1448,2
1043,2
1407,2
1860,2
1737,4
1423,2
1876,4
742,4
985,4
795,2
735,4
2513,2
1498,2
2027,2
2399,4
1547,2
1503,4
1635,2
1905,4
646,4
741,4
979,4
833,4
3409,4
3749,4
3750,4
3206,4
1471,4
1448,4
1177,4
1539,8
8192,2
8138,6
8192,2
8192,2
1195,2
1730,4
1748,2
1216,2
778,2
1332,2
1399,4
1537,2
2583,2
3165,2
2879,2
2425,2
3589,2
5684,2
3699,2
4914,2
3439,4
3183,2
4707,2
3176,2
8192,2
6821,2
6328,2
8065,2
794,2
987,4
998,4
1085,4
8192,2
7188,2
8192,2
8192,2
962,4
847,4
1006,4
826,4
1532,4
1172,2
523,2
1029,2
1382,4
798,2
1129,4
1331,4
848,4
516,2
696,4
604,4
741,4
558,2
713,4
635,2
1842,4
1755,4
1588,4
1227,2
2732,2
2948,2
3706,2
3256,2
1008,4
920,4
702,2
808,2
3261,2
3932,2
7034,2
2423,2
966,4
765,4
677,4
484,4
860,2
790,2
1273,4
892,2
3520,2
