length,turn
23,2
55,2
134,2
28,2
134,2
157,2
155,2
98,2
67,2
38,2
65,2
99,2
64,2
88,2
38,2
43,2
78,2
192,2
23,2
214,2
82,2
48,2
36,2
79,2
70,2
48,2
75,2
41,2
35,2
30,2
23,2
38,2
27,2
40,2
35,2
38,2
36,2
37,2
31,2
45,2
70,2
34,2
46,2
57,2
119,2
26,2
23,2
23,2
61,2
55,2
121,2
39,2
145,2
242,2
232,2
131,2
56,2
42,2
56,2
81,2
30,2
124,2
151,2
70,2
52,2
68,2
67,2
100,2
123,2
155,2
156,2
84,2
24,2
72,2
127,2
108,2
57,2
53,2
99,2
29,2
52,2
51,2
156,2
55,2
244,2
153,2
32,2
33,2
39,2
113,2
40,2
132,2
117,2
185,2
145,2
75,2
151,2
44,2
47,2
91,2
110,2
37,2
44,2
79,2
48,2
46,2
36,2
38,2
157,2
66,2
60,2
41,2
116,2
80,2
83,2
41,2
236,2
171,2
370,2
500,2
120,2
34,2
50,2
38,2
205,2
302,2
83,2
153,2
47,2
27,2
34,2
30,2
58,2
76,2
41,2
54,2
37,2
79,2
277,2
49,2
118,2
136,2
86,2
38,2
37,2
42,2
124,2
179,2
68,2
89,2
47,2
85,2
58,2
42,2
35,2
69,2
67,2
30,2
97,2
116,2
57,2
221,2
66,2
64,2
72,2
134,2
72,2
74,2
83,2
45,2
82,2
35,2
26,2
28,2
23,2
56,2
99,2
117,2
25,2
25,2
101,2
213,2
239,2
158,2
34,2
35,2
36,2
36,2
55,2
44,2
42,2
48,2
89,2
82,2
64,2
60,2
31,2
75,2
31,2
31,2
114,2
92,2
132,2
57,2
103,2
32,2
34,2
82,2
68,2
68,2
62,2
89,2
27,2
23,2
23,2
23,2
107,2
98,2
44,2
46,2
41,2
213,2
60,2
121,2
104,2
161,2
63,2
30,2
29,2
73,2
67,2
23,2
46,2
59,2
25,2
38,2
401,2
67,2
324,2
236,2
96,2
84,2
170,2
298,2
28,2
112,2
26,2
26,2
67,2
67,2
85,2
75,2
54,2
54,2
34,2
114,2
51,2
72,2
89,2
77,2
97,2
19,2
69,2
95,2
78,2
164,2
325,2
425,2
165,2
52,2
40,2
29,2
30,2
76,2
69,2
32,2
103,2
98,2
103,2
134,2
60,2
42,2
137,2
37,2
40,2
117,2
47,2
46,2
67,2
45,2
78,2
67,2
89,2
67,2
67,2
67,2
29,2
24,2
24,2
24,2
69,2
99,2
96,2
31,2
81,2
35,2
53,2
27,2
107,2
139,2
112,2
82,2
31,2
34,2
36,2
86,2
40,2
33,2
36,2
76,2
23,2
65,2
36,2
105,2
85,2
80,2
19,2
112,2
184,2
189,2
127,2
133,2
475,2
655,2
113,2
812,2
38,2
75,2
37,2
36,2
111,2
96,2
29,2
67,2
69,2
67,2
74,2
111,2
59,2
73,2
90,2
133,2
31,2
100,2
92,2
85,2
35,2
99,2
79,2
44,2
306,2
42,2
119,2
175,2
71,2
79,2
103,2
34,2
48,2
65,2
125,2
45,2
76,2
33,2
31,2
79,2
28,2
64,2
105,2
39,2
47,2
47,2
58,2
47,2
44,2
137,2
81,2
36,2
154,2
59,2
203,2
61,2
46,2
97,2
45,2
32,2
26,2
32,2
74,2
38,2
56,2
35,2
81,2
54,2
148,2
35,2
47,2
71,2
29,2
47,2
36,2
36,2
23,2
69,2
29,2
27,2
74,2
