length,turn
989,2
622,2
526,2
423,2
207,2
1850,2
1155,2
911,2
644,2
803,2
5760,2
5739,2
960,2
1719,2
1020,2
1372,2
769,2
1193,2
1388,2
1682,2
1747,2
1084,2
1223,2
990,2
1846,2
1944,2
4358,2
1177,2
1065,2
1140,2
1419,2
4507,2
301,2
349,2
394,2
412,2
2099,2
849,2
600,2
564,2
345,2
440,2
372,2
566,2
528,2
1515,2
429,2
657,2
834,2
1574,2
2242,2
1126,2
387,2
515,2
500,2
366,2
8192,2
5642,2
1210,2
1349,2
407,2
3035,2
828,2
360,2
1158,2
858,2
763,2
1223,2
333,2
3180,2
483,2
616,2
779,2
603,2
502,2
452,2
454,2
648,2
334,2
310,2
3137,2
4057,2
3981,2
2281,2
1813,2
5306,2
4912,2
772,2
775,2
448,2
385,2
1953,2
1557,2
2663,2
2252,2
2219,2
387,2
438,2
443,2
595,2
804,2
1036,2
675,2
560,2
1308,2
822,2
1176,2
754,2
362,2
476,2
375,2
324,2
857,2
789,2
1409,2
753,2
3862,2
3969,2
6267,2
8192,2
678,2
589,2
317,2
1639,2
1699,2
1648,2
1877,2
2960,2
552,2
783,2
875,2
728,2
707,2
725,2
509,2
659,2
374,2
394,2
487,2
1057,2
534,2
1099,2
731,2
878,2
1581,2
2927,2
3471,2
600,2
788,2
410,2
394,2
681,2
554,2
897,2
1280,2
709,2
1532,2
611,2
366,2
411,2
831,2
1426,2
655,2
803,2
4257,2
5954,2
6722,2
8192,2
305,2
574,2
229,2
328,2
422,2
416,2
492,2
635,2
1527,2
1017,2
586,2
1561,2
1365,2
262,2
634,2
1497,2
363,2
602,2
390,2
586,2
532,2
764,2
830,2
805,2
1557,2
730,2
454,2
417,2
552,2
591,2
479,2
309,2
253,2
383,2
731,2
899,2
781,2
709,2
2188,2
2007,2
4328,2
5024,2
5008,2
3644,2
190,2
299,2
257,2
354,2
437,2
470,2
1239,2
789,2
714,2
821,2
1364,2
721,2
833,2
370,2
552,2
534,2
1001,2
840,2
915,2
914,2
621,2
749,2
492,2
934,2
8192,2
8192,2
776,2
2095,2
3643,2
5217,2
2484,2
3108,2
616,2
767,2
577,2
403,2
382,2
1668,2
797,2
1573,2
489,2
333,2
405,2
224,2
664,2
891,2
782,2
266,2
445,2
314,2
266,2
421,2
8192,2
6082,2
2714,2
3842,2
1473,2
3071,2
1910,2
720,2
1144,2
440,2
769,2
566,2
417,2
485,2
1508,2
1111,2
483,2
436,2
525,2
430,2
575,2
729,2
1905,2
1031,2
1229,2
1272,2
546,2
1103,2
2070,2
1146,2
622,2
456,2
623,2
678,2
509,2
1184,2
6814,2
4136,2
8192,2
4465,2
585,2
769,2
543,2
556,2
844,2
421,2
1024,2
1456,2
626,2
460,2
580,2
427,2
538,2
586,2
518,2
391,2
581,2
711,2
441,2
1068,2
526,2
434,2
512,2
546,2
370,2
618,2
506,2
454,2
2282,2
4252,2
3140,2
5707,2
447,2
545,2
325,2
1068,2
880,2
717,2
1182,2
603,2
567,2
1126,2
329,2
444,2
531,2
842,2
753,2
503,2
4570,2
2381,2
1458,2
6541,2
304,2
495,2
434,2
272,2
2569,2
1292,2
1341,2
843,2
445,2
425,2
477,2
482,2
1303,2
1906,2
1462,2
1264,2
1089,2
566,2
1020,2
619,2
1991,2
1311,2
901,2
882,2
576,2
461,2
501,2
485,2
335,2
376,2
492,2
711,2
1075,2
1346,2
1762,2
1222,2
624,2
718,2
759,2
854,2
553,2
468,2
1227,2
678,2
1196,2
1424,2
1022,2
781,2
1838,2
2396,2
1302,2
5839,2
1177,2
1175,2
428,2
892,2
299,2
340,2
359,2
312,2
1764,2
1603,2
959,2
1521,2
542,2
354,2
354,2
302,2
1903,2
1013,2
3400,2
2769,2
546,2
654,2
369,2
488,2
4497,2
4004,2
1179,2
2398,2
741,2
506,2
582,2
577,2
2304,2
1184,2
1055,2
1193,2
2003,2
3342,2
3088,2
3355,2
683,2
594,2
602,2
525,2
494,2
558,2
922,2
993,2
637,2
337,2
520,2
579,2
911,2
771,2
361,2
883,2
667,2
879,2
2828,2
925,2
1654,2
404,2
679,2
400,2
838,2
1069,2
910,2
1118,2
563,2
2667,2
2777,2
2608,2
4050,2
3231,2
3371,2
6807,2
779,2
1130,2
613,2
914,2
1239,2
431,2
606,2
657,2
1297,2
1923,2
1080,2
1240,2
1277,2
1363,2
1202,2
748,2
3001,2
2028,2
1387,2
2182,2
856,2
967,2
833,2
781,2
1047,2
680,2
1096,2
855,2
1159,2
1140,2
796,2
1037,2
357,2
439,2
316,2
398,2
620,2
588,2
448,2
547,2
1071,2
883,2
1500,2
757,2
3328,2
3068,2
3005,2
1908,2
472,2
800,2
508,2
493,2
1257,2
2056,2
483,2
586,2
579,2
367,2
836,2
642,2
513,2
556,2
397,2
767,2
412,2
420,2
464,2
473,2
348,2
370,2
661,2
518,2
565,2
336,2
274,2
288,2
2670,2
2644,2
7937,2
5863,2
527,2
869,2
561,2
1217,2
291,2
299,2
368,2
316,2
2472,2
1196,2
2872,2
2092,2
602,2
696,2
757,2
499,2
588,2
423,2
437,2
1276,2
1755,2
2020,2
2813,2
4674,2
400,2
573,2
294,2
393,2
2629,2
325,2
1303,2
1272,2
822,2
455,2
532,2
452,2
520,2
430,2
503,2
418,2
1342,2
446,2
1032,2
408,2
3096,2
1931,2
2201,2
2621,2
7773,2
7458,2
6279,2
8192,2
1199,2
2414,2
889,2
4350,2
7264,2
5280,2
2589,2
4780,2
435,2
585,2
395,2
1013,2
515,2
2909,2
881,2
1995,2
1454,2
861,2
1919,2
3308,2
479,2
425,2
540,2
377,2
343,2
335,2
431,2
522,2
603,2
531,2
447,2
753,2
406,2
483,2
929,2
842,2
505,2
2404,2
3879,2
3060,2
7350,2
5372,2
3713,2
6598,2
2589,2
806,2
1178,2
1550,2
509,2
482,2
1486,2
553,2
394,2
586,2
436,2
338,2
273,2
351,2
365,2
354,2
951,2
1181,2
795,2
1089,2
1061,2
464,2
932,2
618,2
3446,2
1255,2
3011,2
4528,2
536,2
492,2
355,2
937,2
298,2
334,2
318,2
301,2
543,2
877,2
520,2
416,2
1620,2
1832,2
1795,2
941,2
513,2
385,2
937,2
762,2
5806,2
7406,2
3279,2
4820,2
589,2
643,2
480,2
996,2
921,2
673,2
986,2
3206,2
1621,2
3410,2
1950,2
2117,2
1030,2
981,2
1662,2
413,2
3002,2
550,2
1094,2
2342,2
308,2
291,2
409,2
372,2
530,2
1020,2
816,2
675,2
363,2
670,2
606,2
619,2
983,2
8192,2
5664,2
1381,2
6672,2
840,2
602,2
1329,2
665,2
605,2
867,2
872,2
349,2
866,2
369,2
355,2
4148,2
1339,2
2216,2
3534,2
264,2
364,2
310,2
363,2
2243,2
7320,2
2680,2
6745,2
1852,2
1311,2
795,2
1821,2
4010,2
5265,2
3374,2
5351,2
397,2
350,2
301,2
328,2
3406,2
1631,2
409,2
498,2
4211,2
4222,2
4681,2
4377,2
1210,2
1521,2
1423,2
2715,2
661,2
1136,2
416,2
487,2
1319,2
816,2
1649,2
4360,2
591,2
741,2
1047,2
795,2
1895,2
881,2
2291,2
678,2
1690,2
2654,2
3655,2
2184,2
361,2
338,2
440,2
341,2
1438,2
694,2
900,2
5099,2
366,2
552,2
855,2
252,2
681,2
394,2
597,2
626,2
789,2
609,2
999,2
711,2
5517,2
957,2
6289,2
4574,2
858,2
1437,2
1016,2
944,2
1066,2
2222,2
3951,2
3303,2
787,2
777,2
1037,2
876,2
566,2
420,2
594,2
589,2
1393,2
1532,2
542,2
685,2
5851,2
757,2
3058,2
3425,2
1926,2
1441,2
1169,2
2013,2
1744,2
862,2
1286,2
978,2
3692,2
741,2
736,2
914,2
241,2
302,2
309,2
312,2
1107,2
1400,2
780,2
756,2
519,2
369,2
523,2
382,2
842,2
310,2
409,2
495,2
2476,2
695,2
751,2
1235,2
541,2
542,2
695,2
628,2
556,2
392,2
809,2
1000,2
421,2
607,2
403,2
323,2
570,2
1151,2
562,2
580,2
2807,2
4940,2
2160,2
3277,2
485,2
713,2
669,2
828,2
575,2
545,2
432,2
670,2
418,2
692,2
414,2
457,2
759,2
494,2
361,2
621,2
492,2
646,2
1885,2
672,2
1234,2
2113,2
522,2
484,2
868,2
768,2
2190,2
651,2
4175,2
2152,2
4599,2
1360,2
4734,2
1061,2
409,2
1118,2
821,2
361,2
3550,2
448,2
702,2
852,2
1083,2
3828,2
693,2
852,2
