length,turn
380,2
367,2
177,2
184,2
219,2
179,2
239,2
214,2
161,2
159,2
186,2
131,2
158,2
161,2
175,2
193,2
517,2
449,2
531,2
497,2
269,2
264,2
226,2
224,2
171,2
183,2
186,2
151,2
165,2
186,2
207,2
190,2
104,2
103,2
103,2
103,2
396,2
284,2
309,2
344,2
134,2
129,2
124,2
127,2
168,2
156,2
153,2
166,2
429,2
451,2
464,2
467,2
239,2
241,2
228,2
218,2
263,2
232,2
272,2
266,2
231,2
168,2
195,2
201,2
141,2
143,2
131,2
141,2
203,2
224,2
189,2
183,2
162,2
145,2
168,2
139,2
152,2
152,2
154,2
142,2
383,2
284,2
397,2
493,2
290,2
254,2
347,2
313,2
232,2
260,2
243,2
218,2
203,2
203,2
223,2
174,2
221,2
238,2
255,2
234,2
106,2
124,2
98,2
100,2
226,2
366,2
345,2
243,2
131,2
118,2
137,2
131,2
215,2
301,2
185,2
238,2
357,2
432,2
471,2
384,2
153,2
170,2
186,2
144,2
389,2
452,2
501,2
423,2
235,2
302,2
222,2
288,2
177,2
219,2
192,2
206,2
180,2
131,2
192,2
170,2
226,2
170,2
175,2
220,2
170,2
160,2
179,2
157,2
146,2
138,2
133,2
141,2
153,2
140,2
142,2
156,2
154,2
134,2
133,2
105,2
175,2
178,2
181,2
162,2
451,2
367,2
459,2
701,2
124,2
126,2
114,2
127,2
152,2
183,2
140,2
191,2
243,2
244,2
187,2
199,2
174,2
194,2
190,2
198,2
164,2
162,2
172,2
166,2
214,2
212,2
174,2
203,2
283,2
308,2
253,2
318,2
183,2
176,2
179,2
201,2
206,2
205,2
196,2
213,2
151,2
153,2
182,2
152,2
1140,2
887,2
1057,2
1303,2
90,2
90,2
123,2
121,2
231,2
214,2
229,2
242,2
255,2
275,2
148,2
188,2
220,2
222,2
295,2
255,2
207,2
262,2
225,2
210,2
210,2
205,2
224,2
215,2
443,2
423,2
472,2
444,2
230,2
238,2
235,2
737,2
153,2
131,2
131,2
134,2
142,2
154,2
154,2
155,2
223,2
216,2
218,2
229,2
151,2
152,2
168,2
154,2
145,2
132,2
125,2
114,2
661,2
653,2
683,2
659,2
257,2
197,2
222,2
290,2
179,2
144,2
156,2
161,2
190,2
213,2
173,2
192,2
148,2
151,2
151,2
148,2
189,2
185,2
171,2
164,2
163,2
149,2
206,2
195,2
197,2
208,2
185,2
201,2
228,2
179,2
197,2
221,2
242,2
212,2
242,2
244,2
167,2
131,2
142,2
124,2
1051,2
529,2
710,2
851,2
204,2
162,2
208,2
160,2
156,2
146,2
176,2
141,2
243,2
277,2
258,2
196,2
137,2
135,2
138,2
125,2
180,2
169,2
178,2
182,2
511,2
478,2
472,2
471,2
91,2
91,2
93,2
97,2
178,2
188,2
187,2
198,2
107,2
127,2
125,2
109,2
259,2
170,2
163,2
245,2
405,2
405,2
398,2
430,2
135,2
