length,turn
371,2
266,2
177,2
364,2
183,2
238,2
232,2
230,2
172,2
188,2
166,2
150,2
179,2
167,2
218,2
204,2
455,2
532,2
465,2
572,2
257,2
250,2
307,2
260,2
173,2
201,2
171,2
153,2
170,2
195,2
186,2
195,2
104,2
104,2
108,2
96,2
317,2
290,2
256,2
307,2
121,2
128,2
124,2
127,2
163,2
157,2
172,2
161,2
435,2
307,2
472,2
432,2
294,2
240,2
236,2
245,2
179,2
261,2
262,2
260,2
207,2
215,2
222,2
183,2
169,2
152,2
125,2
140,2
210,2
203,2
210,2
204,2
139,2
153,2
149,2
144,2
156,2
154,2
144,2
151,2
351,2
414,2
513,2
395,2
311,2
255,2
288,2
265,2
257,2
231,2
253,2
318,2
201,2
182,2
179,2
234,2
210,2
249,2
209,2
190,2
100,2
95,2
109,2
102,2
236,2
261,2
344,2
265,2
121,2
138,2
122,2
150,2
160,2
151,2
261,2
242,2
415,2
319,2
393,2
410,2
163,2
172,2
177,2
164,2
496,2
384,2
411,2
363,2
233,2
238,2
275,2
240,2
180,2
185,2
175,2
162,2
131,2
182,2
184,2
179,2
218,2
217,2
223,2
249,2
177,2
183,2
161,2
170,2
171,2
120,2
137,2
128,2
143,2
132,2
156,2
140,2
131,2
112,2
122,2
102,2
188,2
220,2
173,2
180,2
3802,2
349,2
1003,2
568,2
120,2
125,2
122,2
118,2
135,2
166,2
138,2
140,2
294,2
246,2
250,2
139,2
240,2
204,2
225,2
257,2
174,2
152,2
161,2
167,2
209,2
202,2
207,2
194,2
292,2
271,2
258,2
311,2
154,2
177,2
184,2
145,2
200,2
215,2
200,2
192,2
166,2
151,2
166,2
158,2
1096,2
1133,2
1052,2
1169,2
119,2
93,2
100,2
115,2
226,2
199,2
186,2
217,2
260,2
143,2
204,2
278,2
252,2
241,2
264,2
238,2
227,2
229,2
231,2
211,2
210,2
195,2
210,2
233,2
453,2
456,2
437,2
452,2
248,2
1493,2
739,2
1518,2
135,2
149,2
129,2
130,2
152,2
151,2
154,2
142,2
171,2
174,2
215,2
187,2
167,2
129,2
133,2
131,2
156,2
129,2
115,2
124,2
628,2
661,2
533,2
462,2
255,2
245,2
325,2
188,2
163,2
169,2
222,2
160,2
193,2
184,2
178,2
195,2
148,2
151,2
148,2
128,2
172,2
183,2
180,2
159,2
179,2
165,2
167,2
153,2
175,2
203,2
189,2
206,2
171,2
222,2
216,2
225,2
281,2
231,2
238,2
243,2
135,2
166,2
106,2
168,2
1262,2
583,2
1035,2
284,2
202,2
213,2
147,2
169,2
142,2
147,2
142,2
165,2
171,2
216,2
238,2
282,2
168,2
122,2
114,2
128,2
178,2
166,2
189,2
168,2
464,2
501,2
543,2
491,2
93,2
89,2
90,2
91,2
162,2
180,2
185,2
175,2
114,2
109,2
113,2
110,2
194,2
195,2
250,2
191,2
420,2
220,2
416,2
361,2
134,2
134,2
135,2
164,2
250,2
263,2
304,2
293,2
166,2
165,2
165,2
165,2
287,2
294,2
330,2
264,2
206,2
537,2
421,2
228,2
154,2
165,2
166,2
163,2
163,2
163,2
169,2
163,2
134,2
107,2
160,2
130,2
306,2
324,2
342,2
338,2
249,2
263,2
266,2
278,2
237,2
207,2
237,2
240,2
258,2
233,2
218,2
276,2
283,2
326,2
196,2
258,2
201,2
190,2
221,2
186,2
148,2
147,2
130,2
130,2
540,2
558,2
580,2
552,2
109,2
104,2
138,2
107,2
535,2
229,2
321,2
251,2
160,2
143,2
163,2
151,2
170,2
165,2
180,2
175,2
108,2
118,2
108,2
108,2
217,2
1159,2
202,2
224,2
168,2
606,2
212,2
196,2
241,2
205,2
206,2
206,2
181,2
184,2
172,2
185,2
101,2
123,2
119,2
119,2
239,2
230,2
222,2
242,2
229,2
301,2
238,2
242,2
108,2
108,2
109,2
135,2
334,2
330,2
372,2
347,2
554,2
457,2
210,2
391,2
286,2
272,2
289,2
284,2
198,2
205,2
224,2
210,2
221,2
213,2
211,2
214,2
294,2
297,2
290,2
295,2
357,2
336,2
305,2
304,2
371,2
303,2
355,2
374,2
194,2
167,2
163,2
225,2
264,2
270,2
251,2
246,2
229,2
240,2
261,2
239,2
96,2
93,2
95,2
93,2
191,2
206,2
203,2
226,2
243,2
271,2
290,2
249,2
293,2
316,2
280,2
290,2
132,2
119,2
128,2
138,2
212,2
216,2
215,2
244,2
162,2
152,2
199,2
167,2
159,2
187,2
167,2
146,2
169,2
174,2
174,2
176,2
130,2
133,2
118,2
123,2
126,2
111,2
116,2
111,2
258,2
315,2
306,2
288,2
204,2
168,2
200,2
167,2
121,2
121,2
123,2
103,2
581,2
497,2
473,2
456,2
207,2
211,2
210,2
192,2
245,2
228,2
239,2
239,2
242,2
225,2
225,2
218,2
143,2
132,2
138,2
128,2
205,2
170,2
236,2
174,2
177,2
198,2
197,2
189,2
95,2
102,2
129,2
314,2
174,2
151,2
171,2
149,2
308,2
352,2
332,2
295,2
804,2
8192,2
486,2
587,2
1343,2
1517,2
757,2
1770,2
394,2
584,2
359,2
447,2
194,2
198,2
188,2
193,2
274,2
248,2
247,2
268,2
371,2
358,2
357,2
391,2
168,2
172,2
130,2
158,2
112,2
126,2
112,2
124,2
112,2
108,2
124,2
134,2
184,2
158,2
162,2
199,2
500,2
363,2
460,2
363,2
430,2
410,2
445,2
516,2
303,2
302,2
289,2
290,2
169,2
202,2
173,2
167,2
183,2
172,2
170,2
182,2
210,2
208,2
212,2
235,2
239,2
280,2
224,2
269,2
222,2
190,2
178,2
172,2
332,2
315,2
389,2
351,2
170,2
205,2
196,2
210,2
85,2
100,2
85,2
79,2
188,2
162,2
161,2
169,2
2599,2
1828,2
2193,2
1186,2
165,2
163,2
164,2
159,2
736,2
765,2
636,2
530,2
216,2
146,2
207,2
160,2
266,2
197,2
260,2
262,2
210,2
273,2
311,2
286,2
231,2
271,2
244,2
300,2
221,2
254,2
248,2
254,2
110,2
108,2
111,2
109,2
290,2
212,2
213,2
209,2
240,2
229,2
266,2
279,2
235,2
300,2
268,2
318,2
277,2
