length,turn
1156,2
1629,2
1314,2
2105,2
640,2
499,2
419,2
573,2
596,2
958,2
579,2
790,2
983,2
524,2
935,2
639,2
1841,2
2050,2
1641,2
4148,2
873,2
642,2
1696,2
1024,2
900,2
616,2
687,2
1967,2
995,2
1117,2
1095,2
1177,2
527,2
491,2
487,2
547,2
1224,2
758,2
1173,2
719,2
954,2
600,2
1023,2
354,2
954,2
594,2
747,2
842,2
1593,2
2098,2
1858,2
1641,2
532,2
557,2
542,2
646,2
1104,2
1696,2
2279,2
1542,2
1569,2
953,2
1018,2
958,2
625,2
822,2
1216,2
1482,2
610,2
676,2
665,2
555,2
604,2
460,2
662,2
483,2
704,2
575,2
809,2
723,2
2488,2
2063,2
1628,2
1551,2
1287,2
2910,2
1440,2
1467,2
914,2
1097,2
1359,2
1632,2
1103,2
1913,2
1780,2
1232,2
731,2
664,2
741,2
875,2
805,2
927,2
1003,2
803,2
1466,2
1209,2
2267,2
1901,2
662,2
651,2
557,2
688,2
868,2
784,2
970,2
1156,2
2239,2
3646,2
2970,2
3353,2
552,2
738,2
473,2
830,2
2276,2
2788,2
2220,2
1675,2
1001,2
1271,2
1088,2
1205,2
1498,2
1685,2
1737,2
1313,2
625,2
4373,2
3044,2
991,2
992,2
1004,2
832,2
920,2
957,2
1197,2
886,2
707,2
469,2
442,2
601,2
541,2
590,2
479,2
432,2
673,2
819,2
811,2
838,2
798,2
930,2
817,2
611,2
806,2
5469,2
5371,2
3900,2
3003,2
488,2
287,2
377,2
272,2
778,2
761,2
747,2
794,2
741,2
624,2
773,2
551,2
1444,2
2310,2
1554,2
675,2
407,2
396,2
465,2
537,2
1109,2
923,2
914,2
874,2
1100,2
1142,2
1197,2
1227,2
518,2
425,2
531,2
433,2
624,2
595,2
593,2
821,2
1331,2
2722,2
3170,2
2710,2
4606,2
5830,2
3617,2
5130,2
529,2
303,2
340,2
275,2
937,2
882,2
1021,2
1422,2
1568,2
1325,2
970,2
1016,2
698,2
881,2
727,2
757,2
775,2
769,2
1053,2
759,2
1027,2
954,2
714,2
782,2
1079,2
1233,2
1071,2
1124,2
2173,2
2987,2
3386,2
3422,2
931,2
635,2
999,2
623,2
277,2
552,2
293,2
450,2
2421,2
1560,2
1281,2
853,2
826,2
501,2
525,2
570,2
574,2
494,2
560,2
478,2
1871,2
3494,2
1802,2
1556,2
1667,2
1847,2
1874,2
1551,2
594,2
613,2
593,2
661,2
1053,2
1065,2
1128,2
1069,2
528,2
604,2
526,2
621,2
1235,2
875,2
1229,2
1135,2
638,2
868,2
666,2
605,2
706,2
580,2
1110,2
738,2
1783,2
1439,2
1340,2
1487,2
3414,2
3728,2
2716,2
1230,2
911,2
939,2
760,2
749,2
1294,2
1607,2
956,2
936,2
945,2
782,2
912,2
839,2
528,2
582,2
535,2
532,2
634,2
553,2
628,2
647,2
782,2
623,2
663,2
632,2
782,2
810,2
806,2
767,2
2069,2
1869,2
1901,2
1781,2
640,2
570,2
590,2
836,2
678,2
721,2
692,2
1245,2
414,2
391,2
993,2
828,2
530,2
532,2
628,2
681,2
1022,2
843,2
960,2
1384,2
723,2
773,2
561,2
560,2
752,2
980,2
696,2
2724,2
529,2
449,2
477,2
436,2
1529,2
1286,2
1520,2
1283,2
1450,2
960,2
1228,2
1181,2
837,2
612,2
810,2
935,2
810,2
684,2
882,2
939,2
653,2
938,2
606,2
624,2
1895,2
1789,2
1904,2
1600,2
705,2
707,2
705,2
679,2
728,2
968,2
683,2
837,2
938,2
1369,2
1091,2
1049,2
595,2
676,2
931,2
903,2
1081,2
1325,2
1183,2
1193,2
421,2
422,2
377,2
407,2
2960,2
1947,2
2697,2
2400,2
574,2
564,2
642,2
724,2
1837,2
