length,turn
22,2
37,2
24,2
125,2
54,2
134,2
42,2
187,2
83,2
36,2
76,2
34,2
129,2
69,2
49,2
89,2
117,2
22,2
48,2
121,2
74,2
80,2
29,2
98,2
33,2
104,2
31,2
114,2
32,2
34,2
23,2
28,2
37,2
36,2
31,2
32,2
29,2
207,2
39,2
106,2
162,2
66,2
89,2
45,2
41,2
23,2
81,2
28,2
70,2
57,2
60,2
67,2
191,2
114,2
69,2
175,2
56,2
39,2
58,2
104,2
60,2
54,2
23,2
25,2
69,2
24,2
111,2
64,2
136,2
154,2
99,2
155,2
88,2
87,2
48,2
40,2
27,2
105,2
59,2
27,2
99,2
63,2
61,2
145,2
30,2
32,2
32,2
75,2
190,2
51,2
55,2
155,2
91,2
101,2
17,2
151,2
88,2
47,2
48,2
135,2
70,2
29,2
69,2
63,2
33,2
61,2
164,2
43,2
106,2
29,2
30,2
26,2
40,2
147,2
103,2
235,2
341,2
183,2
435,2
174,2
36,2
96,2
70,2
30,2
74,2
199,2
60,2
76,2
22,2
30,2
32,2
103,2
42,2
43,2
41,2
41,2
24,2
67,2
76,2
23,2
136,2
74,2
35,2
182,2
38,2
42,2
74,2
50,2
87,2
99,2
100,2
41,2
34,2
75,2
38,2
52,2
36,2
39,2
40,2
39,2
72,2
42,2
39,2
72,2
117,2
46,2
79,2
38,2
47,2
67,2
69,2
75,2
26,2
26,2
24,2
110,2
24,2
67,2
21,2
68,2
113,2
37,2
168,2
211,2
36,2
29,2
82,2
17,2
67,2
44,2
110,2
57,2
172,2
300,2
70,2
154,2
40,2
70,2
24,2
97,2
77,2
221,2
89,2
67,2
34,2
67,2
34,2
34,2
71,2
49,2
202,2
47,2
23,2
23,2
23,2
23,2
23,2
67,2
188,2
48,2
40,2
42,2
43,2
43,2
68,2
63,2
103,2
63,2
49,2
31,2
48,2
71,2
130,2
40,2
35,2
87,2
421,2
38,2
362,2
1455,2
152,2
233,2
45,2
45,2
30,2
30,2
25,2
28,2
67,2
64,2
24,2
56,2
42,2
123,2
39,2
81,2
62,2
39,2
51,2
55,2
42,2
238,2
23,2
148,2
333,2
147,2
100,2
121,2
37,2
296,2
41,2
161,2
88,2
87,2
97,2
75,2
140,2
182,2
247,2
189,2
69,2
111,2
97,2
49,2
67,2
104,2
29,2
106,2
50,2
75,2
58,2
71,2
67,2
67,2
85,2
114,2
46,2
53,2
24,2
35,2
79,2
25,2
137,2
137,2
33,2
74,2
29,2
32,2
45,2
107,2
300,2
96,2
32,2
73,2
87,2
45,2
134,2
36,2
23,2
30,2
23,2
120,2
33,2
107,2
43,2
55,2
21,2
46,2
75,2
121,2
113,2
99,2
124,2
492,2
376,2
267,2
36,2
37,2
39,2
37,2
155,2
29,2
187,2
69,2
72,2
69,2
73,2
69,2
71,2
82,2
37,2
59,2
32,2
32,2
81,2
51,2
80,2
76,2
77,2
32,2
40,2
195,2
34,2
83,2
65,2
47,2
45,2
42,2
89,2
46,2
50,2
39,2
64,2
25,2
31,2
49,2
40,2
35,2
28,2
39,2
67,2
198,2
47,2
47,2
38,2
139,2
34,2
195,2
51,2
243,2
80,2
190,2
40,2
34,2
27,2
92,2
32,2
59,2
33,2
123,2
30,2
33,2
45,2
29,2
41,2
44,2
89,2
59,2
29,2
33,2
166,2
84,2
71,2
67,2
88,2
39,2
207,2
74,2
133,2
127,2
115,2
61,2
67,2
67,2
39,2
90,2
41,2
41,2
41,2
70,2
29,2
29,2
91,2
86,2
41,2
108,2
29,2
23,2
29,2
27,2
70,2
53,2
53,2
74,2
48,2
41,2
33,2
36,2
29,2
99,2
65,2
64,2
29,2
79,2
34,2
135,2
38,2
35,2
37,2
39,2
163,2
143,2
90,2
84,2
177,2
165,2
142,2
135,2
23,2
37,2
37,2
72,2
75,2
26,2
120,2
65,2
23,2
29,2
23,2
23,2
115,2
61,2
49,2
65,2
24,2
20,2
41,2
69,2
149,2
46,2
35,2
167,2
208,2
94,2
164,2
105,2
39,2
38,2
31,2
45,2
71,2
315,2
15,2
158,2
38,2
26,2
38,2
40,2
36,2
68,2
24,2
35,2
110,2
17,2
84,2
135,2
89,2
49,2
55,2
69,2
87,2
85,2
81,2
242,2
105,2
38,2
40,2
114,2
94,2
37,2
64,2
43,2
32,2
115,2
31,2
42,2
70,2
46,2
44,2
44,2
79,2
23,2
38,2
29,2
81,2
90,2
221,2
97,2
26,2
29,2
69,2
50,2
26,2
61,2
25,2
26,2
85,2
128,2
78,2
71,2
55,2
34,2
39,2
49,2
23,2
37,2
23,2
23,2
88,2
77,2
43,2
30,2
84,2
189,2
132,2
124,2
81,2
47,2
53,2
112,2
29,2
262,2
