length,turn
2687,2
2333,2
2729,2
2715,2
1384,2
2966,2
1040,2
1016,2
5309,2
8192,2
8192,2
5628,2
4882,2
8192,2
8192,2
4449,2
1657,2
1227,2
2177,2
931,2
3004,2
1727,2
3303,2
1690,2
2293,2
2271,2
1127,2
2230,2
8192,2
6932,2
6722,2
4362,2
2050,2
3697,2
3070,2
2620,2
2019,2
1317,2
1873,2
1516,2
2090,2
2189,2
1728,2
1967,2
2898,2
2334,2
2707,2
3181,2
3239,2
1333,2
1064,2
2197,2
1867,2
1016,2
2718,2
1932,2
1842,2
1797,2
525,2
2132,2
3587,2
2970,2
3252,2
2903,2
1621,2
2419,2
2510,2
2577,2
8192,2
8192,2
8192,2
8192,2
1838,2
2144,2
2083,2
1626,2
1628,2
1654,2
885,2
1579,2
2741,2
3869,2
3325,2
2366,2
2122,2
2244,2
3174,2
2280,2
4404,2
1719,2
2138,2
1559,2
1514,2
1475,2
2183,2
1637,2
6594,2
8192,2
3724,2
3356,2
2202,2
1691,2
1905,2
1272,2
4061,2
5062,2
2776,2
3499,2
3228,2
4297,2
1600,2
1835,2
2187,2
1868,2
1212,2
1276,2
1913,2
3063,2
8192,2
8192,2
1597,2
2082,2
3690,2
5368,2
1700,2
1359,2
1296,2
1275,2
699,2
1447,2
1238,2
1810,2
4615,2
2245,2
2234,2
2318,2
7311,2
6130,2
8192,2
8192,2
1326,2
1811,2
2261,2
1941,2
1578,2
1978,2
1916,2
1678,2
4577,2
3932,2
3769,2
818,2
2924,2
2020,2
2165,2
2992,2
1853,2
1920,2
2025,2
2945,2
6966,2
8192,2
5734,2
7280,2
3241,2
8192,2
3928,2
4580,2
1713,2
1244,2
1699,2
2558,2
2467,2
2599,2
1968,2
2261,2
4940,2
5613,2
8192,2
4575,2
4835,2
8192,2
4221,2
4346,2
1528,2
2011,2
1758,2
3133,2
2194,2
3113,2
3701,2
2067,2
8192,2
8192,2
8192,2
8192,2
1900,2
1743,2
1730,2
2602,2
8192,2
6065,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
2857,2
2329,2
2487,2
944,2
4911,2
4189,2
4205,2
3910,2
6341,2
5148,2
7890,2
7755,2
2732,2
1837,2
1822,2
1799,2
1564,2
1970,2
1102,2
3849,2
5887,2
8192,2
3479,2
8192,2
3283,2
4150,2
3226,2
3725,2
1670,2
1854,2
2274,2
2441,2
1948,2
1711,2
1141,2
2000,2
8192,2
7226,2
8192,2
8192,2
3887,2
4198,2
2329,2
1862,2
4620,2
5815,2
2917,2
7842,2
2999,2
3428,2
2369,2
3353,2
2245,2
3914,2
1958,2
3420,2
3057,2
2447,2
5266,2
4190,2
2589,2
2222,2
2834,2
4084,2
4890,2
4622,2
6199,2
4352,2
1297,2
928,2
1575,2
837,2
1893,2
3961,2
2217,2
3034,2
1863,2
1724,2
2625,2
1979,2
1911,2
1387,2
1983,2
1623,2
3005,2
1789,2
1330,2
1319,2
1590,2
3681,2
1467,2
1537,2
8041,2
4034,2
3171,2
3928,2
1901,2
4526,2
1718,2
1600,2
5838,2
7568,2
6336,2
3823,2
3047,2
3790,2
2800,2
2963,2
5740,2
5541,2
5447,2
7274,2
8192,2
8192,2
8192,2
8023,2
4066,2
4451,2
4259,2
4846,2
8192,2
3178,2
2152,2
2636,2
1475,2
2532,2
1542,2
1527,2
1610,2
1333,2
2818,2
3103,2
1349,2
2014,2
1012,2
1236,2
3275,2
3486,2
4819,2
3392,2
2851,2
3362,2
1989,2
5914,2
1036,2
1064,2
1134,2
1550,2
1723,2
3161,2
3231,2
7971,2
3108,2
3340,2
2855,2
3338,2
4033,2
4008,2
2354,2
4255,2
1376,2
1150,2
1859,2
1308,2
2694,2
3730,2
4048,2
2236,2
1822,2
1077,2
1458,2
1510,2
8192,2
8192,2
6759,2
8192,2
5282,2
8192,2
5217,2
8192,2
1394,2
1400,2
1072,2
1300,2
7979,2
8192,2
5442,2
8192,2
4686,2
5591,2
5753,2
3979,2
1819,2
1636,2
1846,2
3753,2
8192,2
8192,2
8192,2
6061,2
1882,2
2422,2
1120,2
1983,2
1139,2
1816,2
1828,2
1325,2
4584,2
3996,2
3197,2
8192,2
4525,2
4320,2
4458,2
3203,2
2085,2
2159,2
2257,2
4915,2
945,2
1770,2
2479,2
2183,2
3300,2
3804,2
2842,2
4633,2
2706,2
3040,2
3135,2
2672,2
5653,2
2712,2
1835,2
2682,2
1392,2
1387,2
1780,2
2426,2
1365,2
3113,2
3667,2
733,2
5742,2
6649,2
6268,2
6392,2
4557,2
8192,2
8192,2
6479,2
8192,2
8192,2
8192,2
8192,2
2284,2
1882,2
2923,2
1950,2
3280,2
2317,2
3860,2
3728,2
4070,2
8192,2
4648,2
4195,2
702,2
731,2
2544,2
962,2
2876,2
4673,2
5344,2
5197,2
1711,2
879,2
1134,2
1025,2
3856,2
1924,2
2194,2
1807,2
8192,2
8192,2
7803,2
6637,2
5065,2
4260,2
3683,2
6327,2
1913,2
1676,2
1712,2
1805,2
1629,2
1764,2
1774,2
1701,2
1780,2
3897,2
2591,2
1090,2
6332,2
5904,2
6531,2
6259,2
6149,2
3565,2
4750,2
4014,2
7215,2
8192,2
8192,2
7676,2
5405,2
3026,2
4111,2
8114,2
1834,2
1142,2
927,2
1573,2
2326,2
1016,2
3867,2
1058,2
4088,2
7931,2
3357,2
6968,2
4054,2
2003,2
4964,2
5177,2
8192,2
8192,2
8192,2
8192,2
1263,2
1220,2
1174,2
1720,2
6718,2
3332,2
5293,2
2280,2
8192,2
8192,2
8192,2
8192,2
1395,2
1578,2
1540,2
2034,2
7767,2
7577,2
3952,2
5290,2
3839,2
3295,2
4040,2
4026,2
1868,2
2189,2
2151,2
1757,2
3946,2
3365,2
3687,2
5764,2
8192,2
5066,2
8192,2
5376,2
1927,2
1877,2
1535,2
1488,2
8192,2
8192,2
8192,2
6576,2
1649,2
1566,2
1303,2
1530,2
3307,2
1337,2
1863,2
2438,2
1386,2
5193,2
2847,2
2950,2
2802,2
3233,2
3360,2
3226,2
3158,2
2526,2
1704,2
1424,2
8192,2
5949,2
7203,2
5258,2
1436,2
1637,2
1181,2
1627,2
4014,2
5748,2
3379,2
5014,2
2463,2
1951,2
4443,2
3013,2
829,2
1238,2
2617,2
1967,2
1874,2
2482,2
2831,2
2846,2
2170,2
2396,2
2369,2
3054,2
2511,2
5678,2
2531,2
1486,2
2385,2
2888,2
1717,2
2046,2
5396,2
7461,2
4272,2
4878,2
2567,2
2452,2
2350,2
2090,2
3043,2
1309,2
1843,2
3167,2
8192,2
2466,2
4758,2
5632,2
3747,2
4798,2
4782,2
6200,2
1778,2
905,2
1827,2
1347,2
2098,2
1674,2
1907,2
1017,2
3193,2
2519,2
2313,2
3357,2
8192,2
8192,2
8192,2
8192,2
1551,2
1478,2
2416,2
4192,2
3025,2
3088,2
5482,2
3197,2
2935,2
3184,2
2682,2
3376,2
2860,2
1906,2
1208,2
1684,2
2015,2
1845,2
2160,2
1231,2
2055,2
2773,2
2352,2
1921,2
2811,2
1277,2
1143,2
924,2
1417,2
2204,2
1397,2
1596,2
4622,2
2357,2
1804,2
1793,2
5720,2
7344,2
7424,2
4486,2
4469,2
2902,2
4735,2
5059,2
6448,2
4163,2
7099,2
4582,2
1623,2
1845,2
1316,2
1674,2
1841,2
2924,2
305,2
2610,2
2619,2
3526,2
3646,2
2143,2
1721,2
1820,2
2192,2
1690,2
2823,2
2224,2
2100,2
3226,2
3103,2
3776,2
3588,2
4175,2
2147,2
2024,2
2117,2
2302,2
3931,2
3323,2
2961,2
2978,2
4949,2
