length,turn
372,2
487,2
311,2
445,2
394,2
457,2
414,2
347,2
59,2
47,2
65,2
25,2
24,2
26,2
35,2
24,2
280,2
592,2
332,2
234,2
108,2
30,2
32,2
35,2
27,2
27,2
32,2
27,2
24,2
25,2
24,2
24,2
475,2
312,2
685,2
670,2
41,2
55,2
21,2
117,2
49,2
33,2
37,2
36,2
77,2
53,2
25,2
75,2
24,2
21,2
104,2
143,2
30,2
51,2
32,2
61,2
34,2
31,2
41,2
40,2
33,2
129,2
193,2
105,2
35,2
34,2
34,2
53,2
147,2
258,2
105,2
381,2
141,2
128,2
84,2
88,2
30,2
36,2
31,2
31,2
124,2
38,2
69,2
40,2
19,2
20,2
19,2
20,2
34,2
34,2
183,2
38,2
36,2
44,2
37,2
32,2
40,2
23,2
22,2
20,2
85,2
35,2
29,2
108,2
48,2
24,2
204,2
49,2
109,2
127,2
177,2
105,2
21,2
435,2
31,2
26,2
255,2
33,2
274,2
144,2
28,2
42,2
29,2
26,2
25,2
23,2
25,2
23,2
30,2
33,2
32,2
33,2
85,2
29,2
29,2
31,2
19,2
17,2
18,2
18,2
45,2
34,2
104,2
41,2
178,2
204,2
181,2
149,2
212,2
169,2
149,2
241,2
85,2
161,2
113,2
98,2
62,2
42,2
42,2
65,2
96,2
31,2
36,2
45,2
182,2
47,2
101,2
130,2
25,2
25,2
25,2
25,2
25,2
68,2
70,2
17,2
209,2
264,2
193,2
169,2
17,2
22,2
22,2
23,2
17,2
22,2
17,2
20,2
27,2
27,2
30,2
132,2
240,2
205,2
275,2
36,2
112,2
217,2
289,2
32,2
233,2
75,2
186,2
385,2
23,2
23,2
23,2
57,2
20,2
20,2
19,2
19,2
19,2
20,2
20,2
33,2
37,2
82,2
28,2
32,2
858,2
49,2
114,2
29,2
116,2
41,2
29,2
29,2
37,2
37,2
37,2
38,2
49,2
49,2
38,2
134,2
30,2
20,2
17,2
30,2
579,2
142,2
1083,2
360,2
99,2
119,2
103,2
146,2
52,2
63,2
85,2
147,2
25,2
121,2
126,2
25,2
135,2
101,2
56,2
173,2
38,2
25,2
79,2
31,2
31,2
20,2
68,2
88,2
129,2
172,2
273,2
129,2
67,2
24,2
71,2
24,2
65,2
60,2
67,2
53,2
13,2
32,2
31,2
66,2
37,2
49,2
114,2
168,2
88,2
33,2
37,2
91,2
246,2
218,2
238,2
543,2
56,2
37,2
57,2
110,2
140,2
75,2
44,2
23,2
131,2
185,2
270,2
128,2
42,2
29,2
35,2
35,2
167,2
229,2
314,2
168,2
177,2
45,2
34,2
251,2
24,2
24,2
381,2
24,2
151,2
132,2
123,2
206,2
19,2
15,2
19,2
15,2
23,2
27,2
23,2
23,2
65,2
67,2
35,2
71,2
29,2
25,2
25,2
30,2
217,2
188,2
252,2
243,2
1618,2
751,2
57,2
103,2
432,2
207,2
376,2
57,2
544,2
508,2
448,2
758,2
45,2
40,2
41,2
41,2
65,2
88,2
55,2
145,2
176,2
384,2
110,2
409,2
53,2
42,2
59,2
140,2
56,2
61,2
61,2
47,2
23,2
115,2
107,2
39,2
133,2
101,2
45,2
132,2
21,2
64,2
66,2
67,2
27,2
30,2
32,2
32,2
73,2
17,2
49,2
133,2
23,2
23,2
23,2
23,2
23,2
36,2
29,2
62,2
24,2
17,2
22,2
23,2
137,2
150,2
31,2
38,2
37,2
37,2
37,2
127,2
142,2
43,2
149,2
43,2
17,2
17,2
17,2
17,2
172,2
31,2
50,2
44,2
189,2
129,2
392,2
305,2
26,2
67,2
25,2
21,2
103,2
36,2
53,2
28,2
35,2
165,2
145,2
234,2
109,2
24,2
49,2
659,2
25,2
24,2
26,2
82,2
41,2
29,2
38,2
34,2
27,2
33,2
48,2
32,2
100,2
68,2
69,2
218,2
64,2
71,2
80,2
19,2
67,2
61,2
62,2
95,2
56,2
41,2
39,2
66,2
117,2
39,2
117,2
116,2
55,2
124,2
55,2
77,2
25,2
87,2
35,2
36,2
19,2
19,2
20,2
19,2
45,2
31,2
81,2
26,2
35,2
74,2
118,2
335,2
137,2
73,2
85,2
31,2
28,2
17,2
19,2
44,2
25,2
99,2
26,2
24,2
31,2
31,2
30,2
30,2
344,2
132,2
29,2
182,2
253,2
130,2
164,2
100,2
29,2
32,2
24,2
24,2
33,2
59,2
200,2
158,2
1,2
48,2
23,2
53,2
31,2
250,2
147,2
218,2
35,2
168,2
44,2
23,2
96,2
127,2
26,2
93,2
31,2
38,2
53,2
73,2
131,2
52,2
119,2
41,2
29,2
50,2
49,2
31,2
65,2
52,2
18,2
52,2
208,2
239,2
37,2
22,2
68,2
164,2
68,2
67,2
393,2
412,2
316,2
344,2
23,2
125,2
73,2
94,2
121,2
78,2
60,2
107,2
26,2
28,2
22,2
28,2
24,2
103,2
89,2
126,2
37,2
43,2
46,2
43,2
32,2
32,2
32,2
43,2
62,2
84,2
38,2
20,2
171,2
49,2
60,2
29,2
394,2
307,2
457,2
482,2
37,2
39,2
35,2
39,2
31,2
97,2
36,2
29,2
66,2
95,2
64,2
148,2
29,2
24,2
158,2
29,2
52,2
21,2
64,2
37,2
325,2
30,2
17,2
54,2
51,2
316,2
44,2
255,2
33,2
32,2
33,2
33,2
19,2
27,2
20,2
21,2
24,2
218,2
179,2
391,2
47,2
30,2
42,2
50,2
219,2
397,2
205,2
263,2
22,2
86,2
47,2
23,2
91,2
47,2
77,2
55,2
22,2
27,2
21,2
21,2
24,2
24,2
24,2
24,2
49,2
59,2
51,2
59,2
95,2
18,2
18,2
191,2
25,2
25,2
164,2
100,2
164,2
64,2
47,2
322,2
231,2
242,2
177,2
181,2
116,2
40,2
30,2
36,2
30,2
14,2
21,2
30,2
175,2
294,2
145,2
318,2
26,2
33,2
37,2
30,2
29,2
33,2
197,2
71,2
75,2
102,2
89,2
27,2
1148,2
23,2
161,2
504,2
21,2
23,2
21,2
21,2
42,2
41,2
29,2
25,2
102,2
147,2
188,2
154,2
43,2
52,2
20,2
42,2
90,2
69,2
50,2
88,2
180,2
80,2
84,2
92,2
52,2
30,2
91,2
64,2
43,2
31,2
27,2
82,2
31,2
32,2
30,2
30,2
20,2
25,2
35,2
17,2
67,2
165,2
112,2
157,2
20,2
18,2
24,2
39,2
29,2
29,2
17,2
17,2
25,2
17,2
17,2
17,2
42,2
55,2
54,2
54,2
24,2
24,2
25,2
24,2
39,2
157,2
428,2
56,2
31,2
30,2
32,2
26,2
37,2
39,2
54,2
83,2
49,2
33,2
19,2
34,2
118,2
37,2
157,2
216,2
96,2
64,2
60,2
25,2
37,2
44,2
60,2
18,2
278,2
47,2
691,2
197,2
33,2
99,2
31,2
128,2
22,2
43,2
24,2
39,2
31,2
19,2
69,2
31,2
96,2
157,2
85,2
85,2
24,2
27,2
23,2
31,2
84,2
89,2
97,2
55,2
38,2
32,2
32,2
26,2
61,2
66,2
49,2
48,2
144,2
144,2
197,2
233,2
60,2
25,2
59,2
25,2
66,2
69,2
38,2
119,2
35,2
51,2
203,2
51,2
19,2
24,2
30,2
19,2
196,2
232,2
63,2
233,2
25,2
27,2
26,2
65,2
25,2
25,2
23,2
23,2
29,2
49,2
36,2
31,2
39,2
46,2
29,2
48,2
92,2
507,2
231,2
81,2
67,2
23,2
67,2
39,2
38,2
37,2
25,2
37,2
25,2
25,2
24,2
23,2
27,2
24,2
123,2
99,2
181,2
127,2
147,2
269,2
259,2
93,2
38,2
103,2
25,2
27,2
25,2
88,2
25,2
21,2
30,2
30,2
33,2
79,2
25,2
24,2
122,2
26,2
30,2
127,2
89,2
37,2
119,2
79,2
67,2
43,2
192,2
35,2
188,2
101,2
149,2
135,2
37,2
52,2
23,2
29,2
129,2
43,2
13,2
17,2
51,2
65,2
73,2
45,2
555,2
52,2
231,2
353,2
44,2
35,2
79,2
38,2
192,2
328,2
19,2
24,2
71,2
91,2
71,2
85,2
87,2
48,2
129,2
41,2
25,2
25,2
29,2
29,2
73,2
91,2
68,2
63,2
250,2
431,2
352,2
211,2
25,2
25,2
25,2
25,2
227,2
174,2
138,2
80,2
58,2
145,2
210,2
20,2
443,2
319,2
266,2
164,2
36,2
31,2
27,2
45,2
67,2
67,2
67,2
67,2
30,2
72,2
24,2
25,2
163,2
415,2
106,2
172,2
29,2
29,2
29,2
29,2
24,2
23,2
25,2
25,2
37,2
114,2
24,2
32,2
23,2
58,2
50,2
38,2
110,2
111,2
32,2
31,2
25,2
29,2
27,2
24,2
66,2
25,2
54,2
61,2
18,2
20,2
24,2
29,2
109,2
21,2
41,2
91,2
247,2
320,2
356,2
230,2
18,2
65,2
67,2
81,2
120,2
232,2
102,2
183,2
145,2
81,2
360,2
116,2
22,2
27,2
21,2
23,2
48,2
50,2
42,2
28,2
44,2
55,2
43,2
43,2
38,2
31,2
30,2
22,2
417,2
560,2
69,2
507,2
31,2
31,2
37,2
30,2
19,2
19,2
55,2
37,2
193,2
13,2
171,2
264,2
148,2
89,2
113,2
62,2
183,2
209,2
232,2
43,2
53,2
65,2
37,2
101,2
19,2
46,2
33,2
51,2
410,2
456,2
239,2
154,2
334,2
234,2
196,2
201,2
253,2
283,2
123,2
137,2
229,2
124,2
82,2
122,2
654,2
179,2
801,2
552,2
25,2
25,2
25,2
25,2
74,2
42,2
9,2
153,2
23,2
29,2
27,2
36,2
172,2
202,2
236,2
292,2
17,2
17,2
17,2
17,2
129,2
147,2
134,2
130,2
152,2
160,2
145,2
95,2
109,2
222,2
179,2
328,2
103,2
106,2
84,2
135,2
41,2
403,2
45,2
30,2
29,2
19,2
29,2
19,2
143,2
272,2
202,2
246,2
23,2
160,2
127,2
30,2
56,2
31,2
28,2
24,2
113,2
570,2
89,2
103,2
34,2
34,2
32,2
34,2
231,2
200,2
460,2
174,2
55,2
42,2
51,2
55,2
28,2
38,2
45,2
43,2
63,2
20,2
45,2
31,2
20,2
20,2
20,2
20,2
561,2
26,2
98,2
48,2
42,2
350,2
224,2
234,2
150,2
223,2
1033,2
119,2
38,2
30,2
31,2
31,2
89,2
112,2
19,2
94,2
306,2
245,2
278,2
348,2
690,2
354,2
497,2
108,2
75,2
36,2
79,2
23,2
153,2
236,2
62,2
64,2
30,2
67,2
112,2
39,2
18,2
24,2
21,2
18,2
27,2
27,2
27,2
27,2
22,2
56,2
18,2
22,2
23,2
36,2
29,2
29,2
500,2
30,2
73,2
391,2
145,2
384,2
850,2
71,2
102,2
18,2
209,2
55,2
78,2
67,2
15,2
25,2
29,2
31,2
72,2
73,2
171,2
141,2
132,2
292,2
212,2
212,2
179,2
315,2
47,2
31,2
55,2
41,2
158,2
124,2
87,2
83,2
298,2
608,2
444,2
323,2
194,2
259,2
227,2
498,2
24,2
19,2
29,2
24,2
74,2
149,2
101,2
103,2
96,2
125,2
59,2
107,2
67,2
101,2
67,2
39,2
28,2
21,2
87,2
21,2
131,2
145,2
307,2
143,2
511,2
337,2
796,2
255,2
208,2
164,2
239,2
