length,turn
8192,2
8192,2
8192,2
8192,2
3871,2
8192,2
8192,2
3792,2
2812,2
8192,2
7846,2
2054,2
2617,2
2136,2
2438,2
5541,2
8192,2
8192,2
8192,2
8192,2
8192,2
2722,2
1349,2
8192,2
1718,2
692,2
887,2
901,2
2206,2
2464,2
6077,2
4924,2
8192,2
8192,2
8192,2
8192,2
1898,2
3630,2
3592,2
6076,2
2707,2
2096,2
2562,2
1464,2
3549,2
1,2
5556,2
4389,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
4266,2
6563,2
8192,2
8192,2
6594,2
3562,2
5555,2
8192,2
6428,2
3771,2
8192,2
5876,2
5746,2
7693,2
8192,2
992,2
1134,2
1128,2
979,2
4746,2
6827,2
4985,2
3962,2
1470,2
1202,2
765,2
1883,2
1324,2
1197,2
625,2
689,2
1913,2
782,2
2145,2
3142,2
8192,2
6900,2
7177,2
4922,2
8192,2
2068,2
2963,2
1730,2
5724,2
4128,2
4372,2
6539,2
8192,2
8192,2
8192,2
8192,2
2850,2
1579,2
1290,2
2600,2
3132,2
2573,2
1086,2
2809,2
4402,2
4625,2
2393,2
6738,2
3666,2
5223,2
8002,2
4216,2
2279,2
2277,2
1443,2
1342,2
5425,2
2393,2
2097,2
4050,2
1744,2
1260,2
1482,2
2206,2
8192,2
8192,2
8192,2
8192,2
3216,2
3391,2
8192,2
4606,2
8192,2
8192,2
8192,2
8192,2
2883,2
2724,2
3092,2
4625,2
6754,2
4633,2
6719,2
6787,2
8192,2
5253,2
8192,2
5429,2
1341,2
2313,2
2323,2
1689,2
1456,2
2235,2
2287,2
1942,2
3513,2
1142,2
1140,2
1415,2
4666,2
7784,2
6647,2
8192,2
8192,2
8192,2
7063,2
7410,2
2452,2
5089,2
2589,2
2034,2
1036,2
1115,2
883,2
1545,2
1600,2
1808,2
2154,2
1580,2
4599,2
4259,2
6330,2
8192,2
2960,2
4957,2
8192,2
1582,2
8192,2
3826,2
3408,2
8192,2
1272,2
1610,2
1966,2
2438,2
3083,2
1621,2
1958,2
1870,2
4481,2
5748,2
4626,2
4347,2
993,2
1355,2
896,2
1570,2
8192,2
8192,2
8192,2
8192,2
870,2
1059,2
1015,2
1417,2
8192,2
8192,2
8192,2
8192,2
8192,2
6107,2
2400,2
1434,2
5100,2
4039,2
3699,2
1814,2
8192,2
8192,2
8192,2
8192,2
7631,2
3104,2
2430,2
1920,2
2649,2
8192,2
8192,2
8192,2
8192,2
2024,2
7613,2
8192,2
1692,2
1702,2
1835,2
2520,2
1454,2
2349,2
1108,2
3897,2
2560,2
2695,2
7707,2
7128,2
4406,2
3362,2
2261,2
2335,2
919,2
1203,2
1263,2
962,2
1392,2
1174,2
1503,2
963,2
1283,2
1179,2
1231,2
1177,2
8192,2
8192,2
8192,2
8192,2
831,2
795,2
1151,2
1445,2
8192,2
8192,2
6678,2
8192,2
7066,2
4418,2
8192,2
6740,2
4043,2
3442,2
1394,2
3150,2
1415,2
1181,2
980,2
1152,2
1521,2
1574,2
2524,2
3564,2
1334,2
1844,2
1394,2
1735,2
8192,2
8192,2
5547,2
8192,2
1655,2
1711,2
1464,2
1703,2
8192,2
8192,2
8192,2
8192,2
5103,2
1746,2
3800,2
5450,2
2463,2
5369,2
5594,2
5347,2
8192,2
8192,2
8192,2
3242,2
851,2
758,2
530,2
960,2
8192,2
8192,2
8192,2
8192,2
5289,2
4869,2
4156,2
8192,2
4037,2
1244,2
3094,2
1983,2
5736,2
7066,2
7582,2
8192,2
2732,2
3352,2
2295,2
2187,2
6379,2
8192,2
7663,2
2351,2
8192,2
8192,2
5196,2
4547,2
934,2
882,2
820,2
713,2
1084,2
889,2
1230,2
1370,2
1064,2
1234,2
1319,2
1338,2
4952,2
4396,2
8192,2
7686,2
3798,2
8192,2
8192,2
6640,2
818,2
1000,2
750,2
718,2
5667,2
5246,2
5664,2
6864,2
1570,2
1940,2
1302,2
2297,2
8192,2
8192,2
8192,2
8192,2
2471,2
1653,2
3161,2
1926,2
8192,2
8192,2
8192,2
8192,2
1937,2
1843,2
1425,2
3917,2
8192,2
8192,2
8192,2
8192,2
8192,2
4601,2
6809,2
8192,2
8192,2
8192,2
8192,2
7547,2
2108,2
4116,2
5782,2
2410,2
2077,2
1139,2
1808,2
1703,2
1475,2
900,2
1457,2
1353,2
1333,2
1161,2
1066,2
892,2
2288,2
8192,2
8192,2
1273,2
4865,2
320,2
2902,2
5570,2
8192,2
8192,2
8192,2
8192,2
6724,2
2575,2
5113,2
8192,2
4995,2
7760,2
4976,2
4858,2
1716,2
3120,2
2436,2
1233,2
1971,2
2210,2
1168,2
1796,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
7189,2
1394,2
1908,2
1272,2
1927,2
4059,2
8192,2
6573,2
7559,2
4637,2
7766,2
5105,2
2852,2
976,2
1296,2
1684,2
1605,2
2405,2
1736,2
3416,2
2442,2
968,2
938,2
1107,2
1033,2
1991,2
8192,2
8192,2
5475,2
937,2
1530,2
1424,2
1502,2
1099,2
1698,2
1364,2
1102,2
2120,2
1857,2
1940,2
2924,2
1754,2
3914,2
2273,2
1904,2
8192,2
8192,2
8192,2
8192,2
2751,2
3333,2
4286,2
4701,2
7896,2
8192,2
8192,2
8192,2
1744,2
2804,2
3027,2
1475,2
3085,2
3724,2
2278,2
2493,2
8192,2
8192,2
8192,2
8192,2
3059,2
4490,2
5868,2
4151,2
8192,2
2660,2
1761,2
1992,2
1307,2
1329,2
1216,2
1265,2
3743,2
3371,2
1464,2
1110,2
1882,2
7276,2
1452,2
2212,2
1818,2
4061,2
2164,2
7876,2
3524,2
2061,2
5761,2
4409,2
853,2
1166,2
3416,2
1902,2
6506,2
2799,2
3854,2
3084,2
3140,2
3060,2
3617,2
2918,2
8192,2
8192,2
7749,2
8192,2
2248,2
1525,2
1641,2
2151,2
1590,2
1551,2
1403,2
1020,2
8192,2
6853,2
8192,2
7802,2
1411,2
1418,2
1338,2
1798,2
8192,2
8192,2
8192,2
7813,2
2982,2
3307,2
2458,2
1959,2
8192,2
8192,2
8192,2
6558,2
8192,2
8192,2
8192,2
8192,2
1630,2
3338,2
1806,2
3351,2
6783,2
8192,2
8192,2
5366,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
2066,2
1694,2
2373,2
1840,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8146,2
1501,2
2770,2
3576,2
2891,2
8192,2
3101,2
7662,2
6360,2
1037,2
894,2
932,2
871,2
8192,2
8192,2
8192,2
8192,2
3912,2
1991,2
3867,2
4314,2
696,2
765,2
851,2
1062,2
1174,2
1230,2
1275,2
1278,2
8192,2
8192,2
8192,2
8192,2
3405,2
6595,2
8192,2
8192,2
4422,2
4597,2
8057,2
8192,2
2344,2
2282,2
1734,2
2038,2
1483,2
1219,2
1631,2
1552,2
4154,2
814,2
1227,2
764,2
8192,2
3419,2
3292,2
3498,2
579,2
864,2
654,2
726,2
4999,2
5679,2
1928,2
4623,2
944,2
1212,2
1096,2
1051,2
7655,2
8192,2
8192,2
6858,2
1172,2
1882,2
2268,2
889,2
829,2
580,2
869,2
819,2
8192,2
6506,2
3251,2
8192,2
8192,2
7198,2
8192,2
4242,2
4603,2
2500,2
2901,2
8192,2
1518,2
2007,2
875,2
1391,2
8192,2
8192,2
5682,2
8192,2
1182,2
1023,2
828,2
715,2
934,2
1125,2
1091,2
1168,2
4132,2
1806,2
1122,2
1489,2
5803,2
6278,2
8192,2
8192,2
8192,2
3722,2
8192,2
8192,2
921,2
1679,2
2069,2
871,2
4748,2
2171,2
2995,2
4205,2
1842,2
3025,2
3590,2
2575,2
534,2
1056,2
1148,2
996,2
8192,2
7206,2
2421,2
1928,2
1710,2
1750,2
1736,2
1419,2
2030,2
1046,2
1509,2
1284,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
3196,2
1610,2
1465,2
1790,2
4313,2
7707,2
8192,2
8192,2
8192,2
8192,2
8192,2
7319,2
2286,2
1348,2
1267,2
1313,2
8192,2
6419,2
8192,2
8192,2
8192,2
