length,turn
2048,2
2048,2
2048,2
2048,2
1618,2
1963,2
1687,2
1400,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1888,2
2048,2
1575,2
1978,2
2048,2
2048,2
2048,2
2048,2
2048,2
1642,2
2048,2
1489,2
2048,2
2048,2
2048,2
2048,2
2048,2
1954,2
2048,2
2048,2
2048,2
2048,2
1754,2
1383,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1428,2
1338,2
903,2
1024,2
1339,2
1825,2
1894,2
2048,2
1923,2
2048,2
2048,2
2010,2
2048,2
2048,2
2048,2
1624,2
2048,2
2048,2
1868,2
2048,2
2048,2
2048,2
2048,2
2048,2
1751,2
2048,2
2048,2
2048,2
1657,2
645,2
1609,2
1103,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1028,2
1926,2
1477,2
1876,2
1598,2
2048,2
1643,2
1859,2
2048,2
2048,2
2048,2
2048,2
2048,2
1587,2
1681,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1477,2
1386,2
2048,2
1376,2
1241,2
1381,2
1991,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1521,2
2048,2
1681,2
1191,2
1405,2
1309,2
1716,2
1064,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1405,2
1930,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1779,2
2011,2
2018,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1919,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1734,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1909,2
2048,2
1777,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1415,2
1663,2
2048,2
1818,2
2048,2
1846,2
1540,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1726,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
