length,turn
8192,2
8192,2
8092,2
8192,2
1249,2
1452,2
1520,2
1605,2
400,2
476,2
492,2
468,2
1215,2
1161,2
1211,2
1215,2
5736,2
4500,2
4722,2
5073,2
294,2
296,2
274,2
297,2
173,2
204,2
205,2
186,2
545,2
572,2
600,2
574,2
8192,2
8192,2
8192,2
8192,2
511,2
650,2
591,2
473,2
640,2
552,2
625,2
610,2
1883,2
1837,2
2330,2
1571,2
7243,2
8192,2
8192,2
8192,2
8192,2
4819,2
6873,2
7229,2
6255,2
6353,2
4003,2
8192,2
1023,2
897,2
725,2
913,2
1128,2
1061,2
884,2
1270,2
1006,2
941,2
869,2
1162,2
473,2
503,2
502,2
510,2
622,2
471,2
728,2
501,2
234,2
260,2
241,2
210,2
239,2
272,2
276,2
239,2
326,2
285,2
289,2
300,2
3002,2
2518,2
2514,2
5661,2
596,2
616,2
768,2
701,2
1211,2
1037,2
1294,2
1081,2
7935,2
6432,2
7651,2
5912,2
413,2
425,2
471,2
508,2
423,2
442,2
382,2
428,2
2702,2
2935,2
2284,2
3014,2
510,2
661,2
217,2
281,2
296,2
310,2
272,2
272,2
405,2
380,2
407,2
415,2
267,2
438,2
530,2
613,2
3456,2
6062,2
4620,2
5145,2
789,2
787,2
712,2
852,2
6008,2
5327,2
8192,2
6455,2
1534,2
1273,2
1462,2
1967,2
4872,2
3215,2
8192,2
5598,2
3678,2
3218,2
4170,2
4581,2
496,2
494,2
496,2
500,2
757,2
774,2
685,2
770,2
453,2
349,2
414,2
360,2
729,2
864,2
744,2
810,2
1659,2
1099,2
1105,2
1179,2
851,2
816,2
811,2
802,2
224,2
224,2
222,2
225,2
952,2
1036,2
1249,2
2149,2
1598,2
1505,2
1719,2
1643,2
820,2
825,2
807,2
751,2
1034,2
739,2
795,2
876,2
384,2
407,2
366,2
351,2
486,2
487,2
501,2
509,2
2317,2
1392,2
958,2
2258,2
447,2
422,2
320,2
411,2
3891,2
8192,2
5775,2
7233,2
592,2
546,2
478,2
542,2
2405,2
2261,2
2169,2
1754,2
503,2
576,2
595,2
429,2
542,2
437,2
643,2
512,2
3861,2
4924,2
3877,2
6895,2
674,2
674,2
784,2
762,2
905,2
2240,2
1321,2
1300,2
318,2
500,2
436,2
448,2
671,2
658,2
650,2
666,2
499,2
500,2
563,2
506,2
1351,2
1915,2
1146,2
1155,2
652,2
694,2
677,2
777,2
262,2
237,2
252,2
255,2
254,2
285,2
310,2
239,2
472,2
475,2
472,2
479,2
6201,2
8015,2
6346,2
6497,2
328,2
300,2
246,2
248,2
7955,2
6624,2
3199,2
4933,2
1132,2
1069,2
1149,2
1115,2
592,2
600,2
492,2
507,2
386,2
387,2
432,2
377,2
415,2
332,2
489,2
351,2
566,2
631,2
591,2
674,2
3653,2
2818,2
3897,2
3003,2
254,2
246,2
242,2
351,2
710,2
845,2
677,2
1011,2
352,2
382,2
458,2
1057,2
495,2
876,2
727,2
653,2
1421,2
1345,2
2092,2
1857,2
167,2
202,2
242,2
154,2
880,2
2706,2
914,2
979,2
1691,2
1826,2
1687,2
1716,2
558,2
404,2
460,2
611,2
2286,2
2477,2
2086,2
2122,2
933,2
862,2
789,2
757,2
672,2
657,2
685,2
1062,2
747,2
940,2
1100,2
761,2
289,2
354,2
321,2
413,2
381,2
402,2
402,2
381,2
372,2
387,2
384,2
332,2
2435,2
2309,2
2228,2
2251,2
1588,2
1390,2
2875,2
1757,2
224,2
215,2
197,2
187,2
2006,2
2440,2
2392,2
3683,2
652,2
628,2
679,2
744,2
8192,2
8192,2
8192,2
8192,2
661,2
582,2
572,2
567,2
8192,2
8056,2
8192,2
8192,2
335,2
370,2
383,2
420,2
8192,2
8192,2
8192,2
8192,2
946,2
506,2
694,2
714,2
7786,2
8192,2
7657,2
8192,2
676,2
679,2
708,2
623,2
308,2
362,2
269,2
310,2
303,2
257,2
312,2
298,2
268,2
244,2
270,2
257,2
452,2
454,2
458,2
460,2
772,2
673,2
579,2
547,2
1028,2
1235,2
992,2
833,2
1320,2
4909,2
2513,2
3919,2
4725,2
4343,2
8192,2
1606,2
366,2
489,2
631,2
458,2
656,2
620,2
612,2
694,2
2568,2
1846,2
2658,2
2935,2
623,2
640,2
581,2
608,2
380,2
347,2
375,2
349,2
3011,2
2170,2
961,2
1474,2
1153,2
1118,2
923,2
794,2
335,2
341,2
481,2
437,2
902,2
743,2
465,2
775,2
185,2
185,2
204,2
185,2
2150,2
2871,2
2804,2
3324,2
462,2
388,2
381,2
392,2
243,2
249,2
284,2
247,2
549,2
591,2
548,2
607,2
947,2
840,2
857,2
1055,2
7284,2
7037,2
8192,2
8192,2
937,2
914,2
948,2
919,2
3555,2
3293,2
3092,2
2278,2
517,2
512,2
579,2
530,2
1513,2
1192,2
1212,2
1419,2
5186,2
6195,2
8192,2
8150,2
919,2
3433,2
1302,2
2601,2
856,2
873,2
982,2
927,2
358,2
489,2
270,2
464,2
601,2
382,2
484,2
379,2
966,2
878,2
1204,2
1102,2
1283,2
1906,2
998,2
1947,2
605,2
611,2
536,2
561,2
210,2
235,2
212,2
205,2
3281,2
2728,2
2556,2
2353,2
419,2
457,2
459,2
473,2
2743,2
3110,2
4027,2
2598,2
452,2
449,2
458,2
449,2
236,2
274,2
260,2
264,2
6283,2
5803,2
5846,2
4918,2
468,2
453,2
440,2
440,2
6191,2
6166,2
8192,2
7698,2
560,2
851,2
613,2
816,2
8192,2
7639,2
5075,2
4027,2
5292,2
2746,2
2996,2
3036,2
719,2
652,2
766,2
791,2
4021,2
2032,2
3417,2
4196,2
8192,2
5522,2
7330,2
8192,2
5304,2
1660,2
1900,2
4428,2
508,2
664,2
573,2
501,2
3419,2
3661,2
2354,2
3179,2
8192,2
8192,2
8192,2
8192,2
1068,2
799,2
1046,2
1328,2
1839,2
2677,2
1969,2
1352,2
248,2
263,2
207,2
228,2
5738,2
4338,2
3697,2
4435,2
515,2
552,2
542,2
524,2
157,2
182,2
157,2
203,2
383,2
454,2
422,2
409,2
7429,2
5647,2
7549,2
5254,2
2958,2
2903,2
2343,2
2524,2
1108,2
1032,2
768,2
1031,2
837,2
803,2
860,2
810,2
638,2
404,2
419,2
659,2
666,2
473,2
613,2
512,2
1271,2
1648,2
1420,2
1123,2
231,2
216,2
297,2
226,2
611,2
1418,2
629,2
1345,2
343,2
342,2
346,2
336,2
3742,2
4338,2
4473,2
3264,2
348,2
360,2
345,2
410,2
251,2
297,2
277,2
234,2
1802,2
3548,2
1526,2
1968,2
3288,2
2892,2
5474,2
5035,2
1095,2
1094,2
1024,2
1031,2
199,2
229,2
200,2
204,2
5964,2
5820,2
6357,2
5363,2
487,2
281,2
562,2
438,2
200,2
190,2
167,2
167,2
454,2
464,2
422,2
358,2
656,2
760,2
693,2
683,2
1420,2
1394,2
1557,2
1417,2
214,2
213,2
210,2
205,2
421,2
425,2
372,2
348,2
959,2
979,2
936,2
963,2
445,2
445,2
368,2
397,2
4804,2
3602,2
3861,2
6288,2
484,2
461,2
448,2
448,2
267,2
267,2
409,2
264,2
8018,2
7307,2
7510,2
6471,2
4530,2
6607,2
3803,2
5380,2
575,2
543,2
510,2
529,2
2577,2
5989,2
8192,2
4606,2
5508,2
8192,2
8192,2
8192,2
436,2
429,2
443,2
448,2
7706,2
4682,2
7345,2
6368,2
761,2
693,2
765,2
739,2
3549,2
7343,2
4719,2
6158,2
251,2
243,2
236,2
289,2
906,2
1131,2
787,2
898,2
443,2
508,2
1998,2
778,2
509,2
690,2
581,2
422,2
2807,2
1558,2
992,2
3203,2
312,2
324,2
377,2
385,2
1330,2
1526,2
1294,2
1352,2
383,2
377,2
381,2
394,2
676,2
527,2
622,2
513,2
1847,2
1817,2
2003,2
1992,2
2150,2
2242,2
1962,2
2010,2
1087,2
1187,2
1205,2
558,2
221,2
235,2
221,2
237,2
543,2
529,2
588,2
716,2
877,2
899,2
932,2
848,2
472,2
536,2
503,2
482,2
496,2
572,2
506,2
465,2
310,2
234,2
339,2
250,2
7282,2
4816,2
6114,2
6755,2
995,2
947,2
994,2
1154,2
788,2
552,2
707,2
735,2
742,2
792,2
783,2
755,2
1031,2
614,2
534,2
638,2
