length,turn
1205,2
1615,2
1211,2
1236,2
322,2
264,2
335,2
356,2
2048,2
2048,2
2048,2
2048,2
868,2
653,2
1052,2
855,2
356,2
351,2
357,2
341,2
399,2
390,2
370,2
427,2
419,2
342,2
374,2
415,2
2048,2
2048,2
2048,2
2048,2
1020,2
1196,2
1103,2
974,2
360,2
372,2
373,2
397,2
1296,2
1246,2
1197,2
1276,2
796,2
938,2
1285,2
1085,2
172,2
156,2
183,2
165,2
205,2
155,2
229,2
154,2
308,2
323,2
309,2
314,2
422,2
486,2
352,2
406,2
243,2
245,2
250,2
524,2
2048,2
2048,2
2048,2
2048,2
891,2
855,2
934,2
720,2
143,2
137,2
140,2
142,2
361,2
376,2
386,2
367,2
573,2
584,2
659,2
541,2
228,2
217,2
229,2
247,2
532,2
604,2
510,2
674,2
1325,2
1933,2
1425,2
1334,2
604,2
681,2
532,2
488,2
1456,2
1802,2
1605,2
1428,2
322,2
336,2
331,2
357,2
358,2
422,2
349,2
375,2
2048,2
2048,2
2048,2
1034,2
475,2
434,2
451,2
504,2
253,2
212,2
213,2
246,2
205,2
235,2
256,2
246,2
868,2
935,2
938,2
933,2
2048,2
2048,2
2048,2
2048,2
304,2
351,2
334,2
333,2
560,2
623,2
703,2
570,2
1395,2
1085,2
1429,2
1119,2
985,2
1116,2
931,2
868,2
503,2
537,2
565,2
542,2
2048,2
2048,2
2048,2
2048,2
1004,2
2048,2
1456,2
2048,2
251,2
287,2
264,2
236,2
586,2
704,2
652,2
661,2
2048,2
2048,2
2048,2
2048,2
496,2
624,2
658,2
601,2
352,2
428,2
336,2
359,2
827,2
588,2
653,2
507,2
2048,2
2048,2
2048,2
2048,2
689,2
724,2
732,2
709,2
2048,2
2048,2
2048,2
2048,2
557,2
485,2
485,2
590,2
480,2
535,2
482,2
488,2
1634,2
1201,2
1669,2
1415,2
1182,2
1787,2
727,2
2048,2
354,2
299,2
916,2
408,2
238,2
181,2
237,2
183,2
1913,2
2048,2
2048,2
2048,2
562,2
532,2
520,2
967,2
699,2
622,2
576,2
627,2
279,2
274,2
413,2
272,2
2048,2
2048,2
2048,2
2048,2
1676,2
1775,2
1439,2
1737,2
1463,2
2048,2
873,2
1388,2
