length,turn
8192,2
8192,2
8192,2
8192,2
6283,2
7142,2
6182,2
5584,2
3486,2
3550,2
2672,2
2270,2
3512,2
4241,2
3657,2
3644,2
8192,2
8192,2
8192,2
8192,2
1904,2
1716,2
1888,2
2266,2
2589,2
1756,2
1986,2
1615,2
2002,2
3526,2
2968,2
3050,2
8192,2
8192,2
8192,2
8192,2
2770,2
3815,2
3238,2
2498,2
3264,2
3491,2
2587,2
3411,2
6290,2
6483,2
7537,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
3581,2
5187,2
3442,2
3069,2
5783,2
5170,2
5295,2
4695,2
3757,2
5110,2
4920,2
6047,2
1782,2
1895,2
1821,2
2028,2
2444,2
3824,2
3710,2
3297,2
2122,2
1872,2
1673,2
2194,2
1794,2
1949,2
2625,2
2743,2
2825,2
2924,2
2685,2
2283,2
7774,2
8007,2
7815,2
8035,2
3134,2
3238,2
4085,2
6714,2
6562,2
8047,2
5129,2
7094,2
8192,2
8192,2
8192,2
8192,2
1956,2
2941,2
2300,2
2256,2
2162,2
3003,2
3043,2
3572,2
8192,2
8192,2
8192,2
8192,2
8192,2
7862,2
8192,2
8192,2
2000,2
2059,2
1469,2
2277,2
4332,2
5239,2
4881,2
5910,2
1923,2
1638,2
2231,2
1309,2
8192,2
8192,2
8147,2
8192,2
3603,2
2910,2
4846,2
4546,2
8192,2
8192,2
8192,2
8192,2
6465,2
6017,2
6572,2
4393,2
8105,2
7327,2
8192,2
8192,2
8192,2
7190,2
7745,2
4566,2
2321,2
2082,2
1873,2
1829,2
2663,2
1893,2
3809,2
2066,2
3022,2
3016,2
2197,2
2655,2
3887,2
5941,2
3699,2
2549,2
6313,2
6853,2
8192,2
8082,2
2835,2
2623,2
2419,2
2687,2
1686,2
1839,2
1988,2
2763,2
4094,2
7015,2
5977,2
7343,2
6312,2
8192,2
8192,2
8192,2
5128,2
6887,2
4329,2
4072,2
8192,2
8192,2
8192,2
7985,2
1966,2
2852,2
1822,2
2653,2
3947,2
3378,2
3340,2
2349,2
8192,2
6615,2
7930,2
7861,2
2289,2
2820,2
2561,2
3089,2
8192,2
8192,2
8192,2
8192,2
2346,2
1887,2
2412,2
1909,2
8192,2
8192,2
8192,2
8192,2
3261,2
3699,2
2959,2
3048,2
3108,2
3643,2
3580,2
3313,2
8192,2
8192,2
8192,2
8192,2
3719,2
4355,2
4293,2
4352,2
5102,2
4900,2
4369,2
4271,2
3369,2
4237,2
2800,2
2476,2
3676,2
3882,2
3408,2
2302,2
3559,2
2702,2
3038,2
4055,2
5959,2
5165,2
5872,2
6421,2
4016,2
4125,2
4906,2
3725,2
1837,2
1615,2
1137,2
1507,2
2120,2
2113,2
1778,2
2127,2
2227,2
2185,2
2866,2
2735,2
8192,2
8192,2
8192,2
8192,2
1543,2
1316,2
1473,2
1331,2
8192,2
8192,2
8192,2
8192,2
6597,2
4744,2
6706,2
4215,2
2974,2
3709,2
3906,2
3669,2
1957,2
1986,2
1511,2
1419,2
2615,2
3007,2
2998,2
2541,2
2755,2
4064,2
2979,2
3076,2
8192,2
8192,2
8192,2
8192,2
1923,2
1506,2
1994,2
1889,2
5849,2
5634,2
6528,2
6569,2
2177,2
2994,2
5631,2
2499,2
3415,2
3987,2
2768,2
2924,2
8192,2
8192,2
8047,2
8192,2
1488,2
1555,2
1286,2
1318,2
4861,2
5709,2
5849,2
7915,2
5125,2
5856,2
5906,2
5088,2
1825,2
1869,2
2369,2
2366,2
6636,2
6464,2
6773,2
6307,2
4848,2
3813,2
4736,2
4011,2
2272,2
3275,2
3535,2
2599,2
2950,2
3102,2
4642,2
4798,2
1439,2
1325,2
1522,2
1284,2
2135,2
1816,2
1849,2
2412,2
2407,2
2206,2
2450,2
2345,2
6452,2
8192,2
5271,2
6224,2
8192,2
8192,2
8192,2
8192,2
2070,2
1238,2
1397,2
1124,2
8192,2
8192,2
7747,2
7497,2
3229,2
3190,2
2275,2
2769,2
8192,2
8192,2
8192,2
8192,2
2603,2
2184,2
2768,2
3250,2
8192,2
8192,2
8192,2
8192,2
2136,2
3195,2
2371,2
3182,2
8192,2
8192,2
8192,2
8192,2
5917,2
4525,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
3273,2
2813,2
2342,2
2835,2
1263,2
1262,2
1115,2
867,2
2252,2
2331,2
2503,2
2094,2
1228,2
1704,2
1600,2
1302,2
3257,2
2096,2
2567,2
2249,2
2768,2
2668,2
3097,2
3426,2
5093,2
5463,2
5082,2
4212,2
8192,2
6799,2
5448,2
8192,2
8192,2
8192,2
8192,2
8192,2
3063,2
3857,2
3078,2
2862,2
3265,2
2848,2
2134,2
2134,2
7392,2
6465,2
6500,2
5025,2
5253,2
7942,2
6043,2
4922,2
2680,2
2929,2
3958,2
2289,2
8192,2
8192,2
8192,2
8192,2
5954,2
3741,2
3779,2
6290,2
3043,2
2393,2
1990,2
2085,2
4417,2
3772,2
4618,2
4862,2
2324,2
2248,2
2121,2
2314,2
5321,2
6177,2
5003,2
5295,2
2165,2
1796,2
3006,2
3112,2
1388,2
1991,2
1586,2
1834,2
2658,2
2430,2
2580,2
3200,2
2830,2
1739,2
1437,2
2089,2
8192,2
8192,2
8192,2
8192,2
4934,2
5195,2
4734,2
3598,2
8192,2
7306,2
7967,2
8192,2
4273,2
3622,2
6506,2
5577,2
4848,2
5084,2
5588,2
5370,2
5944,2
7137,2
8192,2
7866,2
7348,2
6691,2
6316,2
6824,2
2917,2
3394,2
3372,2
4395,2
2072,2
2653,2
1872,2
2530,2
2211,2
1993,2
2561,2
2082,2
7476,2
4933,2
3727,2
5136,2
2807,2
2636,2
3812,2
2407,2
3929,2
5176,2
5759,2
3708,2
1714,2
1499,2
1696,2
1246,2
6750,2
5580,2
5227,2
6261,2
3015,2
3936,2
3888,2
3833,2
8192,2
8192,2
8192,2
8192,2
1958,2
2529,2
1611,2
2278,2
1833,2
2367,2
1928,2
3205,2
8192,2
8192,2
8192,2
8192,2
2751,2
2378,2
2448,2
2882,2
8192,2
8192,2
8192,2
8192,2
5508,2
4257,2
4219,2
4172,2
8192,2
8192,2
8192,2
8192,2
8192,2
5698,2
8192,2
8192,2
2719,2
2764,2
3003,2
3243,2
8192,2
8192,2
8004,2
7958,2
8192,2
8192,2
8192,2
8192,2
6606,2
6797,2
7941,2
6728,2
1857,2
4031,2
1811,2
2774,2
8183,2
8192,2
7780,2
8192,2
8192,2
8192,2
8192,2
8192,2
4853,2
3846,2
4054,2
4478,2
8192,2
8192,2
8192,2
8192,2
1242,2
1436,2
1205,2
1581,2
8192,2
8192,2
8192,2
8192,2
4528,2
5010,2
4585,2
5020,2
995,2
1802,2
1483,2
1596,2
2561,2
2869,2
1977,2
2632,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5910,2
8192,2
4842,2
4842,2
4860,2
6826,2
3224,2
2676,2
2681,2
2739,2
2703,2
3855,2
4433,2
3312,2
2432,2
1810,2
1561,2
1715,2
3746,2
3225,2
2914,2
3905,2
1725,2
1164,2
1765,2
1360,2
4462,2
4388,2
4603,2
4735,2
1634,2
2395,2
2018,2
1655,2
7620,2
8192,2
7602,2
8070,2
3009,2
2577,2
3718,2
1869,2
1693,2
1661,2
1892,2
1330,2
7056,2
7662,2
7182,2
8025,2
8192,2
8192,2
8192,2
8192,2
3038,2
4556,2
5667,2
5164,2
1696,2
1484,2
2592,2
2136,2
8192,2
8192,2
8192,2
8192,2
2913,2
3398,2
2749,2
4114,2
2003,2
1642,2
3426,2
2598,2
3342,2
1974,2
2706,2
4315,2
4556,2
6075,2
5842,2
4937,2
6833,2
4985,2
5273,2
6215,2
2070,2
2213,2
2974,2
2187,2
3085,2
3388,2
2421,2
2438,2
3938,2
4793,2
3049,2
3888,2
1803,2
2611,2
1565,2
1844,2
5069,2
7450,2
3531,2
7300,2
2681,2
3734,2
3386,2
3519,2
1725,2
1929,2
2537,2
2181,2
8192,2
8192,2
8192,2
8192,2
8192,2
7565,2
8192,2
8192,2
4724,2
3397,2
5008,2
3584,2
8192,2
8192,2
6279,2
8192,2
