length,turn
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
4133,2
4476,2
4739,2
3793,2
6575,2
7636,2
7033,2
6249,2
7619,2
8192,2
6799,2
8192,2
3819,2
2409,2
3752,2
2667,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5462,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8123,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
6930,2
8192,2
8192,2
3045,2
3707,2
2663,2
5614,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
7706,2
8192,2
7428,2
8192,2
8192,2
5023,2
5146,2
6268,2
6139,2
6690,2
7231,2
8192,2
8192,2
8192,2
8192,2
6236,2
6007,2
2626,2
3543,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
1939,2
2460,2
2160,2
2530,2
8192,2
8192,2
8192,2
8192,2
3154,2
4777,2
2649,2
4351,2
2875,2
4830,2
4612,2
3333,2
8192,2
5013,2
5413,2
6139,2
5179,2
8165,2
6965,2
8192,2
6231,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
3007,2
4848,2
4509,2
4888,2
6691,2
8192,2
7023,2
5452,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
6073,2
6251,2
2071,2
5230,2
8192,2
6504,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5249,2
4085,2
5680,2
3158,2
5224,2
5356,2
8192,2
8192,2
2813,2
8192,2
6176,2
2753,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5140,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
7799,2
8192,2
8192,2
8192,2
5367,2
7725,2
8192,2
8192,2
8192,2
8192,2
8192,2
8077,2
6871,2
8192,2
8192,2
5652,2
5336,2
5184,2
3412,2
5619,2
6807,2
6731,2
2791,2
6229,2
8192,2
7538,2
8150,2
8192,2
8192,2
8192,2
8192,2
2698,2
5651,2
5809,2
5890,2
5189,2
5843,2
4237,2
4177,2
3341,2
4013,2
4690,2
3320,2
8192,2
5639,2
6557,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5773,2
7048,2
2902,2
8192,2
8192,2
7156,2
5039,2
5325,2
7837,2
5514,2
2812,2
3011,2
2181,2
3288,2
3182,2
3625,2
3318,2
2769,2
8192,2
6568,2
8192,2
8192,2
8192,2
8192,2
8192,2
6097,2
8192,2
6852,2
8192,2
8192,2
8192,2
8192,2
8192,2
7819,2
8192,2
8192,2
8192,2
6345,2
5924,2
2849,2
2883,2
2685,2
3471,2
5698,2
3039,2
5138,2
8192,2
5999,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
4858,2
3178,2
5217,2
3459,2
2571,2
8192,2
8192,2
5875,2
8192,2
5406,2
7658,2
4847,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
7361,2
8192,2
6437,2
5676,2
8192,2
8192,2
8192,2
6924,2
3131,2
3945,2
4921,2
3792,2
7090,2
6703,2
8192,2
8192,2
8192,2
8192,2
8192,2
6787,2
3250,2
3868,2
3478,2
3599,2
8192,2
8192,2
8192,2
8192,2
4677,2
4406,2
4261,2
6241,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
1531,2
2058,2
4563,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
6208,2
8192,2
8192,2
8192,2
5044,2
8192,2
8192,2
3958,2
8192,2
7697,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
3822,2
8192,2
8192,2
5254,2
6059,2
5576,2
4797,2
2855,2
2578,2
2678,2
2848,2
8192,2
8192,2
8192,2
6857,2
2543,2
3692,2
2773,2
4741,2
2599,2
6823,2
5390,2
5931,2
6474,2
7999,2
8192,2
8192,2
7220,2
6388,2
4046,2
6190,2
3895,2
3878,2
3227,2
3671,2
8192,2
8192,2
8192,2
8192,2
6148,2
8192,2
6678,2
5425,2
4154,2
8192,2
8140,2
6823,2
3342,2
3436,2
4054,2
5846,2
8192,2
8192,2
8192,2
7904,2
8192,2
8192,2
8192,2
8192,2
7623,2
5233,2
8192,2
8192,2
3643,2
3105,2
2875,2
6246,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
7407,2
6907,2
5545,2
7309,2
3039,2
8192,2
8192,2
6356,2
8192,2
3341,2
5203,2
2999,2
2640,2
3993,2
7229,2
2900,2
2118,2
4089,2
4090,2
3406,2
5619,2
8192,2
8192,2
8192,2
8192,2
3788,2
4371,2
4457,2
3486,2
6983,2
8192,2
4677,2
6996,2
2599,2
4131,2
3921,2
3089,2
7574,2
8192,2
8192,2
8192,2
4123,2
4369,2
4366,2
3567,2
5652,2
3632,2
6131,2
4620,2
3711,2
4305,2
5247,2
5243,2
8192,2
8192,2
8192,2
8192,2
2935,2
3904,2
5804,2
7689,2
6059,2
8192,2
4234,2
6252,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5676,2
7356,2
7370,2
3041,2
6332,2
6492,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
2761,2
2434,2
3922,2
3868,2
3646,2
2759,2
3387,2
3435,2
6494,2
6601,2
5020,2
7047,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
4073,2
4897,2
3808,2
3545,2
8192,2
8192,2
8192,2
8192,2
5683,2
5800,2
4783,2
5249,2
8192,2
8192,2
8192,2
8192,2
2834,2
2581,2
2758,2
3521,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
5587,2
6339,2
5797,2
3911,2
8192,2
8192,2
6800,2
4159,2
5242,2
6534,2
6617,2
2781,2
8192,2
8192,2
8192,2
8192,2
3777,2
4450,2
2414,2
3914,2
8192,2
8192,2
8192,2
8192,2
8192,2
8170,2
8192,2
6030,2
6345,2
4374,2
3332,2
2913,2
8192,2
8192,2
8192,2
6009,2
8070,2
5619,2
5862,2
8192,2
8192,2
8192,2
8192,2
8192,2
6841,2
8192,2
6311,2
6903,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
3661,2
3223,2
2645,2
5247,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8169,2
8192,2
6755,2
8192,2
8192,2
2236,2
2270,2
3357,2
3123,2
8192,2
7924,2
7839,2
8192,2
3362,2
3316,2
2907,2
2712,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
6261,2
5876,2
5398,2
5774,2
4364,2
5659,2
8192,2
5342,2
6566,2
4738,2
6574,2
8192,2
2695,2
6684,2
2488,2
2631,2
8192,2
8192,2
6605,2
7137,2
2670,2
2628,2
2680,2
2599,2
7614,2
8192,2
8192,2
8192,2
8192,2
4558,2
8192,2
6613,2
4399,2
3487,2
5237,2
5272,2
2892,2
2688,2
2570,2
2859,2
2530,2
2161,2
2654,2
2106,2
8192,2
8192,2
8192,2
8192,2
3732,2
3074,2
3238,2
4623,2
5957,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
6426,2
8192,2
4830,2
6903,2
3715,2
8192,2
7795,2
7767,2
8192,2
6217,2
6550,2
5126,2
7996,2
8192,2
5286,2
8192,2
8192,2
8192,2
8192,2
5709,2
8192,2
8192,2
8192,2
8192,2
6246,2
6987,2
3941,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8085,2
