length,turn
44,4
70,4
8192,2
46,4
244,4
54,2
239,4
306,4
323,4
591,2
285,4
164,4
30,4
410,4
29,4
29,4
235,4
4345,4
296,4
348,4
29,4
305,4
30,4
27,4
29,4
47,4
45,4
44,4
977,2
327,4
1358,4
281,4
111,4
365,4
132,2
104,4
32,4
282,4
32,4
32,4
297,4
538,4
44,4
386,4
32,4
95,4
464,4
32,4
52,4
232,4
93,4
238,4
172,4
216,4
110,4
189,2
156,4
1084,4
81,4
52,4
210,4
551,4
32,2
263,4
60,4
59,4
29,4
27,4
723,4
34,4
325,2
27,4
1147,4
368,4
73,4
171,4
32,4
32,4
32,4
1325,4
128,4
29,4
128,4
37,4
452,4
151,4
1273,2
2492,2
44,4
83,4
44,4
44,4
1684,4
29,4
139,4
818,2
402,2
52,4
29,4
48,4
44,4
191,4
97,4
1477,4
43,4
33,4
30,4
29,4
46,4
98,4
33,4
44,4
324,4
442,4
469,4
407,4
610,4
778,4
645,4
882,4
77,4
60,4
232,4
8004,4
27,4
151,4
72,4
27,4
308,4
210,4
145,4
393,4
1603,2
225,2
131,4
51,4
42,4
550,2
692,4
145,4
95,4
173,4
235,4
48,4
27,4
28,4
27,4
27,4
149,4
44,4
786,4
46,4
80,4
27,4
451,2
7258,4
45,4
916,4
2138,4
139,4
84,2
62,4
58,4
274,4
797,4
69,2
1473,4
1136,4
120,4
81,4
38,4
51,4
27,4
34,2
155,2
34,2
40,2
536,4
1062,4
49,4
8192,2
536,4
82,4
44,4
1187,2
373,2
47,4
29,4
44,4
44,4
106,4
208,4
3548,4
69,4
807,4
904,4
324,4
115,4
243,4
317,4
531,4
402,4
285,4
1032,4
29,4
44,4
78,4
44,4
1300,4
33,4
27,4
27,4
45,4
393,4
128,4
29,4
24,4
27,4
43,2
22,2
372,4
978,4
31,4
34,4
142,4
45,4
730,4
98,4
472,4
1343,4
870,4
467,4
1062,4
313,4
572,4
31,4
83,4
134,4
4150,4
423,4
36,4
87,4
116,4
106,2
22,2
69,4
81,4
101,4
48,4
18,2
564,4
58,4
481,4
27,4
44,4
49,4
1200,4
234,4
750,4
506,4
32,4
5068,2
86,4
451,4
115,4
88,4
176,4
315,4
74,4
193,2
182,4
99,4
115,4
113,4
27,4
