length,turn
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2020,4
2023,4
2048,2
2048,2
720,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2021,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2029,4
2048,2
2048,2
1298,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1261,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2019,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1596,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1382,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2019,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
