length,turn
7881,2
7881,2
7881,2
7881,2
1558,2
5843,2
2179,2
820,2
1199,2
1600,2
1993,2
1636,2
4398,2
3040,2
6512,2
7818,2
7860,2
6954,2
5797,2
7121,4
1344,2
1148,2
1207,2
1129,2
6556,2
3088,2
5760,2
4410,2
4008,2
1400,2
966,2
484,2
7886,2
7886,2
7886,2
7886,2
7850,2
7850,2
7850,2
7850,2
6177,2
3894,2
7873,2
5028,2
7404,2
7850,2
7387,2
7442,2
7886,2
7886,2
6275,2
6767,2
1144,2
1724,2
1372,2
1125,2
7286,2
7817,2
7794,4
7817,2
7860,2
7225,2
7040,2
6817,2
2759,2
4537,2
992,2
4722,2
1617,2
5737,2
6246,4
2859,2
5969,2
2341,2
2189,2
6853,2
7601,4
7850,2
7850,2
7850,2
968,2
1073,2
1256,2
1104,2
6352,2
5917,2
6382,2
7876,2
7810,2
7810,2
7810,2
7810,2
6637,2
7886,2
6294,2
7886,2
7345,2
7817,2
7566,2
7817,2
6336,2
7298,2
6106,2
6752,2
6537,2
7698,2
5561,2
7863,2
930,2
1265,2
1225,2
1291,2
2025,2
861,2
4736,2
5768,2
1801,2
1567,2
1776,2
1826,2
3144,2
1693,2
2209,2
2786,2
1960,2
490,2
1848,2
3209,2
3945,2
6944,2
6575,2
7860,2
7249,2
6632,2
7390,2
7886,2
7073,2
7190,2
5928,2
6468,2
1431,2
1614,2
1374,2
1106,2
872,2
3344,2
824,2
3942,2
7886,2
7886,2
7886,2
6064,2
7471,2
5933,2
6644,2
5078,2
656,2
626,2
554,2
6180,2
6211,4
5832,2
4855,2
3531,2
7488,2
6778,2
6208,2
7348,2
1026,2
1339,2
908,2
2816,2
3365,2
2722,2
4444,2
2984,2
4912,2
5271,2
4394,2
2935,2
7871,2
5415,2
7871,2
7871,2
3841,2
7873,2
7528,2
4722,2
7881,2
7822,2
6048,2
7447,2
4628,2
7760,2
7760,2
7760,2
4032,2
6281,2
4173,2
5606,2
5120,2
7364,2
7252,2
7457,2
7871,2
6729,2
5230,2
7871,2
7871,2
7871,2
5810,2
6845,2
4811,2
6423,2
3828,2
4016,2
4094,2
3461,2
2592,2
3199,2
7760,2
7760,2
7760,2
7760,2
4844,2
4491,2
7733,2
5735,2
2171,2
1663,2
1482,2
1440,2
2774,2
3110,2
665,2
557,2
1991,2
2368,2
1817,2
1621,2
2461,2
4978,2
1564,2
3136,2
7886,2
7886,2
6924,2
7886,2
7817,2
7817,2
7817,2
7387,2
3078,2
2606,2
362,2
3170,2
3182,2
1679,2
2478,2
2994,2
5120,2
3297,2
5673,2
3953,2
1398,2
989,2
1645,2
1731,2
1650,2
1364,2
1585,2
1380,2
7880,2
6908,2
7132,2
7880,2
5662,2
7854,6
7904,2
5291,2
7863,2
7863,2
5469,2
7863,2
4753,2
7873,2
3907,2
4747,2
7886,2
7886,2
7886,2
7886,2
1165,2
1655,2
1198,2
1538,2
1359,2
1340,2
1496,2
1435,2
7384,2
7236,2
3085,2
6944,2
5798,2
7856,2
3898,2
5467,2
4761,2
4892,2
3781,2
7169,2
1092,2
1224,2
1157,2
850,2
3224,2
854,2
2918,2
3414,2
1942,2
4316,2
2886,2
7818,2
6313,2
7876,2
5827,2
7251,2
5190,2
5828,2
7880,2
7263,2
5858,2
6395,2
7892,2
5392,2
5595,2
6807,2
4705,2
4057,2
1518,2
2267,2
1642,2
1630,2
7904,2
5048,2
6916,4
826,2
3791,2
4152,2
7904,2
4925,2
1613,2
1132,2
1640,2
2755,2
7871,2
5719,2
7871,2
7871,2
1971,2
1481,2
1453,2
1923,2
4994,2
4596,2
2954,2
3504,2
7817,2
7817,2
7817,2
7817,2
4132,2
3884,2
788,2
4055,2
7810,2
7810,2
7055,2
7810,2
7850,2
7807,2
7409,2
6835,2
7170,2
7760,2
4560,2
7760,2
7805,2
4967,2
5605,2
2791,2
2528,2
7907,2
2781,2
582,2
5648,2
7783,2
7871,2
7871,2
7881,2
7881,2
7881,2
7881,2
7437,2
6232,2
6536,2
7430,2
7760,2
7760,2
7760,2
5837,2
7307,2
3774,2
5593,2
4939,2
785,2
1108,2
1014,2
932,2
4519,2
6902,2
5231,2
5009,2
1363,2
1341,2
1787,2
4817,2
7845,2
5308,2
1069,2
599,2
7760,2
4060,2
7531,2
7760,2
2361,2
5593,2
3436,2
3689,2
1418,2
1937,2
1716,2
1581,2
687,2
2211,2
1381,2
4831,2
2803,2
7904,2
1480,2
2255,2
3789,2
2727,2
4116,2
3796,2
1223,2
1862,2
1339,2
1059,2
5899,2
4848,2
5225,2
5945,2
6447,2
5815,4
4745,2
6981,2
6211,2
6507,2
5553,4
7881,2
1602,2
1476,2
1455,2
1382,2
7881,2
7828,2
6979,2
7881,2
6455,2
7766,4
5992,4
6265,2
684,2
2947,2
7845,2
891,2
6705,2
3931,2
6696,2
1341,2
2577,2
1688,2
1272,2
1509,2
1083,2
1013,2
1260,2
2379,2
1287,2
1213,2
1928,2
1507,2
5881,2
7871,2
7871,2
7871,2
1717,2
1642,2
1882,2
1670,2
7760,2
7760,2
5324,2
7760,2
1597,2
1496,2
1269,2
1990,2
2005,2
7870,4
2230,2
3304,2
1147,2
1398,2
1126,2
1102,2
658,2
2367,2
3362,2
3118,2
4604,2
3008,2
3711,2
7090,2
1392,2
681,2
3343,2
4683,2
1466,2
1173,2
883,2
891,2
6492,2
4154,2
6692,2
2372,2
7810,2
7810,2
7810,2
7810,2
4341,2
6782,2
5471,2
5213,2
3086,2
403,2
566,2
3384,2
7881,2
7873,2
7543,2
7881,2
3768,2
7871,2
7054,2
4932,2
1086,2
882,2
1253,2
1032,2
1489,2
1542,2
1248,2
1424,2
7860,2
6829,4
7088,2
3528,2
7850,2
7850,2
6323,2
7850,2
7871,2
5881,2
7675,2
7871,2
2103,2
2016,2
5012,2
2589,2
2884,2
3506,2
1680,2
4665,2
7596,2
7817,2
7817,2
7817,2
3817,2
5365,2
5460,2
5895,2
5108,2
3265,2
4504,2
3465,2
1575,2
1318,2
1350,2
1325,2
7817,2
7817,2
7661,2
6742,2
7853,4
7146,2
6776,2
7507,2
7810,2
7810,2
7810,2
7810,2
2637,2
562,2
550,2
5494,4
4102,2
6819,2
3925,2
6428,2
6169,2
7104,2
7093,2
7023,2
2130,2
509,2
6662,2
609,2
7881,2
6803,2
7881,2
7881,2
1541,2
1361,2
3208,2
1867,2
7810,2
7810,2
7810,2
7810,2
7805,2
5387,2
6802,2
3302,2
1211,2
1313,2
2110,2
1258,2
7109,4
7881,2
7881,2
7881,2
7357,2
5443,2
7760,2
6206,2
7264,2
7810,2
7810,2
7810,2
7818,2
7818,2
7818,2
2484,2
7850,2
7850,2
7850,2
7348,2
7850,2
7715,2
7850,2
7850,2
6342,2
822,2
581,2
2180,2
1324,2
1669,2
1498,2
1352,2
4599,2
3802,2
5812,2
6903,2
7871,2
6485,2
7871,2
7034,2
6447,2
7774,2
7873,2
7873,2
1402,2
2314,2
1505,2
2217,2
6510,2
6559,2
5833,2
7318,2
1170,2
1245,2
1209,2
1266,2
3628,2
4649,2
2264,2
5604,2
7810,2
7810,2
7810,2
7810,2
5233,2
6395,2
5110,2
3958,2
3743,2
1076,2
484,2
2390,2
2954,2
777,2
7818,2
2261,2
1347,2
1397,2
1682,2
1285,2
3213,2
2844,2
3085,2
5056,2
1316,2
930,2
904,2
1111,2
7810,2
7810,2
7798,2
7810,2
1944,2
7048,2
5055,2
6999,2
5300,2
6190,2
3398,2
4175,2
1688,2
1045,2
1236,2
1163,2
2268,2
1674,2
1188,2
1439,2
5596,2
4399,2
4311,2
7873,2
939,2
1242,2
1246,2
1256,2
6079,2
4417,2
7344,2
7860,2
5294,2
1849,2
7604,2
7812,6
4775,2
2961,2
6897,4
3663,2
1624,2
3946,2
7818,2
7432,2
320,2
4923,2
4243,2
1953,2
717,2
790,2
5405,2
3340,2
7881,2
7881,2
7881,2
7881,2
4295,2
4557,2
4806,2
5069,2
2846,2
3746,2
7183,2
5221,2
7850,2
5809,2
7850,2
7743,2
7817,2
7794,4
7817,2
7817,2
7810,2
7810,2
7089,2
7810,2
1783,2
2128,2
2514,2
2329,2
7886,2
7886,2
7886,2
7886,2
3861,2
6205,2
901,2
3162,2
1382,2
1595,2
1259,2
1309,2
7805,2
5251,2
4880,2
4759,2
6274,2
7421,4
7806,2
7892,2
7850,2
7850,2
6541,2
6086,2
6268,2
6840,2
4714,2
7892,2
7561,2
7162,2
7068,4
7060,2
1084,2
1217,2
1483,2
1056,2
7863,2
6481,2
6273,2
7863,2
7850,2
7850,2
7850,2
7850,2
4412,2
4589,2
3689,2
4531,2
7067,2
7327,2
6161,2
7876,2
2005,2
1562,2
1610,2
2701,2
3845,2
6470,2
3886,2
2519,2
1719,2
3432,2
2848,2
1794,2
7175,2
7886,2
7886,2
7886,2
1026,2
1011,2
1579,2
1191,2
7871,2
4286,2
5736,2
7871,2
2280,2
6396,2
828,2
3496,2
7080,2
7892,2
4395,2
7513,2
7880,2
2490,2
7328,2
7542,2
4484,2
5355,2
4753,2
6377,2
6454,4
7536,2
3509,2
5977,2
7307,2
6446,2
7075,2
7472,2
7760,2
7760,2
7760,2
7760,2
4710,2
7275,2
7466,2
515,2
2698,2
2953,2
3387,2
7897,2
1026,2
1216,2
1111,2
917,2
7810,2
7810,2
7810,2
7810,2
1158,2
7755,4
2663,2
1936,2
1875,2
2630,2
3389,2
3309,2
7810,2
7810,2
7810,2
7810,2
5821,2
4109,2
2742,2
2049,2
949,2
1376,2
1387,2
1360,2
7850,2
7850,2
7850,2
6380,2
7850,2
7850,2
7850,2
7850,2
1500,2
1386,2
1391,2
1997,2
4062,2
4121,2
2390,2
4262,2
7760,2
7760,2
4366,2
4334,2
1494,2
3373,2
1666,2
1600,2
3932,2
3397,2
3782,2
3072,2
1673,2
1581,2
1229,2
1509,2
7817,2
7817,2
7817,2
7817,2
381,2
533,2
2171,2
1732,2
4357,2
5020,2
7669,2
5054,2
7810,2
7810,2
7810,2
7415,2
5065,2
4463,2
6379,2
5272,2
1394,2
1695,2
1491,2
1389,2
5842,2
5986,2
2300,2
4010,2
2515,2
2576,2
3850,2
4242,2
6274,2
2097,2
6664,2
6649,2
7869,2
7892,2
7892,2
4978,2
972,2
1593,2
1092,2
1156,2
1480,2
1643,2
1961,2
1475,2
4389,2
1859,2
7818,2
1753,2
7305,2
4553,2
2224,2
7481,2
2745,2
3236,2
2748,2
3711,2
1052,2
1671,2
869,2
1196,2
959,2
1151,2
972,2
981,2
7881,2
7881,2
7881,2
7881,2
364,2
2720,2
4853,4
3441,2
793,2
5795,2
592,2
670,2
6697,2
7871,2
7145,2
5423,2
7863,2
7863,2
7344,2
6281,2
372,2
1198,2
582,2
6954,4
6125,2
3712,2
3816,2
6090,2
875,2
3450,2
1236,2
3242,2
5325,2
4495,2
5643,2
3277,2
1202,2
671,2
814,2
1342,2
7769,2
7075,2
7886,2
7886,2
7557,2
6719,2
5787,2
6514,2
7553,2
6772,2
6791,2
7333,2
3041,2
1568,2
2688,2
1399,2
7810,2
7810,2
7810,2
7810,2
2195,2
1821,2
694,2
5651,4
7880,2
7118,2
7880,2
6104,2
6162,2
5586,2
7856,2
5130,2
4148,2
7772,2
7818,2
2339,2
6459,2
7853,4
6283,2
6437,2
7810,2
7810,2
4128,2
7810,2
7067,2
2994,2
2799,2
3017,2
5682,2
7707,2
5226,2
1210,2
3813,2
3599,2
3290,2
3803,2
1593,2
1771,2
2389,2
5877,2
1300,2
1258,2
1335,2
1166,2
2102,2
2296,2
4416,2
3927,2
7892,2
6293,2
7433,2
4257,2
4097,2
7818,2
7818,2
5684,2
7810,2
7810,2
7810,2
7810,2
4968,2
4715,2
7873,2
7576,2
7408,2
7892,2
7892,2
5944,2
7091,2
7871,2
7871,2
7871,2
5088,2
7009,2
6157,2
6562,2
4739,2
4052,2
7892,2
3974,2
610,2
1693,2
2627,2
500,2
7850,2
7850,2
7850,2
7850,2
5242,2
2983,2
6928,2
2963,2
3548,2
3231,2
2332,2
328,2
1260,2
2397,2
5979,2
715,2
7317,2
6588,2
5000,2
7880,2
6038,2
5987,2
7023,2
5534,2
7457,2
7881,2
7414,2
7422,2
7177,2
2586,2
6716,2
6334,2
7886,2
7886,2
5541,2
5896,2
5170,2
4730,2
6212,2
5572,2
1123,2
1449,2
1078,2
1304,2
6303,2
7337,2
6935,2
7880,2
4129,2
3042,2
5765,2
7818,2
929,2
5705,2
1265,2
1156,2
1576,2
1672,2
1255,2
1318,2
7817,2
7034,2
6181,2
4868,2
878,2
1721,2
888,2
899,2
5758,2
6378,2
5561,2
5541,2
6640,2
4577,2
5459,2
7778,2
1182,2
1276,2
1360,2
2180,2
7817,2
7817,2
7817,2
7817,2
5471,2
4933,2
7860,2
7860,2
1719,2
1711,2
1584,2
2177,2
7810,2
7810,2
7810,2
7810,2
