length,turn
7300,2
8192,2
8159,2
7406,2
705,2
570,2
1239,2
1489,2
1919,2
2968,2
2043,2
1857,2
1618,2
3722,2
4024,2
3252,2
6054,2
6422,2
7436,2
7143,2
1191,2
1366,2
1094,2
1666,2
6289,2
4150,2
6541,2
8192,2
622,2
819,2
3073,2
1187,2
8192,2
8192,2
7656,2
6440,2
8192,2
7491,2
8192,2
8192,2
4554,2
5828,2
5114,2
8192,2
8192,2
8192,2
7405,2
8192,2
7160,2
8192,2
4280,2
8192,2
1338,2
1212,2
2575,2
1543,2
7673,2
8192,2
8192,2
8192,2
5872,2
7859,2
5784,2
7722,2
2811,2
2290,2
312,2
391,2
754,2
3166,2
2753,2
3181,2
5410,2
5210,2
4457,2
8192,2
8192,2
8035,2
8192,2
8192,2
801,2
1324,2
1082,2
993,2
7543,2
6491,2
6021,2
7392,4
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
7758,2
5782,2
7197,2
7957,2
8192,2
7414,2
6750,2
8168,4
7515,2
996,2
1005,2
1082,2
1165,2
2748,2
1643,2
863,2
3110,2
1650,2
1797,2
1453,2
1980,2
1350,2
4234,2
1829,2
1466,2
2783,2
3590,2
5193,2
4869,2
5990,2
6734,2
6083,2
6914,2
8192,2
8192,2
7443,2
8192,2
7648,2
5213,2
5093,2
7321,2
1616,2
1297,2
1314,2
1557,2
821,2
709,2
4144,2
2874,2
8192,2
8192,2
6105,2
7517,2
5918,2
3961,2
3428,2
5799,2
3973,2
5825,2
5471,2
480,2
5288,2
5336,2
4253,2
6103,2
5319,2
7338,2
8119,2
7530,4
1199,2
962,2
1852,2
805,2
3982,2
3667,2
2559,2
4818,2
3148,2
1378,2
563,2
608,2
6583,2
6176,2
8192,2
6536,2
6814,2
7179,2
6012,2
8146,2
5368,2
8133,2
8192,2
7588,2
8192,2
5901,2
8192,2
6814,2
4431,2
3943,2
5084,2
5352,2
6939,2
6642,2
3543,2
7940,4
6602,2
8192,2
8192,2
6446,2
8192,2
6858,2
8192,2
2578,2
8192,2
4126,2
4343,2
4371,2
3227,2
7671,2
2397,2
4086,2
8192,2
6871,2
8192,2
8192,2
8192,2
8192,2
1426,2
8192,2
1410,2
1584,2
1972,2
1215,2
773,2
3357,2
8192,2
2988,2
1614,2
1520,2
2846,2
2707,2
5535,2
5497,2
3312,2
7705,4
8192,2
7965,2
8192,2
7319,2
8192,2
7089,2
8192,2
8192,2
2742,2
722,2
5592,2
452,2
2117,2
1969,2
3178,2
3031,2
2853,2
5326,2
3730,2
7132,2
881,2
1062,2
967,2
1272,2
1932,2
1273,2
1397,2
1316,2
8192,2
8192,2
5758,2
8167,4
7326,2
7369,4
515,2
6692,2
5881,2
4287,2
6174,2
921,2
7265,2
7631,2
7821,2
4469,2
8192,2
8192,2
8192,2
5065,2
1129,2
1146,2
1188,2
1192,2
1609,2
3205,2
1339,2
1531,2
7163,4
5949,2
6228,2
7077,2
4413,2
5921,2
5798,2
6510,2
6807,2
8192,2
7585,2
3070,2
1316,2
1107,2
1014,2
1477,2
2941,2
3268,2
3173,2
1569,2
8192,2
7432,2
8192,2
8192,2
8192,2
7208,2
8192,2
7453,2
6655,2
4425,2
8192,2
4796,2
5168,2
6573,2
8192,2
5930,2
7154,2
3047,2
3685,2
4511,2
2143,2
1896,2
1490,2
1883,2
6309,2
4023,2
5332,2
2693,2
4383,2
4262,2
4540,2
1964,2
1475,2
1940,2
1079,2
2174,2
8192,2
8192,2
6780,2
8192,2
2226,2
2639,2
3575,2
1324,2
4435,2
3677,2
5024,2
4389,2
7381,2
8192,2
7767,2
7056,2
528,2
2373,2
3687,2
3340,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
8192,2
6775,2
3486,2
8192,2
8192,2
5538,2
3055,2
5707,2
4815,2
572,2
524,2
6947,2
6525,4
8192,2
8192,2
8192,2
5084,2
8192,2
8192,2
8192,2
6035,2
8192,2
5667,2
8192,2
6041,4
6427,2
8192,2
8192,2
8192,2
4106,2
3364,2
4393,2
5059,2
1192,2
1021,2
1005,2
1026,2
4837,2
5928,2
7383,2
8111,2
3963,2
1350,2
3359,2
3025,2
3766,2
524,2
3989,2
2719,2
7972,2
8192,2
6517,2
5656,2
3090,2
4624,2
4237,2
3298,2
1651,2
1878,2
1920,2
1577,2
3117,2
598,2
654,2
6943,4
6193,2
8192,2
1379,2
1666,2
