length,turn
114,2
168,4
164,2
169,2
240,4
203,2
290,4
236,4
229,2
286,2
255,2
226,4
309,4
183,4
170,4
162,2
252,4
300,4
212,2
217,4
200,4
309,4
273,2
197,4
192,2
247,2
267,4
356,2
251,4
412,4
358,4
247,4
193,4
126,2
250,2
145,2
256,2
343,2
324,4
267,2
285,4
340,4
219,2
201,4
205,4
176,4
126,2
181,4
196,4
184,4
484,4
281,2
352,4
496,2
181,2
258,4
257,4
340,2
268,4
421,4
255,4
313,4
283,4
260,4
220,4
428,4
328,4
186,2
317,4
231,4
240,4
288,4
179,4
150,4
131,4
142,4
265,4
284,4
176,2
308,2
225,4
138,2
255,2
156,2
279,4
362,2
373,4
773,10
349,4
243,2
225,4
627,6
159,2
210,4
246,4
220,2
160,4
186,2
219,4
196,2
114,2
194,2
142,2
274,4
254,2
320,2
207,2
261,2
285,2
251,4
274,4
309,2
258,2
220,2
160,4
238,4
457,4
249,4
136,2
298,2
259,6
213,4
239,4
187,2
181,4
163,2
203,4
174,4
197,4
361,2
136,2
1021,6
232,4
359,6
257,4
262,2
156,4
273,4
314,4
376,2
215,4
264,2
454,2
291,2
625,2
456,4
204,2
742,4
258,4
134,4
236,4
154,2
561,2
356,2
410,4
712,4
297,4
176,4
256,2
290,2
215,4
245,2
254,4
226,4
124,4
403,4
126,4
109,4
228,4
319,4
177,4
232,4
234,4
197,4
294,4
229,4
198,4
226,4
178,4
270,2
679,10
296,4
203,2
456,10
277,2
253,4
350,4
268,2
442,2
189,2
296,2
254,4
267,2
347,4
1445,6
918,2
196,2
298,2
270,4
165,2
237,4
198,2
205,4
188,4
193,2
174,2
212,4
413,4
248,4
174,4
290,4
342,4
200,2
241,4
251,4
314,4
257,4
303,4
227,4
608,2
235,4
201,2
310,2
422,4
233,2
341,4
431,4
305,2
212,2
294,4
180,2
258,4
205,4
184,4
264,4
211,4
263,4
220,4
277,2
257,4
196,4
227,4
197,4
174,2
358,4
1270,10
391,2
298,4
191,4
242,4
187,4
272,4
202,4
264,2
215,4
249,4
289,2
473,6
263,4
380,4
101,2
480,4
128,4
344,4
170,4
191,2
144,2
311,4
305,4
311,2
339,2
306,4
257,4
275,4
291,4
442,4
243,2
207,2
250,4
181,2
265,2
302,4
483,6
171,4
580,4
491,4
913,6
320,4
213,4
209,4
211,4
196,2
284,2
314,4
673,2
409,4
529,6
123,2
252,4
258,4
316,2
323,4
528,2
348,2
188,4
165,2
190,4
224,4
241,2
166,4
154,4
149,2
212,2
178,4
249,2
243,4
149,4
174,2
246,4
180,4
155,4
195,4
131,2
222,2
202,4
193,4
408,2
202,4
214,2
322,4
291,4
381,2
300,2
168,2
160,4
208,4
300,2
446,4
283,2
325,6
260,2
172,2
223,4
213,4
312,2
1152,4
236,4
297,4
198,4
165,4
148,4
127,2
230,2
300,4
284,4
214,4
260,4
224,4
227,2
211,4
275,4
204,4
189,2
288,6
285,2
271,4
242,2
224,2
281,4
458,4
335,4
374,2
273,4
205,4
762,8
276,4
320,4
203,2
195,4
247,4
178,4
169,4
215,4
166,4
113,4
189,4
246,4
99,2
150,2
197,2
302,4
292,2
181,4
270,4
208,4
246,4
234,4
184,2
149,2
188,4
323,4
324,2
577,4
297,4
290,4
335,4
425,4
192,4
218,4
193,2
319,4
238,4
499,2
195,4
321,4
215,4
155,4
162,2
197,4
135,4
1254,4
188,4
222,2
426,4
517,6
192,4
369,2
531,4
254,4
225,4
218,4
209,2
169,2
476,2
395,2
215,4
329,4
209,4
217,2
177,2
265,2
235,4
402,4
219,2
314,2
122,2
366,4
178,4
403,4
153,4
186,2
207,2
334,4
187,2
390,4
521,2
228,4
135,2
166,4
359,4
277,4
358,2
50,2
388,4
449,4
276,4
269,2
324,2
169,4
117,2
362,4
185,4
278,2
188,4
114,2
150,4
223,2
194,2
222,4
265,4
191,4
374,4
252,2
276,2
198,2
325,4
334,4
343,2
165,2
216,4
165,4
127,2
194,4
223,2
159,4
161,2
287,4
215,2
276,4
212,2
320,2
247,4
282,4
243,4
191,4
194,4
230,4
161,4
136,4
141,2
171,4
207,4
217,4
112,2
445,4
324,2
236,4
290,2
151,2
168,4
208,2
233,4
239,4
260,4
306,4
245,4
257,4
362,4
309,2
357,2
492,4
534,6
218,4
434,4
292,2
249,2
175,4
188,4
197,2
138,2
3427,6
217,2
243,4
366,4
297,4
425,2
339,2
378,4
277,4
389,2
313,4
160,4
207,2
515,4
282,4
510,2
208,2
328,4
288,4
287,4
393,2
821,4
387,4
483,2
199,4
240,4
253,2
262,4
173,4
227,4
195,4
165,2
349,2
272,4
329,4
190,4
229,2
239,4
242,4
249,4
296,4
299,4
201,4
189,2
503,4
243,4
618,4
216,2
219,2
192,4
297,4
194,2
337,4
1393,6
281,4
236,4
179,4
195,4
235,4
190,2
263,2
306,4
266,4
286,4
247,2
236,4
369,4
205,2
173,2
197,4
259,4
188,2
408,4
304,2
236,2
373,4
200,4
484,6
155,2
225,4
223,4
162,2
232,4
261,4
215,2
309,4
178,4
253,2
237,4
341,4
207,4
204,4
226,6
209,2
177,4
250,4
1775,10
207,4
306,4
218,4
239,2
197,2
194,2
397,4
249,2
405,4
261,4
237,2
336,4
223,2
473,4
274,4
269,4
210,4
256,4
258,4
268,4
341,6
258,4
301,2
334,4
283,4
279,4
322,4
326,2
184,4
291,4
215,4
347,2
390,4
573,4
479,4
205,4
261,4
257,4
288,2
338,4
193,2
255,4
246,4
360,2
290,2
380,4
390,4
243,4
406,4
247,4
626,6
181,4
310,4
166,4
173,4
236,4
242,4
332,4
221,4
168,2
350,4
258,4
166,4
238,4
299,2
243,4
213,4
1068,8
380,4
234,4
223,2
273,2
335,2
230,2
175,2
225,4
225,4
188,4
262,4
307,4
352,2
205,4
308,4
253,4
165,4
231,4
202,4
315,4
272,2
217,4
300,2
129,2
184,4
251,4
244,4
163,4
116,2
290,2
209,4
200,4
166,2
193,2
225,2
224,4
197,4
210,4
208,4
183,4
278,4
283,4
157,2
240,4
170,2
360,6
431,2
254,4
230,2
558,8
258,4
223,2
133,2
158,4
202,4
348,6
334,4
377,4
342,4
221,2
270,4
373,4
257,4
162,2
238,4
155,4
158,2
251,4
227,2
265,4
290,2
321,2
258,2
290,4
322,4
199,4
172,4
232,4
169,4
350,4
196,2
201,4
230,4
254,4
273,10
314,2
271,4
385,4
351,4
240,4
302,4
225,4
209,4
174,4
219,4
182,4
199,4
171,4
216,4
346,4
310,4
238,4
279,4
167,2
335,4
234,4
301,4
217,4
236,2
160,2
225,2
174,2
179,4
223,4
372,4
109,2
238,4
101,2
128,2
191,2
201,4
293,4
221,2
273,4
213,4
224,2
176,4
123,2
303,4
168,4
168,4
267,4
232,2
339,4
230,4
307,4
259,2
177,2
213,4
489,2
280,4
590,8
804,4
573,6
243,4
420,4
220,2
456,10
253,4
223,2
176,4
274,2
309,4
259,2
232,2
311,2
271,2
446,4
191,4
184,2
453,4
277,2
395,4
147,4
205,4
140,2
392,4
252,4
230,2
176,4
258,4
290,2
278,4
222,4
159,4
236,2
251,4
278,2
340,6
260,2
349,2
442,2
354,2
241,4
266,4
282,4
209,4
338,2
541,4
393,4
415,2
345,2
288,4
203,2
368,4
305,2
585,6
1044,8
323,2
178,4
213,4
334,4
243,4
202,4
246,4
189,4
220,4
464,2
240,4
210,4
174,2
205,4
204,2
209,4
353,2
221,2
152,2
240,2
235,4
150,4
165,2
194,4
165,4
213,4
210,4
517,2
370,4
1009,8
231,4
172,2
139,4
197,2
549,2
131,2
222,4
263,2
271,4
157,2
261,4
163,4
183,4
262,4
185,4
84,2
305,4
238,2
440,4
253,2
426,6
178,2
332,4
242,4
340,4
186,4
189,2
496,4
340,4
320,2
537,4
216,4
200,2
192,4
123,2
130,2
153,4
300,4
212,4
225,4
152,4
224,4
197,4
240,2
310,4
310,2
204,2
221,2
360,2
214,4
302,4
276,2
346,4
176,2
277,2
384,2
219,2
401,2
481,4
204,2
296,2
204,4
166,4
209,4
272,4
250,2
363,4
291,4
386,2
305,2
343,4
200,4
273,4
280,2
159,2
307,4
812,10
1467,4
558,4
214,4
746,4
233,4
247,4
298,4
216,2
228,4
286,4
246,4
165,2
263,4
217,4
222,4
238,2
226,4
381,4
213,2
369,4
380,4
361,4
302,4
283,4
255,4
274,4
258,2
335,4
348,4
353,2
237,4
156,2
258,4
199,4
268,4
201,2
239,2
192,4
37,2
175,4
156,4
168,4
236,4
375,2
397,4
221,4
219,4
227,4
232,4
180,2
273,4
357,4
287,4
404,4
219,4
298,2
293,6
630,2
238,4
240,4
250,4
248,4
223,4
253,4
162,4
221,4
305,4
232,4
226,4
240,4
347,4
405,4
319,4
1024,8
194,4
211,4
171,4
217,4
434,2
291,4
278,4
416,4
252,4
231,4
200,4
1245,10
258,4
333,4
289,4
250,4
129,4
145,4
204,4
346,4
203,4
143,4
224,4
215,4
313,2
295,2
288,2
256,2
399,4
459,4
857,8
318,4
225,4
373,4
121,4
221,4
322,4
297,2
711,4
466,4
359,4
278,4
491,4
440,6
144,4
171,4
323,2
219,2
189,4
375,4
244,2
207,4
303,4
332,4
252,4
496,8
204,2
322,4
247,4
361,4
197,4
573,10
181,4
214,4
540,4
494,2
512,4
508,4
218,4
215,4
260,4
205,4
241,4
170,4
240,4
