length,turn
290,2
431,4
315,2
284,2
510,2
330,2
324,2
408,2
1569,2
392,2
503,2
478,2
2094,2
293,2
481,2
410,2
304,2
232,2
264,2
341,2
324,2
755,4
269,2
339,2
247,2
242,2
202,2
261,2
548,2
1209,2
499,2
354,2
154,2
480,2
238,2
548,2
502,2
718,2
921,2
519,2
856,2
336,2
2749,4
511,2
267,2
416,4
345,2
236,2
277,2
321,2
428,2
298,2
404,2
332,2
408,2
336,2
1526,2
549,2
743,4
573,2
259,2
418,2
276,2
386,2
433,2
380,2
404,2
336,2
405,2
425,2
416,2
396,2
505,4
268,2
397,2
179,2
269,2
285,2
262,2
467,2
328,2
328,2
403,2
391,2
4040,2
1243,4
5221,2
572,2
578,2
2163,2
2454,2
2082,4
533,2
291,2
369,2
250,2
278,2
479,2
379,2
484,2
619,2
466,2
604,4
399,2
995,2
322,2
590,4
2384,2
342,2
273,2
405,2
299,2
430,2
396,2
358,2
661,2
2496,2
1094,2
1750,2
1395,2
227,2
569,2
247,2
483,4
1151,4
441,4
565,4
950,2
229,2
663,2
192,2
1795,2
303,2
385,2
1014,2
803,2
260,2
320,2
260,2
356,2
518,2
380,4
337,2
224,2
814,2
1101,2
3386,2
2811,2
369,2
264,2
271,2
299,2
785,2
352,2
416,2
290,2
364,2
791,2
680,4
383,2
343,2
387,2
372,2
559,2
247,2
271,2
291,2
409,2
427,2
347,2
329,2
400,2
538,4
306,2
295,2
415,2
723,2
965,2
553,4
384,2
1220,2
5001,2
1652,2
2776,2
448,2
805,2
679,2
491,2
377,2
339,2
326,2
347,2
2452,2
576,2
5045,2
2073,2
370,2
619,2
527,2
564,2
563,2
346,2
408,2
453,2
206,2
293,2
305,2
266,2
651,4
245,2
324,2
392,2
1932,2
1037,2
1020,2
1648,2
376,2
1404,2
744,2
1327,2
2070,2
950,2
455,2
432,2
3209,2
4318,2
3464,2
3965,2
529,4
339,2
295,2
388,2
295,2
415,2
936,2
377,2
1071,2
1443,4
1070,2
709,2
3115,2
1557,2
3331,2
739,2
4395,2
1408,2
4056,2
6821,2
310,2
304,2
318,2
306,2
675,2
458,2
519,2
413,2
497,2
484,2
591,2
501,2
401,2
843,4
359,2
388,2
335,2
313,2
297,2
393,2
247,2
600,4
415,2
712,4
1717,2
567,4
1091,2
1631,4
523,2
615,2
473,2
433,2
298,2
563,2
269,2
315,2
614,2
354,2
436,2
692,2
540,4
238,2
453,2
1241,4
581,2
574,2
670,2
693,4
466,4
309,2
409,2
469,4
3045,2
4438,2
3569,2
904,2
418,2
586,4
538,2
241,2
240,2
291,2
236,2
263,2
504,4
235,2
332,2
269,2
307,2
276,2
316,4
251,2
494,4
232,2
255,2
355,2
310,2
328,2
512,2
172,2
1044,2
1703,2
4197,2
1613,2
277,2
515,2
234,2
274,2
618,2
755,2
458,2
3931,2
1179,4
639,2
566,4
1189,2
615,2
594,2
836,2
301,2
247,2
278,2
393,2
260,2
852,4
471,2
788,4
337,2
1265,2
791,4
670,2
568,2
1378,2
206,2
2223,2
1051,2
279,2
335,2
431,2
267,2
2617,2
4614,2
1020,4
2195,2
656,4
464,2
524,2
663,2
592,4
538,2
621,4
423,2
253,2
552,4
353,2
594,2
282,2
305,2
319,2
371,2
1015,2
509,2
1003,2
598,2
700,2
333,2
507,2
326,2
930,2
1375,4
310,2
382,2
491,2
466,2
416,2
477,2
414,2
518,2
622,2
1058,2
419,2
393,2
480,2
426,2
454,2
400,2
269,2
283,2
343,2
702,4
554,4
369,2
492,2
256,2
257,2
743,2
496,2
482,2
698,4
358,2
274,2
442,2
335,2
389,2
869,2
912,2
2196,2
1054,2
399,2
430,2
479,2
375,2
2396,2
877,2
859,2
2824,2
265,2
310,2
391,2
390,2
333,2
334,2
315,2
384,2
403,2
1226,2
716,2
688,2
229,2
202,2
359,4
178,2
2653,2
382,2
2083,2
639,2
401,2
582,4
570,2
1152,2
297,2
458,2
393,2
594,2
486,4
532,2
789,2
378,2
296,2
233,2
202,2
322,2
573,2
623,2
532,2
469,2
548,2
1300,2
443,2
593,2
370,2
348,2
322,2
406,2
326,2
523,4
331,2
225,2
1705,2
858,2
348,2
2227,4
198,2
213,2
248,2
425,2
464,2
563,4
335,2
462,2
401,4
177,2
447,4
151,2
496,2
411,2
412,2
483,2
384,2
1049,2
362,2
339,2
3010,2
1354,4
3509,2
402,2
450,2
193,2
576,2
358,2
2705,2
469,2
2786,2
2714,2
495,2
433,2
566,2
476,2
1365,2
550,2
329,2
316,2
1022,2
326,2
1443,2
465,2
1432,2
1813,2
916,2
717,2
941,2
1201,2
433,2
710,2
1434,2
2742,2
1351,2
1531,2
361,2
1017,4
507,2
485,2
1096,2
871,2
748,2
867,2
2367,2
957,2
502,2
968,2
393,2
236,2
188,2
394,2
278,2
284,2
402,2
329,2
1008,2
1002,2
824,2
1518,2
444,2
596,2
418,2
274,2
524,2
325,2
265,2
531,4
1468,2
583,2
410,2
501,2
449,2
1303,2
605,2
2361,2
418,2
349,2
280,2
494,2
547,2
615,2
443,2
787,2
975,2
586,2
465,2
883,2
286,2
337,2
317,2
476,2
271,2
264,2
1415,2
559,2
306,2
385,2
320,2
413,2
615,2
520,2
1167,4
282,2
358,2
557,2
465,2
506,2
1020,4
777,4
449,2
394,2
373,2
391,2
372,4
568,2
585,2
648,2
595,2
1269,4
204,2
258,2
327,2
733,2
1116,2
949,2
394,2
434,2
2464,2
942,2
2260,2
1377,2
805,2
739,2
792,2
1249,2
369,2
542,2
449,2
411,2
528,4
417,2
389,2
337,2
2983,2
364,2
522,2
387,2
1085,2
755,2
3785,2
1876,4
364,2
565,4
906,2
949,4
553,2
301,2
237,2
364,2
887,2
6161,2
442,2
2258,2
488,2
1400,4
2302,4
467,4
185,2
238,2
326,2
765,4
522,2
406,2
295,2
909,2
574,2
322,2
287,2
490,4
423,2
340,2
457,2
364,2
1448,2
1901,2
785,2
1065,2
524,2
2147,2
515,2
826,2
370,2
321,2
537,2
573,2
534,2
444,2
406,2
461,2
258,2
278,2
299,2
177,2
1666,2
1980,2
395,2
699,2
284,2
308,2
404,2
300,2
1019,4
903,4
759,4
497,2
217,2
258,2
337,2
160,2
394,2
329,2
445,2
483,2
524,2
756,2
424,2
318,2
430,2
247,2
637,4
242,2
411,2
480,2
2048,2
583,2
275,2
321,2
317,2
449,2
699,2
1042,2
4040,2
819,2
349,2
619,2
421,2
363,2
580,2
481,2
328,2
999,4
415,2
375,2
246,2
413,2
309,2
994,2
535,2
1202,2
440,2
365,2
203,2
233,2
217,2
227,2
558,4
265,2
563,2
1409,4
1321,4
465,2
1525,2
1324,2
1427,2
2088,2
406,2
432,4
484,2
438,2
448,2
359,2
263,2
251,2
438,2
551,2
602,2
489,2
355,2
308,2
277,2
1175,2
424,2
214,2
479,4
254,2
880,2
1670,2
712,2
1069,2
214,2
312,2
214,2
538,4
266,2
333,2
264,2
422,2
449,2
280,2
501,2
332,2
261,2
267,2
188,2
332,2
284,2
485,2
750,2
349,2
1110,4
499,2
497,2
473,2
2170,2
2678,2
1054,2
1580,2
1288,4
1333,2
1190,2
645,2
669,2
619,4
335,2
734,4
1466,2
726,2
1138,2
976,2
362,2
454,2
579,2
377,2
2403,2
1613,2
3895,2
2030,2
311,2
430,2
340,2
431,2
422,2
380,2
306,2
448,2
1276,4
525,4
879,4
460,2
586,2
1357,2
459,2
383,2
6455,2
1202,2
674,2
989,2
347,2
386,2
534,4
443,4
979,2
1541,2
639,2
1954,2
623,2
773,2
926,2
734,2
4304,2
2677,2
1524,2
2576,2
858,2
4706,2
2411,2
1284,2
298,2
446,2
526,2
271,2
429,2
244,2
282,2
507,2
272,2
476,2
885,4
448,2
398,2
327,2
349,2
498,2
257,2
273,2
373,2
258,2
580,2
919,2
308,2
592,2
619,4
540,2
529,2
496,2
267,2
566,2
263,2
454,2
164,2
285,2
215,2
269,2
267,2
332,2
363,2
314,2
1626,2
1478,2
244,2
2174,2
4222,2
321,2
582,2
1580,2
405,2
1196,2
464,4
678,4
729,2
4667,2
1618,2
529,2
317,2
355,4
255,2
326,2
664,2
432,4
695,4
431,2
411,2
1412,4
525,2
307,2
1339,2
1894,4
865,2
866,2
1335,2
512,2
339,2
581,2
5350,2
428,2
1818,2
491,2
3074,2
479,2
553,2
1191,4
477,4
314,2
329,2
340,2
540,2
504,2
389,2
471,2
427,2
520,2
694,2
1852,2
555,2
430,2
426,2
519,2
1133,2
1577,2
2583,2
970,2
140,2
340,2
165,2
418,4
487,2
918,2
535,2
458,2
301,2
641,2
283,2
306,2
319,2
502,2
466,2
589,4
1055,4
406,2
881,2
401,2
1935,2
2231,4
2324,4
1119,2
686,2
376,2
806,2
358,2
2037,2
625,4
865,2
594,2
408,2
264,2
293,2
299,2
425,4
341,2
401,2
340,2
393,2
741,2
490,2
