length,turn
89,2
89,2
84,2
87,2
243,4
215,2
171,2
217,2
247,2
220,2
247,2
250,2
186,2
239,2
227,2
161,2
255,2
250,2
241,2
238,2
200,2
232,2
231,2
236,2
163,2
130,2
147,2
120,2
292,2
278,2
257,2
312,2
113,2
102,2
126,2
118,2
291,2
289,2
282,2
267,2
301,2
267,2
297,2
298,2
94,2
137,2
125,2
94,2
148,2
150,2
175,2
181,2
167,2
162,2
211,2
162,2
193,2
193,2
198,2
206,2
185,2
184,2
201,2
174,2
227,2
207,2
232,2
223,2
252,2
253,2
296,2
379,4
211,2
123,2
184,2
127,2
125,2
139,2
107,2
194,2
151,2
163,2
189,2
153,2
374,2
343,2
290,2
306,2
450,2
811,2
1910,2
1013,2
132,2
178,2
132,2
128,2
172,2
163,2
145,2
160,2
267,2
289,2
310,2
311,2
247,4
262,2
205,2
272,2
212,4
135,2
151,2
193,2
208,2
192,2
205,2
223,2
262,2
167,2
181,2
167,2
129,2
198,2
134,2
111,2
181,2
136,2
127,2
121,2
267,2
204,2
520,2
338,2
160,2
206,2
284,2
280,2
203,2
231,2
243,2
236,4
268,2
217,2
248,2
218,2
503,2
424,2
640,2
527,2
134,2
124,2
124,2
124,2
238,2
210,2
193,2
208,2
166,2
193,4
162,2
171,2
170,2
132,2
129,2
137,2
153,2
165,2
168,2
136,2
223,2
221,2
247,2
224,2
165,2
173,2
183,2
180,2
210,4
142,2
148,2
151,2
891,2
635,2
577,2
463,2
402,2
429,2
413,2
436,2
141,2
125,2
130,2
131,2
367,2
428,2
506,2
401,2
276,2
149,2
270,2
186,2
154,2
167,2
179,2
181,2
181,2
163,2
183,2
153,2
105,2
90,2
95,2
95,2
246,2
292,2
252,2
259,2
264,2
248,2
359,2
433,2
309,2
279,2
283,2
250,2
2105,2
2914,2
2449,2
8142,6
118,2
104,2
123,2
104,2
242,2
241,2
242,2
227,2
204,2
207,2
185,2
240,2
184,2
173,2
189,2
221,2
309,2
340,2
347,2
301,2
128,2
151,2
132,2
155,2
239,2
212,2
194,2
232,2
280,2
302,2
277,2
225,2
194,2
196,2
216,2
198,2
177,2
194,2
194,2
178,2
323,2
249,2
255,2
263,2
206,2
218,2
223,2
199,2
266,2
321,2
279,2
323,2
199,2
194,2
193,2
170,2
331,2
417,2
496,2
395,2
160,2
174,2
152,2
146,2
356,2
386,2
384,2
540,4
156,2
172,2
158,2
178,2
298,2
923,2
271,2
336,2
264,2
217,2
192,2
195,2
100,2
100,2
105,2
100,2
146,2
134,2
132,2
123,2
116,2
120,2
98,2
124,2
121,2
163,2
127,2
164,2
234,2
232,2
164,2
167,2
246,2
306,2
579,2
320,2
132,2
168,2
138,2
128,2
271,2
288,2
406,2
174,2
164,2
201,2
215,2
197,2
306,2
231,2
225,2
225,2
93,2
97,2
100,2
99,2
218,2
198,2
203,2
214,2
209,2
216,2
219,2
211,2
1300,2
3902,2
1074,2
1766,2
183,2
304,2
211,2
192,2
477,4
429,2
461,4
433,2
235,2
233,2
206,2
245,2
258,2
238,2
230,2
252,2
146,2
