length,turn
274,2
340,2
339,2
320,2
276,2
268,2
273,2
206,2
400,2
734,4
711,2
437,2
891,2
1002,2
391,2
701,2
539,2
423,2
598,2
377,2
348,2
390,2
367,2
201,2
181,2
182,2
193,2
220,2
6368,4
895,2
1704,4
3861,4
324,2
264,2
286,2
285,2
681,2
389,2
537,2
510,2
1630,4
1544,4
4342,2
1096,2
166,2
343,2
177,2
205,2
253,2
267,2
297,2
303,2
252,2
235,2
253,2
253,2
405,2
445,2
378,2
310,2
158,2
244,2
292,2
293,2
316,2
287,2
295,2
298,2
470,2
371,2
393,2
470,2
239,2
268,2
339,2
298,2
386,2
421,2
410,2
334,2
250,2
299,2
215,2
289,2
453,2
331,2
527,2
456,2
1975,4
1846,4
2569,4
1952,4
373,4
204,2
371,4
227,2
1204,4
990,2
691,4
1521,4
518,2
480,2
475,2
557,2
621,4
327,2
316,2
397,2
235,2
215,2
221,2
188,2
408,2
420,2
448,2
510,2
585,2
1026,4
509,2
828,2
286,2
365,2
268,2
260,2
323,2
351,2
307,2
347,2
2395,2
1748,2
1918,2
1880,2
333,2
424,4
289,2
320,2
292,2
309,2
319,2
269,2
199,2
201,2
203,2
302,2
1262,2
1516,2
1776,4
2375,4
281,2
285,2
286,2
308,2
764,4
514,2
496,2
410,2
268,2
348,2
364,2
452,4
172,2
202,2
199,2
225,2
536,2
454,2
304,2
1008,2
295,2
367,2
430,2
377,2
289,2
287,2
266,2
365,2
491,2
300,2
384,2
796,2
5115,4
6434,4
6177,4
7381,10
498,2
548,2
494,2
549,2
351,2
256,2
278,2
284,2
679,2
660,2
677,2
1002,4
435,2
594,2
482,2
448,2
296,2
243,2
408,2
368,2
281,2
295,2
230,2
262,2
199,2
180,2
265,2
248,2
373,2
987,4
396,2
454,2
433,2
534,2
453,2
428,2
398,2
629,2
476,2
441,2
8192,2
8167,4
8192,2
8192,2
324,2
286,2
478,4
346,2
313,2
291,2
320,2
308,2
1016,4
1164,4
1103,4
1037,4
582,4
390,2
471,2
373,2
1102,2
1071,4
1069,4
858,2
225,2
273,2
331,2
283,2
462,2
296,2
333,2
313,2
693,2
697,4
409,2
426,2
328,2
398,2
275,2
242,2
354,2
567,4
334,2
313,2
317,2
366,2
389,2
374,2
880,4
636,2
570,2
583,2
551,2
549,2
1039,4
507,2
269,2
275,2
301,2
367,2
437,2
489,2
516,2
636,2
489,2
336,2
412,2
317,2
770,4
1011,4
490,2
575,2
328,2
274,2
509,4
231,2
753,4
561,2
749,4
526,2
270,2
230,2
244,2
242,2
172,2
205,2
177,2
174,2
234,2
149,2
185,2
152,2
197,2
286,2
224,2
250,2
207,2
234,2
196,2
209,2
262,2
373,2
258,2
244,2
1064,2
975,2
1744,4
1582,2
287,2
254,2
233,2
253,2
489,2
1019,2
747,2
542,2
244,2
332,2
423,2
462,2
671,2
644,2
736,2
560,2
302,2
211,2
243,2
290,2
285,2
481,4
370,2
265,2
503,2
444,2
343,2
352,2
3516,4
1845,4
4584,4
4041,6
274,2
289,2
273,2
272,2
495,2
555,2
681,2
534,2
547,2
481,2
351,2
274,2
534,2
938,4
359,2
377,2
283,2
476,2
441,2
239,2
229,2
257,2
246,2
231,2
312,2
335,2
307,2
296,2
314,2
394,2
326,2
400,2
258,2
300,2
320,2
266,2
360,2
408,2
479,2
389,2
568,2
454,2
494,2
475,2
619,2
565,2
508,2
470,2
348,2
321,2
313,2
326,2
315,2
411,2
309,2
269,2
303,2
374,2
414,2
361,2
460,2
554,2
617,2
529,2
448,4
309,2
320,2
495,4
358,2
436,2
491,2
362,2
706,4
414,2
349,2
409,2
482,2
453,2
483,2
567,2
227,2
205,2
212,2
243,2
435,2
427,2
436,2
274,2
1359,2
982,4
3049,6
2164,4
157,2
162,2
152,2
162,2
557,2
436,2
790,4
596,2
513,2
487,2
421,2
728,4
221,2
195,2
206,2
227,2
149,2
150,2
144,2
157,2
186,2
190,2
186,2
179,2
278,2
262,2
230,2
323,2
562,2
495,2
497,2
416,2
315,2
269,2
271,2
247,2
417,2
364,2
463,2
415,2
521,2
473,4
201,2
437,4
271,2
359,2
376,4
343,2
344,2
462,4
267,2
537,4
152,2
151,2
139,2
192,2
275,2
238,2
279,2
358,2
282,2
256,2
321,2
392,2
496,2
415,2
691,2
678,2
303,2
383,2
323,2
340,2
1024,2
