length,turn
887,4
911,4
727,4
1720,4
427,4
1599,6
866,4
457,4
499,4
520,4
518,4
438,4
647,4
645,4
813,4
630,4
1708,4
2025,4
2003,4
2022,4
1030,4
849,4
1335,4
757,2
624,4
854,4
783,4
660,4
709,4
564,4
593,4
535,4
1357,6
459,4
531,4
927,4
943,4
995,4
919,4
927,4
691,4
756,4
607,4
858,4
581,4
589,4
651,4
996,4
1189,4
1722,6
1551,4
1349,4
321,2
528,4
548,4
913,4
880,4
897,4
807,4
985,4
601,4
561,4
574,4
700,4
444,4
606,4
492,4
445,4
482,4
618,4
465,4
604,4
525,4
582,4
540,4
503,4
451,4
647,4
505,4
524,4
684,2
810,4
725,4
969,4
584,4
670,4
777,4
584,4
600,2
814,4
1008,4
1050,4
562,4
921,4
594,4
767,4
605,4
990,4
673,4
767,4
393,4
491,4
475,4
406,4
858,4
836,4
857,4
1023,4
264,2
531,2
705,4
508,4
660,4
636,4
549,4
757,4
1257,4
943,4
1682,4
1127,4
554,4
434,4
641,4
489,4
1486,4
1463,4
1225,4
1760,4
759,4
747,4
819,4
1179,4
1143,4
1128,4
1298,4
935,4
1291,2
437,2
665,2
593,4
787,4
811,4
608,4
965,4
605,4
820,4
827,4
675,4
532,4
671,4
483,4
501,4
655,4
580,4
541,4
695,4
795,4
438,2
599,4
721,4
812,4
619,4
541,4
640,4
1112,4
897,4
1648,4
1047,4
345,4
588,4
401,4
344,4
693,4
437,4
638,4
664,4
500,4
442,4
696,4
825,4
509,2
514,4
699,4
675,4
597,4
642,4
468,4
507,4
1002,4
1189,4
984,4
874,4
695,4
980,4
755,4
857,4
473,4
465,4
817,4
508,4
587,4
595,4
557,4
981,4
658,4
835,4
578,4
591,4
1733,4
1566,4
1997,4
1273,4
371,4
439,4
407,4
593,4
525,4
634,4
451,4
463,4
582,4
1015,4
699,4
527,4
653,4
780,4
795,4
643,4
535,4
587,4
670,4
606,4
551,4
639,4
681,4
537,4
1382,4
642,4
1186,4
1360,4
999,4
1538,4
2048,2
2048,2
480,4
598,4
753,4
482,4
464,4
525,4
578,4
407,4
707,4
1008,4
1087,4
1371,4
