length,turn
510,2
767,2
1400,2
871,4
187,4
166,4
274,4
201,4
299,2
283,2
440,2
398,2
345,2
709,2
395,2
443,2
627,2
468,2
1110,2
378,2
352,2
624,2
637,2
480,2
691,2
385,2
531,2
543,2
306,2
281,2
256,2
205,2
943,2
1011,2
471,2
1330,2
525,2
763,2
132,2
580,2
987,2
737,2
790,2
951,2
742,2
373,2
244,2
538,2
267,2
463,2
782,2
556,2
680,4
665,2
605,2
1407,2
350,2
595,2
832,2
537,2
675,2
413,2
669,2
667,2
393,2
203,4
333,2
383,2
707,2
525,2
529,2
408,2
248,2
282,4
234,4
404,2
238,2
727,2
495,2
618,2
720,2
515,2
523,2
603,2
270,2
221,2
256,2
539,4
116,4
279,4
98,2
114,2
2283,2
1037,2
818,2
4385,2
304,4
293,4
192,2
223,4
485,2
927,2
414,2
622,2
485,2
359,2
336,2
318,2
554,2
729,4
317,4
391,2
380,2
206,2
643,2
306,2
360,4
411,2
816,2
563,2
622,2
487,4
468,4
1410,2
511,2
754,2
306,2
669,2
559,2
311,2
427,2
766,6
263,4
306,2
450,2
734,4
255,2
352,2
313,2
264,2
285,2
274,2
154,2
187,2
368,2
343,2
413,2
444,2
381,2
241,2
366,2
381,2
498,2
630,2
589,2
586,4
565,2
537,2
618,2
570,4
310,4
276,2
181,4
387,2
184,4
212,2
214,4
193,2
35,2
754,4
499,2
479,2
285,2
391,4
107,2
461,4
193,2
143,2
398,2
278,2
188,4
165,2
157,2
90,2
764,2
562,2
447,2
875,2
262,4
271,2
209,2
399,2
252,2
332,2
411,4
332,2
174,2
368,2
179,2
393,2
545,4
203,2
772,2
204,4
458,2
492,2
393,2
486,2
358,2
364,4
414,4
544,2
187,2
219,2
215,4
165,2
934,2
390,2
453,2
433,2
252,2
385,2
315,2
346,2
237,2
258,4
264,2
425,4
205,2
179,2
355,2
200,2
564,2
401,2
486,2
334,2
582,2
520,2
395,2
634,2
781,2
532,2
824,2
542,2
608,2
356,2
418,2
451,2
2501,2
2078,2
1767,2
1034,2
502,2
300,2
310,4
311,2
465,2
1105,2
945,2
682,2
205,2
266,2
283,2
330,2
119,2
253,4
259,2
175,2
333,4
323,4
687,2
442,2
302,2
213,4
245,2
228,2
338,2
237,2
438,2
761,2
449,2
435,2
530,2
300,2
403,2
413,2
555,2
384,2
603,2
415,4
505,2
94,2
326,2
659,2
206,6
370,2
224,2
183,2
231,4
83,2
301,2
298,4
563,6
480,2
653,2
675,2
609,2
642,2
336,2
336,2
552,4
356,2
685,2
578,2
893,2
564,2
1157,2
4490,2
5505,2
1203,2
537,2
941,2
667,2
657,2
2188,2
1694,2
801,2
694,2
1052,2
389,2
468,2
394,2
351,2
201,2
196,2
293,2
1078,2
152,2
680,2
627,2
483,2
278,2
275,2
320,2
393,2
208,2
236,2
245,2
412,2
218,2
351,4
284,2
540,2
255,4
373,2
235,4
722,2
1963,2
410,2
701,2
702,2
259,2
431,2
536,2
400,2
284,2
311,2
119,2
286,2
314,2
194,2
302,2
241,2
429,2
659,2
781,2
861,2
741,2
694,2
772,2
472,2
471,2
516,2
525,2
188,2
29,2
145,2
270,4
279,4
502,4
254,4
606,2
322,4
382,4
411,2
386,2
697,8
310,2
425,2
333,2
371,4
284,2
338,2
422,4
265,2
538,2
700,2
734,2
296,2
249,2
283,2
238,2
516,2
864,2
608,2
776,2
684,2
1134,2
4183,2
1146,2
203,4
371,4
275,2
180,2
703,2
444,2
354,2
474,2
627,2
1281,2
403,2
440,2
543,2
707,2
380,2
322,2
768,2
1155,2
1648,2
3994,2
521,2
440,2
440,2
443,2
1487,2
895,2
570,2
744,2
214,4
363,2
197,4
195,4
533,2
284,2
169,2
368,2
1422,2
539,2
300,2
334,2
575,2
651,2
4133,2
2328,2
262,2
237,2
352,2
253,2
364,2
288,2
224,2
322,2
453,2
368,2
236,2
351,4
347,2
246,2
324,2
315,2
559,2
753,2
611,2
446,2
191,2
244,2
789,2
396,4
258,4
540,2
288,2
346,2
1538,8
651,2
648,2
1428,4
652,2
757,4
386,2
8164,4
213,4
196,4
265,2
207,4
360,2
271,2
294,2
278,2
537,2
542,2
449,2
375,2
246,4
900,2
157,2
222,2
416,2
124,2
178,2
159,2
397,2
3900,4
448,2
178,2
494,2
592,2
574,2
272,2
299,2
314,2
304,4
325,4
222,2
206,2
227,2
290,2
137,2
156,2
27,2
231,2
152,2
1202,2
590,2
1102,2
981,4
281,4
226,2
336,2
237,2
171,4
217,4
179,4
1287,4
801,2
666,2
770,2
271,4
151,2
328,4
210,2
66,2
363,2
426,2
323,2
688,2
504,2
579,2
676,2
301,2
240,2
457,2
197,2
219,4
351,4
253,2
437,4
202,2
184,2
307,2
228,2
711,2
468,2
526,2
480,2
688,2
318,4
1010,2
419,4
333,4
172,2
528,4
364,2
719,2
385,2
679,2
627,2
448,2
446,2
430,2
418,2
465,2
462,2
582,2
331,2
166,2
329,4
560,8
387,4
74,2
1371,2
291,2
494,2
425,2
553,2
982,2
753,2
414,2
416,2
347,2
203,2
364,2
397,4
352,4
263,2
372,2
474,2
414,2
516,2
275,2
662,8
648,4
403,4
1695,2
1032,2
1083,2
896,2
303,2
757,2
374,2
602,2
331,2
246,2
196,2
452,2
215,2
347,2
429,2
531,2
306,2
519,2
281,2
290,4
367,2
248,4
124,2
293,2
749,2
550,2
512,2
587,2
500,2
511,2
605,2
743,2
636,2
676,2
641,2
648,2
314,2
294,4
536,2
258,2
310,8
358,2
319,2
316,2
375,2
875,4
492,2
397,4
335,2
496,2
302,4
217,4
478,2
531,2
473,2
426,2
640,2
482,4
1445,4
1019,2
705,2
722,2
480,2
296,2
476,2
632,2
576,2
528,2
855,2
546,2
575,2
362,2
412,4
519,2
422,2
568,2
260,2
512,2
689,2
505,2
292,4
612,2
521,2
410,2
594,2
475,2
503,2
326,2
1052,4
790,2
382,2
368,2
267,2
197,2
441,2
265,2
264,2
342,4
1155,8
268,2
233,4
183,2
77,2
132,2
1891,2
365,2
522,2
510,2
353,2
189,2
271,4
586,2
1694,2
1303,2
3535,2
1700,2
516,2
424,2
515,2
401,2
552,2
432,2
504,2
408,2
668,2
869,2
731,2
1001,2
279,2
259,2
