length,turn
2048,2
2048,2
2048,2
2048,2
1179,4
917,4
1200,4
1171,4
2048,2
2048,2
2048,2
2048,2
1404,4
1529,4
2019,4
1144,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1555,4
1511,4
1263,4
1328,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1460,4
1992,4
1576,4
2048,2
1680,2
1591,4
1768,4
1465,2
2019,4
1959,4
2019,4
2001,4
2022,2
2048,2
2048,2
2048,2
1862,2
2048,2
2048,2
2048,2
2024,4
1579,4
1580,4
1095,4
1188,4
1575,4
1027,4
881,4
2015,4
1697,4
2015,4
2015,4
1234,4
1364,4
1510,2
1857,4
1510,4
1785,4
1048,4
1561,4
2048,2
2013,4
1916,4
2013,4
735,4
2048,2
665,4
1893,2
2048,2
2048,2
2023,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2021,4
2048,2
2048,2
2048,2
2048,2
2048,2
2013,4
2048,2
2048,2
2048,2
2021,4
2048,2
2021,4
2048,2
2048,2
2048,2
2048,2
2048,2
902,4
1003,4
960,4
1436,4
2048,2
2048,2
2048,2
2048,2
941,4
1548,4
1337,4
1020,4
956,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2018,4
2021,4
1288,2
1264,2
2017,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2022,4
1802,4
1533,2
1047,4
556,4
1012,4
724,4
1032,4
2024,4
2021,4
2048,2
2048,2
658,4
542,4
885,4
1104,4
2013,4
2006,2
2048,2
2013,4
2048,2
2048,2
2048,2
2048,2
1151,4
622,4
1081,4
1256,2
2024,4
2021,4
1551,4
1962,4
1079,4
1432,4
1389,4
1306,4
2048,2
2048,2
2048,2
2048,2
1427,2
2024,4
1417,4
2021,4
2048,2
1486,4
1407,2
1363,4
2048,2
2048,2
2048,2
2048,2
1377,4
960,4
1449,4
1064,4
767,4
1602,4
489,4
1571,4
2024,4
956,4
910,4
2024,4
915,4
949,4
1007,4
742,4
2020,4
1374,4
991,2
1454,4
2048,2
2048,2
2048,2
2048,2
904,4
1467,4
1386,4
1099,4
2023,4
2023,4
2020,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2021,4
607,4
878,4
657,4
497,4
1231,4
1142,4
1524,4
1100,4
