length,turn
2048,2
2048,2
2048,2
2048,2
1147,4
1048,4
824,4
1370,4
2048,2
2048,2
2048,2
2048,2
1748,4
1441,4
2025,4
2024,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
1720,4
1270,4
1031,4
1268,4
2048,2
2048,2
2048,2
2042,2
2048,2
2048,2
2048,2
2000,4
1675,4
2022,4
2025,4
2022,4
2016,4
1768,4
2008,4
1513,4
1455,2
2019,4
2022,4
1520,4
1898,2
2034,2
2015,4
2014,4
2048,2
2048,2
1881,2
2048,2
2024,4
1279,4
1476,4
1498,4
2019,4
634,4
2019,4
1361,6
2048,2
2048,2
2048,2
2015,4
2048,2
1687,4
1215,4
1518,4
1288,4
1414,4
928,4
778,4
2013,4
1774,4
1564,4
2021,4
1618,6
916,4
1635,4
822,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2021,4
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2024,4
2048,2
2048,2
2048,2
2048,2
2023,4
982,4
1047,4
1457,4
2048,2
2048,2
2048,2
2048,2
2022,4
1411,4
979,4
1007,4
2048,2
1777,8
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2018,4
1004,2
2021,4
1995,4
2009,4
2005,2
2009,4
2013,4
2048,2
2048,2
2048,2
2048,2
1958,4
1250,4
1367,4
2022,4
582,4
606,4
512,4
870,4
2048,2
1995,6
2048,2
2048,2
696,4
1035,4
734,4
1550,4
2048,2
2034,2
2013,4
2048,2
2048,2
2048,2
2048,2
2048,2
705,4
1854,6
1318,4
807,4
1441,4
2000,6
1551,4
1430,4
921,4
1420,4
1479,4
1547,6
2048,2
2048,2
2048,2
2048,2
2024,4
2024,4
2024,4
2048,2
1551,2
1951,4
2000,4
1721,4
2048,2
2048,2
2048,2
2048,2
900,4
1693,4
1289,4
1610,2
614,4
892,6
1821,8
719,4
805,4
1974,4
989,4
1377,4
1022,4
990,4
1163,4
1269,4
1298,2
1556,4
1768,4
2020,4
2048,2
2048,2
2048,2
2048,2
1659,4
588,4
1916,4
1202,4
2048,2
1273,4
2048,2
1629,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2048,2
2021,4
618,4
784,4
749,4
645,4
1672,4
1300,4
856,4
2022,4
