length,turn
3705,6
5719,6
5971,6
8192,2
959,6
1166,6
1487,8
1249,6
2454,8
696,2
618,2
1681,6
2090,8
2280,6
1855,6
1324,6
1490,6
1659,8
1592,8
473,2
8159,4
8192,2
7727,8
7055,6
703,2
1584,8
1947,8
1153,6
901,6
709,6
1159,8
935,6
8192,2
8192,2
7648,2
8160,4
1628,4
3166,8
3065,8
1851,6
1626,6
1808,6
2434,6
2252,6
1592,8
1480,8
929,4
1630,6
3305,6
6526,6
3375,6
3459,6
1518,6
2674,8
1517,6
926,4
3923,6
4930,6
8167,4
4348,6
2302,8
1419,6
1719,6
1722,8
958,6
1454,8
829,6
637,4
2985,8
2281,6
1789,6
1601,6
270,2
453,4
303,2
1070,8
1825,6
1595,6
1315,4
1882,6
979,6
1213,6
1023,6
1100,8
896,6
320,2
1414,8
973,6
537,8
270,4
599,8
395,6
2298,6
2233,6
2527,6
1400,4
214,2
181,2
182,2
782,8
4136,6
4222,6
2808,2
2807,6
974,6
1255,6
358,2
929,6
2988,8
3389,6
4668,6
3787,8
342,2
765,6
1219,8
867,6
1671,8
990,8
768,6
1128,6
1505,6
1414,6
2747,6
2654,6
1365,6
1786,6
1249,4
1919,6
2729,6
5060,6
5528,8
856,6
787,4
1555,6
1072,6
944,4
931,6
842,6
861,6
620,4
971,6
1068,6
727,6
761,6
1125,6
1273,6
1668,6
1780,6
560,4
800,6
505,4
566,6
1194,6
1268,6
1221,6
939,6
3217,4
3163,6
4863,6
5272,6
811,6
923,6
937,6
1016,6
349,4
676,6
372,4
704,8
1302,6
886,4
1127,6
1648,6
1546,6
1078,6
798,4
1711,8
757,6
1028,6
1139,6
877,6
636,6
876,8
157,2
171,2
1252,4
791,2
862,2
874,2
759,6
242,2
824,6
312,2
1238,2
1955,6
1177,2
892,2
1731,6
2116,6
2286,6
1671,6
891,6
637,4
843,6
720,6
3446,6
1668,6
2331,8
2554,6
2255,8
1790,8
999,6
1101,6
662,6
533,6
677,6
686,6
3481,6
3304,6
3295,6
5374,6
1014,6
1260,8
702,6
639,6
8144,6
8168,4
8120,8
7065,4
1571,8
1077,6
1305,6
1004,4
1847,8
1309,6
1214,6
1292,6
2161,6
1797,6
3206,6
2166,6
3465,4
2795,4
4912,6
3617,6
1749,2
1781,2
2777,6
1839,2
7436,2
7769,6
7137,6
8169,4
1002,6
346,2
993,6
685,6
6104,6
5957,4
4886,6
5244,2
555,6
702,6
660,6
862,8
1505,6
1481,8
1031,8
1493,8
870,6
870,6
892,6
1109,6
540,6
473,6
941,8
700,8
571,4
278,2
554,4
461,4
1334,6
1656,6
1299,6
1119,4
2504,4
2790,4
2498,4
2800,6
436,2
405,2
414,2
449,2
1183,4
3499,6
4506,8
1412,4
617,6
436,6
806,8
759,6
1350,6
881,6
1070,8
596,4
5610,6
3895,6
4213,6
3922,4
833,2
1704,6
809,2
1242,6
587,2
2517,8
3045,8
3991,8
3774,8
3407,6
3659,8
3347,6
3597,6
3472,6
3071,6
1725,6
3538,8
2815,2
4312,2
8146,6
1304,6
2113,6
1175,6
3400,6
603,4
864,6
1166,8
834,6
5810,6
1941,4
2405,6
4232,8
1456,6
1224,6
1289,6
2230,6
437,2
1035,6
921,6
813,6
565,4
393,2
689,6
355,2
1039,6
1300,6
1206,6
1194,6
2184,4
5255,6
5050,8
3056,4
844,6
1399,8
931,6
1256,6
834,6
342,2
1289,8
907,6
604,6
662,8
506,6
565,6
3302,6
1468,6
1314,4
1669,6
5626,6
2299,4
2105,2
4627,8
2572,6
2110,6
2498,6
2585,6
822,6
331,4
347,4
255,4
1130,8
1082,6
1068,8
869,6
1028,6
968,6
349,2
1026,6
1374,6
1125,6
1062,6
967,6
2762,6
5863,8
2915,6
3708,8
7554,2
5670,2
6436,2
8192,2
1556,6
1966,6
1309,6
2976,6
4288,4
5136,6
5422,6
4633,6
2410,4
3296,8
8192,2
7474,2
1090,6
797,6
1171,6
369,2
7168,6
8117,8
4499,8
5698,6
4122,8
4690,2
4351,2
4205,8
1154,4
1371,4
1463,4
1287,4
5126,6
3159,6
5021,8
4856,8
1684,6
1743,6
3357,6
2536,8
2485,6
2437,6
1814,6
2236,6
786,6
766,6
694,6
977,8
4664,6
5147,6
4537,6
4673,6
1757,4
4763,6
2068,4
7466,8
8192,2
8192,2
8192,2
8192,2
1274,6
1465,6
1776,8
2250,6
752,6
680,6
722,6
511,6
1492,6
1407,6
843,2
719,2
522,2
1104,6
1275,6
1349,6
1553,6
1116,6
1893,8
1688,6
5754,6
2335,2
2883,6
3976,4
923,6
1121,6
787,6
1020,6
1295,6
1753,6
3822,6
3827,8
8192,2
8167,4
4910,8
7622,8
964,6
1067,6
269,2
3204,8
167,2
159,2
539,6
136,2
1305,6
1837,8
1700,8
1720,8
998,8
613,6
707,6
750,6
4789,2
5221,2
7845,4
5897,6
1191,6
1421,6
1073,6
957,6
3388,2
4397,2
7489,4
4964,2
789,6
982,6
1151,6
983,6
1039,6
1047,6
744,4
1035,6
339,4
580,6
370,4
366,4
7925,8
7222,4
6746,8
4519,4
2413,8
1581,6
1619,6
2312,6
167,2
177,2
736,8
210,2
1986,6
1751,6
2029,6
2379,6
1415,6
2781,6
4243,6
2718,8
1839,6
1312,4
1275,4
2113,6
8182,2
7812,4
8167,4
8192,2
3209,6
3538,6
4744,8
1593,2
4641,6
2589,4
4434,6
4098,6
864,6
661,6
771,4
1001,6
1262,4
1329,6
1702,4
731,2
2861,6
3300,6
4949,8
1713,6
399,2
747,6
1086,6
1109,8
4621,6
8192,2
8192,2
3825,6
1800,6
2357,8
2594,6
