length,turn
304,4
371,4
292,4
279,4
155,4
127,4
97,4
134,4
136,4
208,4
64,4
33,2
188,4
205,4
952,4
73,4
251,4
179,4
136,4
110,4
211,4
140,4
260,4
99,4
257,4
226,4
120,4
222,4
208,4
113,4
143,4
92,4
683,4
189,4
165,4
192,4
703,4
165,4
90,4
502,4
233,4
415,4
102,4
353,4
318,4
192,4
220,4
242,4
59,4
190,4
137,4
169,4
431,4
434,4
91,4
335,4
144,4
150,4
621,4
68,4
93,4
109,4
27,2
101,4
182,4
114,4
92,4
281,4
107,4
216,4
107,4
294,4
97,4
137,4
124,4
142,4
77,4
123,4
172,4
157,4
113,4
95,4
341,4
203,4
136,4
220,4
177,4
119,4
287,4
77,4
856,4
77,4
51,4
206,4
333,4
397,4
312,4
405,4
123,4
923,4
206,4
86,4
125,4
26,2
114,4
310,4
119,4
198,4
266,4
374,4
388,4
52,4
212,4
51,4
233,4
303,4
260,4
53,4
127,4
196,4
194,4
240,4
210,4
133,4
133,4
42,4
158,4
57,4
66,4
67,4
300,4
199,4
54,4
71,4
77,4
120,4
485,4
49,4
66,4
227,4
39,4
307,4
172,4
83,4
261,4
145,4
155,4
39,2
110,4
372,4
552,4
221,4
170,4
172,4
173,4
47,4
114,4
228,4
344,4
467,4
322,4
453,4
183,4
153,4
47,4
305,4
247,4
29,2
341,4
66,4
103,4
313,4
228,4
224,4
85,4
404,4
285,4
118,4
587,4
422,4
120,4
207,4
97,4
123,4
174,4
1203,4
167,4
92,4
183,4
51,4
79,4
150,4
298,4
93,4
202,4
218,4
124,4
124,4
166,4
366,4
194,4
172,4
339,4
91,4
293,4
213,4
368,4
418,4
32,2
539,4
159,4
196,4
168,4
92,4
111,4
111,4
127,4
102,4
1770,4
287,4
156,4
139,4
139,4
393,4
95,4
154,4
351,4
77,4
283,4
266,4
370,4
320,4
209,4
310,4
103,4
107,4
141,4
33,4
255,4
426,4
207,4
98,4
121,4
38,2
107,4
124,4
43,4
229,4
163,4
34,4
29,2
163,4
43,4
181,4
46,4
292,4
50,4
283,4
119,4
246,4
275,4
167,4
242,4
168,4
176,4
147,4
47,2
214,4
198,4
171,4
62,4
236,4
93,4
91,4
81,4
234,4
191,4
165,4
315,4
219,4
125,4
122,4
115,4
337,4
356,4
80,4
554,4
195,4
119,4
269,4
82,4
