length,turn
211,4
132,4
195,4
242,4
201,4
199,4
93,4
199,4
310,4
170,4
173,4
33,4
146,4
392,4
301,4
538,4
145,4
188,4
83,4
193,4
114,4
55,4
250,4
229,4
87,4
135,4
43,4
186,4
180,4
241,4
35,4
176,4
779,4
42,4
141,4
1341,4
120,4
34,4
276,4
235,4
90,4
771,4
220,4
343,4
186,4
247,4
289,4
361,4
224,4
137,4
364,4
185,4
380,4
295,4
127,4
195,4
55,4
532,4
698,4
163,4
250,4
58,4
66,4
104,4
77,4
236,4
38,4
54,4
285,4
79,4
72,4
226,4
508,4
1260,4
800,4
107,4
204,4
34,2
60,4
299,4
34,4
28,2
365,4
638,4
106,4
325,4
234,4
123,4
151,4
234,4
51,4
214,4
217,4
123,4
344,4
175,4
197,4
162,4
54,4
373,4
290,4
158,4
524,4
72,4
170,4
410,4
463,4
228,4
616,4
256,4
26,2
144,4
172,4
38,4
26,2
90,4
284,4
206,4
988,4
354,4
289,4
52,4
312,4
288,4
112,4
101,4
49,4
165,4
146,4
155,4
222,4
180,4
87,4
27,4
167,4
33,4
128,4
104,4
62,4
214,4
28,2
192,4
260,4
67,4
133,4
211,4
152,4
152,4
257,4
243,4
37,4
286,4
34,2
49,4
343,4
73,4
178,4
179,4
119,4
97,4
155,4
244,4
182,4
224,4
197,4
162,4
112,4
376,4
37,4
122,4
116,4
37,4
173,4
353,4
318,4
89,4
278,4
235,4
286,4
564,4
113,4
87,4
160,4
318,4
242,4
243,4
180,4
206,4
153,4
436,4
79,4
96,4
301,4
1201,4
264,4
89,4
183,4
97,4
98,4
125,4
217,4
237,4
263,4
210,4
121,4
232,4
355,4
42,4
291,4
106,4
156,4
196,4
221,4
183,4
188,4
147,4
311,4
77,4
344,4
116,4
188,4
268,4
107,4
121,4
231,4
150,4
409,4
166,4
98,4
108,4
119,4
82,4
107,4
292,4
147,4
151,4
140,4
43,4
191,4
142,4
86,4
378,4
133,4
241,4
181,4
259,4
256,4
326,4
41,4
251,4
38,4
187,4
48,4
136,4
230,4
70,4
220,4
123,4
229,4
135,4
304,4
132,4
283,4
199,4
106,4
252,4
120,4
175,4
596,4
206,4
163,4
46,4
352,4
555,4
378,4
158,4
780,4
70,4
271,4
717,4
94,4
271,4
147,4
106,4
288,4
271,4
137,4
47,4
162,4
80,4
186,4
210,4
150,4
200,4
193,4
149,4
291,4
40,4
142,4
143,4
99,4
35,4
290,4
160,4
266,4
86,4
211,4
284,4
127,4
221,4
161,4
46,4
102,4
243,4
84,4
180,4
246,4
113,4
202,4
433,4
450,4
49,4
652,4
122,4
33,2
149,4
86,4
64,4
