length,turn
366,4
117,2
228,2
491,4
239,2
719,4
605,4
380,4
487,4
671,4
272,2
391,4
185,2
229,2
285,2
274,2
193,2
196,2
166,2
133,2
133,2
132,2
181,2
110,2
281,2
208,2
687,4
508,4
577,2
213,2
924,2
1061,2
523,4
273,2
265,2
341,2
247,2
156,2
204,2
258,2
648,4
260,2
514,4
694,4
386,2
406,2
332,2
423,2
448,4
206,2
263,2
222,2
394,2
549,2
390,2
384,2
616,4
183,2
339,4
296,2
174,2
242,2
271,2
569,4
490,2
556,2
393,4
272,2
164,2
616,4
211,2
233,2
194,2
525,2
502,2
442,2
325,2
289,2
733,4
327,2
186,2
197,2
238,2
151,2
227,2
237,2
149,2
263,2
536,4
200,2
882,4
637,4
142,2
600,4
177,2
265,2
654,4
301,2
567,4
249,2
289,2
272,2
282,2
354,2
622,4
276,2
570,4
306,2
551,4
330,2
387,2
442,4
229,2
138,2
395,2
214,2
325,2
441,2
747,4
490,2
776,4
960,4
331,2
237,2
1211,4
624,4
349,4
797,4
466,4
818,4
357,2
312,2
676,4
793,2
253,2
109,2
754,4
1062,4
363,2
180,2
275,2
304,2
188,2
102,2
263,2
333,4
207,2
239,2
202,2
977,2
402,2
431,4
602,4
243,2
200,2
627,4
604,4
387,2
631,4
481,4
143,2
277,2
292,2
361,4
254,2
269,2
234,2
768,4
210,2
191,2
616,4
538,4
393,4
510,4
176,2
795,4
307,2
706,4
568,4
939,4
377,4
389,4
344,2
290,2
185,2
227,2
454,4
197,2
382,2
220,2
501,4
502,4
458,4
215,2
419,4
762,4
521,4
196,2
434,4
706,4
509,4
173,2
306,2
168,2
175,2
342,2
323,2
263,2
322,2
353,2
625,4
668,4
706,4
810,4
410,2
232,2
456,2
565,4
660,4
628,4
784,4
227,2
209,2
208,2
1039,4
182,2
413,4
454,4
310,2
661,4
423,2
364,2
158,2
159,2
216,2
299,2
149,2
452,4
196,2
148,2
188,2
131,2
584,4
497,4
143,2
224,2
186,2
427,4
364,2
387,2
313,2
533,2
643,4
252,2
242,2
486,4
257,2
375,2
177,2
238,2
335,2
398,2
217,2
205,2
239,2
170,2
270,2
254,2
671,2
333,2
231,2
300,2
850,4
379,2
282,2
300,2
163,2
300,2
210,2
149,2
546,4
192,2
464,4
226,2
219,2
286,2
267,2
320,2
167,2
248,2
220,2
243,2
324,2
686,4
384,2
647,2
417,2
133,2
474,4
224,2
645,4
554,4
646,4
658,4
458,4
256,2
193,2
507,4
639,4
226,2
689,4
653,4
852,4
344,2
351,2
618,2
1060,4
597,4
272,2
358,2
150,2
270,2
199,2
264,2
253,2
234,2
231,2
164,2
225,2
319,2
241,2
492,2
293,2
634,4
500,4
598,4
214,2
685,4
266,2
412,2
345,4
744,4
1166,4
1080,4
388,2
160,2
268,2
260,2
142,2
160,2
817,4
164,2
223,2
439,4
172,2
305,2
183,2
232,2
286,2
423,2
382,4
466,4
458,4
368,2
193,2
1286,4
842,4
652,4
386,2
470,4
225,2
240,2
452,2
473,4
348,2
264,2
513,4
146,2
166,2
410,4
299,2
557,4
568,4
649,4
215,2
254,2
516,4
265,2
552,4
718,4
630,4
687,4
557,4
456,4
229,2
369,2
457,4
584,4
266,2
327,2
763,4
424,4
567,4
491,4
664,4
736,2
190,2
251,2
141,2
288,2
406,4
180,2
425,2
165,2
687,2
852,4
622,4
314,2
816,4
277,2
645,4
455,2
221,2
498,2
203,2
401,2
411,2
321,2
487,4
665,4
263,2
512,2
305,2
164,2
151,2
662,2
258,2
179,2
185,2
295,2
291,2
387,4
545,2
286,2
485,4
373,2
198,2
290,2
517,4
455,2
233,2
792,4
396,4
151,2
129,2
430,4
220,2
176,2
172,2
240,2
766,4
586,4
359,2
197,2
599,4
179,2
162,2
356,4
364,2
323,2
264,2
187,2
315,2
699,4
382,4
253,2
139,2
153,2
170,2
205,2
254,2
1077,4
306,2
140,2
214,2
167,2
198,2
470,4
194,2
266,2
310,2
342,2
351,2
488,2
412,4
503,2
282,2
419,2
327,2
232,2
150,2
281,2
150,2
224,2
358,2
526,4
526,2
379,2
659,4
642,4
711,4
267,2
309,2
232,2
521,4
251,2
655,2
614,4
591,4
396,2
465,2
386,2
498,4
1492,4
229,2
588,2
471,2
691,4
631,4
605,4
458,4
520,4
253,2
571,4
325,4
277,2
199,2
223,2
155,2
126,2
235,2
268,2
169,2
431,4
181,2
607,4
345,2
142,2
284,2
393,4
288,2
331,2
473,4
160,2
524,4
241,2
676,4
335,2
793,4
768,4
536,4
440,4
295,2
737,4
178,2
378,4
231,2
196,2
453,2
611,4
449,2
677,4
290,2
351,2
412,2
313,2
699,4
201,2
341,2
173,2
377,2
479,4
585,4
297,2
150,2
548,4
193,2
379,2
188,2
223,2
315,2
567,4
668,4
890,4
675,4
269,2
674,4
864,2
549,4
292,2
934,4
883,2
256,2
916,4
253,2
229,2
314,4
447,4
208,2
202,2
177,2
585,4
1014,4
483,4
213,2
636,4
183,2
181,2
139,2
168,2
369,2
407,2
608,4
249,2
685,4
215,2
444,2
553,4
367,2
840,4
692,4
200,2
187,2
188,2
426,4
267,2
226,2
533,4
392,4
249,2
159,2
252,2
389,2
509,4
479,4
400,4
238,2
237,2
327,2
408,2
437,2
179,2
388,2
281,2
366,2
766,4
190,2
246,2
179,2
243,2
497,2
576,2
883,4
603,4
547,4
194,2
363,2
513,4
253,2
486,2
468,4
258,2
287,2
296,2
674,4
273,2
173,2
281,2
181,2
395,2
229,2
189,2
164,2
175,2
148,2
251,2
693,4
308,2
168,2
759,4
387,4
275,2
256,2
219,2
256,2
303,2
784,4
272,2
839,4
233,2
1048,4
154,2
276,2
250,2
296,2
327,2
252,2
308,2
597,4
504,4
296,2
212,2
256,2
683,4
679,4
702,4
240,2
368,2
564,2
388,2
252,2
244,2
544,2
174,2
428,2
709,4
193,2
369,2
407,2
141,2
551,4
786,4
341,2
203,2
709,4
411,4
311,2
641,2
316,2
237,2
349,2
917,4
425,2
296,2
339,2
331,2
236,2
145,2
257,2
1000,4
510,2
874,4
450,2
548,4
266,2
250,2
186,2
139,2
167,2
206,2
693,4
566,2
259,2
729,4
384,4
222,2
277,2
421,2
306,2
445,2
295,2
301,2
175,2
552,4
361,2
166,2
292,2
412,2
325,2
710,4
309,2
316,2
544,4
313,2
281,2
828,4
556,4
903,4
185,2
272,2
316,2
283,2
367,2
256,2
585,4
148,2
199,2
437,4
560,4
180,2
535,4
317,2
313,2
196,2
276,2
321,2
605,4
507,4
566,4
442,2
917,4
808,4
243,2
454,2
441,4
247,2
525,4
604,4
718,4
545,4
212,2
224,2
137,2
214,2
181,2
430,2
360,4
303,2
201,2
201,2
212,2
471,4
414,2
405,2
677,2
372,2
419,4
210,2
248,2
224,2
355,2
248,2
476,4
242,2
375,2
308,2
300,2
574,4
739,4
302,2
304,2
537,4
224,2
381,4
218,2
213,2
316,2
262,2
684,4
563,2
332,2
285,2
184,2
480,4
394,2
222,2
315,2
327,2
306,2
447,2
349,2
623,4
196,2
759,4
161,2
147,2
1064,4
436,4
754,4
395,2
374,2
416,2
284,2
447,2
248,2
291,2
373,2
232,2
318,2
755,4
363,2
261,2
193,2
190,2
496,4
693,4
438,2
1012,4
658,4
808,4
141,2
253,2
230,2
286,2
254,2
318,2
263,2
294,2
261,2
581,4
211,2
441,4
286,2
231,2
268,2
251,2
485,4
184,2
326,2
164,2
1000,4
248,2
540,4
537,4
328,2
210,2
1061,4
330,2
190,2
146,2
331,2
184,2
216,2
263,2
264,2
194,2
263,2
425,2
329,2
379,2
485,4
286,2
290,2
215,2
220,2
298,2
557,2
336,2
529,2
412,2
330,2
365,2
245,2
257,2
167,2
443,4
845,4
643,2
471,4
287,2
203,2
687,4
329,2
401,2
160,2
229,2
252,2
468,2
285,2
192,2
682,4
1073,4
269,2
546,2
333,2
171,2
521,4
263,2
513,4
508,4
296,2
211,2
455,4
187,2
383,4
293,2
231,2
481,4
176,2
200,2
195,2
152,2
136,2
376,2
266,2
477,4
168,2
357,2
302,2
251,2
822,4
554,4
517,4
503,4
913,4
759,4
319,2
431,4
208,2
330,2
292,2
249,2
289,2
334,2
837,4
248,2
456,2
163,2
294,2
194,2
633,4
380,4
248,2
530,4
