length,turn
65,4
68,4
65,4
66,4
104,4
92,4
96,4
97,4
99,4
87,4
88,4
99,4
102,4
193,4
106,4
92,4
104,4
111,4
99,4
128,2
64,2
102,2
147,2
135,2
64,4
64,4
65,4
67,4
187,2
464,2
204,2
134,2
87,4
57,4
116,4
57,4
94,4
107,4
59,4
108,4
60,4
59,4
147,4
112,4
126,4
67,4
151,4
66,4
62,4
96,4
61,4
63,4
172,4
63,4
64,4
60,4
135,4
136,4
142,4
104,4
91,4
91,4
61,4
101,4
54,4
55,4
54,4
412,4
100,4
95,4
121,4
103,4
152,4
102,2
121,4
117,4
60,4
62,4
62,4
63,4
147,4
110,4
115,4
129,4
160,4
117,4
58,4
137,4
86,4
84,4
113,4
107,4
129,4
162,4
81,4
122,4
108,4
122,4
70,4
123,4
131,4
111,4
108,4
125,4
101,4
110,4
142,4
95,4
55,4
57,4
54,4
55,4
55,4
54,4
97,4
53,4
204,4
181,4
79,4
77,4
114,4
62,4
151,4
61,4
115,4
155,4
136,4
134,4
63,4
104,4
57,4
60,4
88,2
58,4
82,2
109,4
138,4
102,4
102,4
106,4
78,2
65,2
51,2
47,2
99,4
90,4
54,4
55,4
143,4
150,4
105,4
139,4
104,4
112,4
271,4
109,4
88,4
76,4
128,4
74,4
55,4
156,4
57,4
64,4
135,4
174,4
152,4
204,4
97,4
103,4
99,4
118,4
60,4
60,4
62,4
106,4
109,4
103,4
58,4
58,4
57,4
104,4
57,4
57,4
91,4
90,4
163,4
93,4
55,4
96,4
56,4
100,4
59,4
106,4
100,4
92,4
53,4
86,4
55,4
53,4
132,4
154,4
132,4
142,4
92,4
80,4
54,4
55,4
67,4
68,4
68,4
118,4
92,4
85,4
81,4
53,4
122,4
188,4
52,4
147,4
57,4
57,4
59,4
59,4
94,4
110,4
159,4
145,4
105,4
58,4
102,4
59,4
150,4
148,4
174,2
165,4
63,4
99,4
127,4
62,4
100,4
59,4
98,4
104,4
149,4
129,4
52,4
135,4
124,4
141,4
135,4
139,4
113,4
115,4
109,4
132,4
108,4
95,4
84,4
163,4
130,4
56,4
127,4
101,4
178,4
92,4
228,4
164,4
109,4
104,4
106,4
115,4
58,4
58,4
62,4
64,4
108,4
126,4
152,4
156,4
82,4
89,4
143,4
85,4
240,4
59,4
95,4
63,4
389,4
90,4
78,4
140,4
58,4
56,4
58,4
56,4
76,2
86,2
85,2
75,2
104,4
95,4
159,4
58,4
54,4
54,4
91,4
91,4
214,4
159,4
131,4
142,4
224,4
135,4
201,4
113,4
58,4
58,4
58,4
58,4
59,4
112,4
58,4
85,4
59,4
106,4
94,4
60,4
85,4
84,4
54,4
57,4
97,4
65,4
64,4
308,2
111,4
113,4
112,4
111,4
55,4
53,4
82,4
53,4
133,4
116,4
153,4
156,4
54,4
55,4
84,4
53,4
99,4
132,4
96,4
120,4
145,4
123,4
153,4
136,4
83,4
92,4
74,4
66,4
173,4
157,4
187,4
150,4
82,4
51,4
82,4
87,4
55,4
155,4
99,4
118,4
139,4
126,4
120,4
91,4
63,4
117,4
65,4
63,4
138,4
117,4
69,4
115,4
62,4
92,4
60,4
95,4
81,4
57,4
125,4
59,4
55,4
79,4
94,4
126,4
245,4
57,4
206,4
60,4
108,4
85,2
120,4
180,4
116,4
201,4
100,4
131,4
55,4
55,4
55,4
57,4
95,4
103,4
129,4
93,4
130,4
136,4
146,4
54,4
92,4
103,4
57,4
97,4
109,4
103,4
86,4
86,4
61,4
27,2
57,4
58,4
64,4
103,4
106,4
65,4
123,4
56,4
188,4
190,2
116,4
108,4
176,4
102,4
116,4
132,4
195,4
108,4
119,4
133,4
103,4
172,4
110,4
113,4
86,4
129,2
262,4
295,4
108,4
113,4
51,4
52,4
51,4
51,4
129,4
207,2
134,4
140,4
82,4
85,4
106,4
55,4
97,4
106,4
122,4
85,4
59,4
61,4
59,4
61,4
91,4
114,4
136,4
107,4
153,4
95,4
165,4
157,4
171,4
114,4
118,4
37,2
55,4
53,4
54,4
55,4
52,4
53,4
51,4
52,4
120,4
74,4
100,4
106,4
1184,4
52,4
60,4
141,4
109,4
89,4
112,4
93,4
106,4
108,4
152,4
105,4
781,4
167,4
177,4
174,4
108,4
103,4
189,4
88,4
107,4
101,4
106,4
109,4
107,4
105,4
147,4
157,4
85,4
111,4
88,4
109,4
84,4
53,4
83,4
78,4
107,4
293,4
153,4
60,4
62,4
61,4
61,4
61,4
107,4
111,4
60,4
113,4
57,4
143,4
134,4
60,4
51,4
78,4
80,4
78,4
143,2
60,4
58,4
86,4
102,4
105,4
56,4
57,4
539,4
283,4
53,4
55,4
59,4
97,4
112,4
61,4
62,4
62,4
62,4
62,4
155,4
56,4
57,4
121,4
118,4
103,4
93,4
108,4
71,4
195,4
153,4
131,4
57,4
57,4
56,4
55,4
64,4
60,4
64,4
131,4
58,4
57,4
58,4
57,4
97,4
85,4
86,4
144,4
111,4
104,4
108,4
60,4
167,2
185,2
161,2
155,2
93,4
60,4
58,4
57,4
52,4
53,4
52,4
52,4
155,4
98,4
86,4
151,4
88,4
79,4
57,4
82,4
54,4
55,4
54,4
54,4
62,4
93,4
98,4
64,4
90,4
79,4
91,4
88,4
187,4
66,4
185,4
295,4
172,4
278,4
184,4
112,4
109,4
114,4
150,4
115,4
56,4
52,4
146,4
108,4
86,4
97,4
98,4
54,4
93,4
100,4
115,4
104,4
27,2
61,4
63,4
62,4
86,4
86,4
122,4
88,4
153,4
137,4
135,4
131,4
106,4
96,4
157,4
130,4
55,4
56,4
59,4
56,4
164,4
112,4
148,4
144,4
60,4
98,4
60,4
60,4
102,4
105,4
105,4
103,4
107,4
98,4
98,4
114,4
112,4
126,4
96,4
616,4
91,4
129,4
189,4
138,4
139,4
170,4
104,4
134,4
95,4
114,4
63,4
112,4
62,4
154,4
61,4
60,4
118,4
173,4
91,4
55,4
291,4
109,4
265,4
59,4
101,4
111,4
106,4
101,4
118,4
227,4
158,4
160,4
82,4
55,4
84,4
106,4
60,4
59,4
110,4
59,4
93,4
156,4
59,4
114,4
155,4
109,4
139,4
104,4
171,4
296,4
176,4
210,4
99,4
84,4
138,4
99,4
64,4
62,4
114,4
64,4
102,4
53,4
54,4
90,4
100,4
51,4
85,4
81,4
120,4
96,4
96,4
109,4
141,4
105,4
118,4
143,4
302,4
341,2
245,4
56,4
59,4
58,4
138,2
126,2
131,4
108,4
96,4
123,4
81,4
126,4
102,4
54,4
57,4
57,4
25,2
163,2
104,4
104,4
103,4
105,4
32,2
155,4
101,4
164,4
228,4
104,4
179,4
203,4
76,4
55,4
94,4
82,4
144,4
100,4
130,4
115,4
57,4
56,4
87,4
87,4
317,2
340,2
276,2
376,2
167,4
176,4
130,4
196,4
112,4
117,4
106,4
182,4
272,4
207,4
199,4
128,4
119,4
58,4
58,4
175,4
145,4
98,4
95,4
94,4
199,4
128,4
167,4
106,4
113,4
134,4
97,4
128,4
80,4
53,4
231,4
263,4
163,4
133,4
164,4
61,4
131,4
109,4
132,4
170,4
176,4
139,4
91,4
80,4
61,4
61,4
150,4
61,4
100,4
103,4
138,4
101,4
115,4
59,4
61,4
167,4
106,4
91,4
106,4
88,4
61,4
108,4
60,4
61,4
92,4
96,4
156,4
144,4
112,4
102,4
121,4
99,4
108,4
116,4
117,4
120,4
56,4
56,4
57,4
56,4
30,2
90,4
55,4
87,4
56,4
56,4
63,4
58,4
149,4
61,4
60,4
102,4
146,4
98,4
150,4
86,4
106,4
125,4
115,4
96,4
58,4
60,4
58,4
58,4
148,4
120,4
178,4
106,4
309,2
126,4
201,4
232,2
86,4
123,4
96,4
193,4
117,4
84,4
112,4
105,4
85,4
86,4
268,4
86,4
214,4
61,4
114,4
312,4
99,4
124,4
91,4
118,4
93,4
245,4
145,4
93,4
190,4
281,2
305,2
257,2
98,4
54,4
53,4
58,4
99,4
227,4
109,4
62,4
88,4
189,4
103,4
137,4
95,4
151,4
191,4
142,4
112,4
109,4
116,4
119,4
94,4
56,4
73,4
54,4
147,4
115,4
133,4
122,4
98,4
97,4
101,4
99,4
115,4
121,4
152,4
105,4
66,4
88,4
67,4
179,4
56,4
60,4
57,4
201,2
78,4
91,4
96,4
127,4
