length,turn
594,4
856,4
869,4
816,4
512,4
493,4
243,4
337,4
666,4
507,4
385,4
249,4
637,4
743,4
1037,4
810,4
615,4
305,4
184,2
232,4
362,2
333,4
747,4
345,4
351,4
530,4
488,4
375,4
3000,2
1929,4
3000,2
2613,2
431,4
323,4
583,4
449,4
595,4
356,4
698,4
357,4
484,4
421,4
632,4
336,4
952,4
1355,4
834,4
705,4
328,4
566,4
337,4
627,4
1400,4
1384,4
1106,4
1232,4
595,4
556,4
531,4
637,4
530,4
511,4
446,4
496,4
924,4
1116,4
1292,4
941,4
555,4
610,4
559,4
438,4
390,4
289,2
1179,4
621,4
551,4
833,4
1022,4
540,4
683,4
1110,4
1277,4
1028,4
663,4
1273,4
847,4
1118,4
433,4
652,4
615,4
435,4
293,4
612,4
447,4
312,4
671,4
1365,4
767,4
891,4
736,4
487,4
652,4
1280,4
1090,4
1064,4
282,4
802,4
969,4
681,4
1532,4
670,4
974,4
465,2
455,2
330,2
777,4
1132,4
606,4
600,4
576,4
416,4
478,4
470,4
1120,4
897,4
926,4
1161,4
590,4
554,4
793,4
883,4
988,4
684,4
603,4
797,4
858,4
626,4
1243,4
814,4
265,2
218,2
228,2
307,2
328,4
441,4
336,4
552,4
596,4
890,4
973,4
925,4
199,2
759,4
405,4
453,4
629,4
472,2
258,2
1615,4
514,4
491,4
401,4
928,4
448,4
791,4
681,4
790,4
703,4
484,4
499,4
652,4
517,4
862,4
328,4
305,4
860,4
608,4
638,4
953,4
464,4
610,4
525,4
509,4
577,4
683,4
442,4
492,4
1468,4
466,4
991,4
525,4
767,4
748,4
852,4
965,4
369,4
301,4
213,2
237,4
593,4
290,2
511,4
376,2
1054,4
787,4
786,4
617,4
709,4
727,4
744,4
597,4
628,4
680,4
528,4
495,4
540,4
559,4
705,4
704,4
598,4
598,4
292,4
658,4
549,4
701,4
406,4
432,4
844,4
960,4
586,4
388,4
390,2
244,2
567,2
184,2
493,4
225,4
523,4
530,4
630,4
561,4
575,4
802,4
458,4
715,4
593,4
784,4
533,4
513,4
438,4
570,4
751,4
422,4
377,4
336,4
718,4
573,4
461,4
461,4
538,4
544,4
833,4
595,4
371,4
566,4
741,4
375,2
719,4
900,4
521,4
660,4
1108,4
568,4
593,4
1021,4
426,4
457,4
468,4
430,2
803,4
1065,4
483,4
429,4
527,4
1057,4
819,4
1091,4
451,4
351,4
557,4
419,4
596,4
648,4
390,4
427,4
555,2
368,4
333,4
344,4
792,4
587,4
447,4
578,2
642,4
299,4
235,4
543,4
763,4
651,4
879,4
930,4
868,4
795,4
899,4
741,4
631,4
915,4
774,4
381,4
754,2
266,4
582,2
1856,4
442,4
444,4
510,4
371,4
367,2
221,4
452,4
355,4
564,4
411,4
592,4
420,4
596,4
359,2
507,4
862,4
594,4
517,4
518,4
398,4
1136,4
723,4
642,4
681,4
450,4
912,4
873,4
626,4
592,4
736,4
727,4
575,4
1619,4
577,4
1858,4
1159,4
596,4
689,4
693,4
719,4
1046,4
695,4
305,4
1045,4
328,4
643,4
644,4
535,4
896,4
847,4
639,4
765,4
558,4
472,4
989,4
641,4
693,4
583,4
654,4
726,4
680,4
887,4
537,4
683,4
424,4
351,4
524,4
671,4
441,4
716,4
327,4
250,4
410,4
460,4
306,4
787,4
745,4
1057,4
1141,4
925,4
761,4
1011,4
786,4
633,2
758,4
310,4
302,2
476,4
2444,4
2080,2
1954,4
1387,2
912,4
1009,4
668,4
1143,4
1086,4
724,4
902,4
1043,4
388,4
599,2
842,4
331,4
575,4
436,4
583,4
684,4
631,4
921,4
597,4
1055,4
675,4
301,2
275,2
313,2
1242,4
1278,4
594,4
833,4
726,4
752,4
687,4
515,4
1091,4
773,4
857,4
577,4
419,4
945,4
742,4
581,4
436,2
362,2
795,4
381,2
588,4
1073,4
404,4
648,4
557,4
500,4
556,4
878,4
691,2
1238,4
844,2
851,4
616,4
1273,4
483,4
396,4
737,4
441,4
537,4
391,4
515,4
748,4
446,4
515,4
339,4
321,4
264,4
704,4
943,4
411,4
346,4
685,4
775,4
888,4
646,4
925,4
601,4
449,4
724,4
769,4
400,4
663,4
759,4
