length,turn
553,4
608,4
645,4
428,4
611,4
410,4
582,4
289,4
474,4
216,2
575,4
1342,4
651,4
723,4
657,4
686,4
644,4
253,2
1090,4
459,4
497,4
635,4
207,2
303,2
242,2
593,4
637,4
606,4
1558,4
1585,2
2048,2
1370,2
819,4
723,4
617,4
603,4
437,4
620,4
441,4
525,4
501,4
583,4
831,4
859,4
1029,4
568,4
844,2
1057,4
467,4
679,4
530,4
633,4
968,4
557,4
988,4
549,2
337,4
807,4
866,4
765,4
618,4
647,4
610,4
1070,4
589,4
811,4
496,4
512,4
897,4
974,4
695,4
530,4
802,4
673,4
789,4
609,4
461,4
762,4
999,4
804,4
595,4
791,2
1099,4
612,4
721,2
612,4
671,4
832,4
547,4
623,4
543,4
786,4
597,4
671,4
615,4
633,4
862,4
871,4
485,4
815,4
1037,4
366,2
403,2
774,4
475,4
648,2
644,4
907,4
1036,4
482,4
819,4
1324,4
128,2
513,4
501,4
555,4
973,4
825,2
706,4
623,4
434,4
779,4
610,4
1194,4
1024,4
372,2
984,4
1015,4
846,4
673,2
883,4
581,4
589,4
371,2
337,2
630,4
895,4
690,4
812,2
932,4
295,4
199,2
421,4
126,2
761,4
363,2
1044,4
586,4
663,4
458,4
956,4
977,4
725,4
683,4
444,4
539,4
388,2
779,4
690,4
316,2
663,4
570,4
441,4
529,4
482,4
835,4
626,2
579,4
246,2
480,4
561,4
414,4
537,4
732,4
283,2
902,4
1089,4
523,4
546,4
1089,4
534,4
500,4
678,4
628,4
397,4
366,4
560,4
1073,4
567,4
945,4
608,4
483,4
824,4
642,4
966,4
459,2
509,4
403,4
207,2
429,4
181,2
349,4
469,4
453,4
792,4
594,4
1043,4
939,4
921,4
789,4
702,2
628,4
795,2
442,4
637,4
512,4
528,4
581,4
498,4
653,4
953,4
1010,4
758,4
563,4
905,4
884,4
438,4
204,2
725,4
588,4
580,2
1001,4
233,2
295,2
314,2
308,2
1020,4
642,4
632,4
644,4
582,4
601,4
629,4
1006,4
562,4
756,4
1123,4
794,4
487,4
436,4
765,4
774,4
353,2
404,4
778,4
209,2
