length,turn
66,4
66,4
66,4
67,4
108,4
57,4
94,4
92,4
98,4
93,4
88,4
93,4
200,2
99,4
103,4
251,4
122,4
78,4
77,4
80,2
62,2
101,2
60,2
130,2
115,4
65,4
117,4
112,4
196,2
309,2
217,2
145,2
104,4
103,4
132,4
204,4
103,4
107,4
57,4
59,4
60,4
60,4
60,4
172,4
143,4
163,4
174,4
159,4
61,4
61,4
86,4
89,4
150,4
351,2
197,4
59,4
143,4
145,4
123,4
103,4
107,4
61,4
99,4
101,4
311,4
98,4
55,4
55,4
119,4
104,4
100,4
112,4
99,4
129,4
137,4
59,4
60,4
61,4
57,4
55,4
75,4
85,4
160,2
100,4
63,4
160,4
235,4
290,4
148,4
145,4
112,4
101,4
135,4
120,4
96,4
113,4
119,4
159,4
123,4
146,4
118,4
112,4
151,4
201,4
95,4
96,4
96,4
58,4
56,4
55,4
224,4
56,4
54,4
54,4
54,4
52,4
115,4
204,4
223,4
116,4
231,2
65,4
93,4
117,4
135,4
143,4
298,4
157,4
63,4
103,4
58,4
57,4
105,4
54,4
103,2
90,2
114,4
57,4
54,4
129,4
56,2
52,2
57,2
55,2
55,4
141,4
62,4
55,4
95,4
140,4
145,4
96,4
106,4
109,4
100,4
171,4
83,4
134,4
76,4
146,4
116,4
55,4
126,4
53,4
168,4
265,4
127,4
122,4
58,4
105,4
101,4
100,4
77,4
60,4
59,4
60,4
127,4
57,4
57,4
57,4
57,4
62,4
57,4
146,4
93,4
60,4
214,4
124,4
90,4
101,4
86,4
55,4
94,4
223,4
57,4
114,4
84,4
55,4
53,4
91,4
129,2
143,4
157,4
80,4
82,4
85,4
85,4
90,4
148,4
68,4
64,4
68,4
83,4
53,4
55,4
112,4
99,4
148,4
132,4
51,4
57,4
58,4
58,4
97,4
136,4
59,4
95,4
147,4
152,4
110,4
109,4
102,4
205,2
136,4
56,4
189,2
97,4
62,4
62,4
63,4
102,4
59,4
100,4
59,4
57,4
143,4
56,4
127,4
121,4
100,4
87,4
102,4
114,4
108,4
110,4
118,4
150,4
86,4
53,4
106,4
99,4
159,4
328,4
113,4
176,4
231,4
321,4
186,4
104,4
150,4
126,4
109,4
60,4
277,4
490,4
330,4
96,4
138,4
145,4
105,4
86,4
130,4
81,4
51,4
61,4
423,4
129,4
61,4
53,4
81,4
90,4
97,4
59,4
58,4
56,4
88,4
81,2
63,2
68,2
77,2
97,4
58,4
102,4
104,4
85,4
57,4
90,4
56,4
99,4
114,4
146,4
155,4
58,4
110,4
56,4
135,4
59,4
57,4
58,4
95,4
53,4
56,4
104,4
56,4
61,4
127,4
109,4
142,4
55,4
54,4
54,4
103,4
68,4
99,4
99,4
122,4
109,4
105,4
146,4
109,4
53,4
113,4
55,4
84,4
158,4
84,4
115,4
86,4
53,4
56,4
57,4
60,4
98,4
122,4
94,4
133,4
127,4
121,4
162,4
119,4
56,4
58,4
54,4
118,4
145,4
163,4
154,4
160,4
96,4
75,4
90,4
92,4
182,4
58,4
88,4
143,4
166,4
164,4
140,4
83,4
62,4
95,4
64,4
64,4
117,4
123,4
117,4
130,4
58,4
60,4
60,4
98,4
53,4
52,4
118,4
59,4
99,4
88,4
102,4
94,4
101,4
71,4
113,4
135,4
109,4
114,4
115,4
116,4
145,4
99,4
129,4
194,4
55,4
57,4
58,4
55,4
56,4
81,4
54,4
92,4
145,4
142,4
57,4
99,4
88,4
104,4
102,4
56,4
101,4
107,4
57,4
101,4
61,4
58,4
157,4
28,2
74,4
63,4
94,4
101,4
57,4
174,4
112,4
61,4
110,4
84,4
106,4
