length,turn
1165,4
492,4
543,4
200,2
194,2
459,4
494,4
194,2
661,4
384,2
183,2
617,4
334,2
582,2
236,2
589,4
356,2
173,2
134,2
138,2
172,2
258,2
161,2
214,2
533,4
208,2
230,2
308,2
1369,2
940,2
281,2
718,2
187,2
644,4
219,2
427,4
186,2
248,2
248,2
570,4
691,2
231,2
317,2
269,2
331,2
587,2
1010,4
742,4
374,4
260,2
228,2
336,2
513,2
391,2
365,2
525,2
227,2
210,2
208,2
575,4
386,2
289,2
175,2
673,4
1557,4
220,2
229,2
713,4
232,2
137,2
177,2
145,2
243,2
203,2
274,2
590,2
229,2
316,2
292,2
684,4
217,2
499,4
226,2
627,4
245,2
755,2
178,2
349,2
535,4
310,2
328,2
445,4
489,4
601,4
272,2
196,2
495,4
579,4
758,4
706,4
322,2
287,2
224,2
295,2
439,4
327,2
232,2
327,2
267,2
221,2
433,4
223,2
851,2
275,2
281,2
152,2
523,2
965,4
524,4
229,2
722,4
234,2
521,4
1039,4
248,2
213,2
585,2
241,2
533,4
1091,4
541,2
714,4
359,2
159,2
213,2
228,2
785,4
1074,4
832,4
650,4
165,2
181,2
543,2
376,2
174,2
492,4
153,2
141,2
166,2
708,4
570,2
415,2
151,2
259,2
154,2
246,2
501,4
467,4
247,2
292,2
144,2
354,4
718,4
601,4
394,2
228,2
887,4
167,2
128,2
191,2
174,2
854,4
262,2
172,2
633,4
242,2
427,4
251,2
431,4
870,4
185,2
545,4
377,4
641,4
294,2
827,2
499,4
202,2
148,2
143,2
274,2
193,2
323,2
245,2
525,4
824,4
291,2
121,2
218,2
147,2
262,2
231,2
412,4
249,2
322,2
188,2
273,2
469,4
355,2
572,4
590,4
293,2
592,4
176,2
279,2
237,2
429,4
248,2
247,2
185,2
779,4
157,2
448,4
128,2
152,2
862,4
558,4
250,2
519,4
363,2
332,2
551,2
181,2
200,2
242,2
202,2
245,2
359,2
479,2
387,4
154,2
229,2
178,2
200,2
257,2
197,2
909,4
204,2
376,2
390,2
317,2
273,2
204,2
646,4
213,2
391,2
854,4
589,4
629,4
360,2
829,4
241,2
478,2
366,2
259,2
225,2
285,2
175,2
439,2
284,2
672,4
302,2
385,2
447,2
410,2
418,2
223,2
629,4
178,2
147,2
192,2
254,2
508,4
309,2
334,2
224,2
304,2
178,2
234,2
231,2
333,2
159,2
280,2
389,4
423,2
335,2
203,2
228,2
258,2
680,4
299,2
552,4
294,2
210,2
211,2
155,2
280,2
253,2
605,4
753,4
784,4
631,4
460,4
279,2
906,4
346,2
691,4
379,2
453,4
529,2
338,2
175,2
111,2
220,2
206,2
171,2
693,4
185,2
467,4
187,2
296,2
335,2
419,4
430,2
392,2
902,4
556,2
1079,4
223,2
167,2
323,2
635,4
317,2
208,2
