length,turn
339,4
664,4
411,4
614,4
435,4
768,4
482,4
505,4
345,4
579,4
468,4
514,4
1101,4
1148,4
659,4
925,4
388,2
717,4
695,4
1045,4
511,4
265,2
236,2
734,4
574,4
505,4
407,4
632,4
1555,2
2048,2
1837,2
2048,2
618,4
444,4
1019,4
587,4
524,4
296,2
519,4
647,4
1322,4
879,4
952,4
479,4
568,2
569,4
1055,4
957,4
407,4
999,4
735,4
541,4
845,2
1041,2
542,4
796,2
552,2
476,4
691,4
278,2
480,4
545,4
587,4
738,4
1059,4
949,4
746,2
603,4
631,4
547,4
1082,4
1082,4
686,4
853,4
792,4
637,4
528,4
525,4
390,4
967,4
579,4
863,2
608,4
1079,4
412,4
556,4
943,4
455,4
785,4
774,4
1006,4
654,4
695,4
691,4
618,4
368,4
937,4
942,4
827,4
957,4
681,4
1090,4
637,4
698,4
596,2
563,4
617,4
464,2
1082,4
755,2
1047,4
1049,4
587,4
437,4
475,4
552,4
1075,4
1078,4
581,4
1059,4
345,4
380,4
411,4
847,4
859,4
620,4
1045,4
998,4
615,4
583,4
470,4
570,4
797,4
392,2
483,4
873,4
536,4
638,4
561,4
760,4
217,2
640,4
290,2
267,2
394,4
804,4
587,4
551,4
517,4
677,4
441,4
889,4
513,4
725,4
537,4
932,4
577,4
344,2
581,4
538,2
592,4
739,4
662,4
164,2
693,4
694,4
599,4
781,4
685,4
652,4
606,4
755,4
719,4
633,4
982,4
752,4
773,4
711,4
929,4
1041,4
576,4
918,4
703,4
1067,4
591,4
629,4
639,4
354,4
865,4
471,4
712,4
999,4
877,4
533,4
655,4
264,2
783,4
516,4
506,4
523,4
449,4
269,2
805,4
612,4
622,4
603,4
502,4
965,4
586,2
907,4
665,4
679,4
450,4
1093,4
724,4
378,4
677,4
670,4
572,4
884,4
600,4
602,4
639,4
491,4
672,4
532,4
716,4
694,4
560,4
1048,4
1064,4
1153,4
504,4
645,4
627,4
660,4
891,4
342,2
448,4
697,4
555,4
286,2
738,4
791,4
878,4
551,4
841,2
986,4
794,4
618,4
766,4
607,4
565,4
980,4
406,4
720,4
