length,turn
728,4
339,4
572,4
589,4
444,4
692,4
427,4
1104,4
732,4
628,4
671,4
252,2
660,4
672,4
1407,4
704,4
332,2
275,2
623,4
781,4
186,2
574,4
345,2
418,4
375,2
880,4
605,4
566,4
1047,2
1442,2
1898,2
991,4
636,4
609,4
870,4
774,4
539,4
602,4
367,4
504,4
753,4
776,4
628,4
1261,4
855,4
1011,4
657,4
1034,4
1562,2
564,4
983,4
969,4
633,4
1184,2
692,2
919,2
860,4
281,2
488,4
504,4
571,4
683,4
539,4
222,2
807,2
1030,4
603,2
648,4
674,4
532,4
1266,4
708,4
312,2
985,4
299,2
360,4
722,4
521,4
592,4
437,4
708,4
1020,4
416,4
569,4
407,4
427,4
824,4
435,4
292,2
680,4
533,4
554,4
669,4
464,2
939,4
636,4
957,4
555,4
597,4
950,4
598,4
498,2
784,4
742,4
557,4
585,4
1115,4
606,4
950,4
1048,4
562,4
1101,4
625,4
305,2
238,2
463,4
677,4
540,4
943,4
716,4
589,4
927,4
609,4
816,4
1302,4
1102,4
596,4
947,4
616,2
1136,4
748,4
499,4
515,4
583,4
618,4
273,2
452,2
902,4
902,4
729,4
190,2
532,4
190,2
145,2
524,4
584,4
820,4
848,4
1059,4
680,4
1003,4
622,4
541,4
482,4
954,4
687,4
269,2
376,2
614,4
748,4
441,2
958,4
607,4
614,4
883,4
607,4
978,4
862,4
432,4
489,4
187,2
530,4
649,4
615,4
509,4
506,4
829,4
698,4
662,4
1837,2
698,4
494,2
917,4
748,4
581,4
620,4
760,4
863,4
943,4
592,4
815,4
437,4
717,4
501,4
472,2
1016,4
505,4
578,4
396,4
323,2
516,4
591,4
312,2
482,4
527,2
554,4
542,4
949,4
420,2
521,4
1089,4
629,4
691,4
587,4
822,4
651,4
545,4
497,4
549,4
685,4
670,4
706,4
760,4
685,4
352,4
585,4
709,4
770,4
587,4
511,4
540,4
316,2
563,4
496,4
250,2
203,2
690,4
645,4
317,2
531,4
492,4
866,4
908,4
635,4
703,4
690,4
780,4
760,4
454,4
881,4
673,4
827,4
433,4
784,4
620,4
428,4
1123,4
850,4
714,4
775,4
950,4
626,4
1143,4
665,4
753,4
653,2
643,4
349,2
211,2
653,4
485,4
466,4
637,4
1074,4
1061,4
898,2
248,2
558,4
500,4
636,4
611,4
909,4
926,4
537,2
629,4
549,4
808,4
563,4
554,4
687,4
326,2
889,4
660,4
501,4
459,4
367,2
689,4
795,4
785,4
908,4
577,4
396,4
374,2
422,2
218,2
349,4
553,4
542,4
899,4
678,4
678,4
946,2
728,4
754,4
1280,4
825,4
509,4
436,4
590,4
720,4
807,4
1048,4
1045,4
796,4
811,4
579,4
649,4
626,4
781,4
676,4
537,4
590,4
755,4
421,4
568,4
531,4
677,4
262,2
650,4
1083,4
903,4
737,4
981,4
812,4
767,4
644,4
832,4
610,4
627,4
580,4
543,4
768,4
805,4
516,4
883,4
301,2
296,2
458,2
640,4
785,4
884,4
588,4
961,4
516,4
494,4
459,4
482,4
492,4
566,2
634,2
399,4
399,4
242,2
561,4
535,2
831,4
650,4
692,4
523,4
793,4
344,4
598,4
527,4
687,4
666,4
680,4
1049,4
576,4
1558,4
732,4
539,4
539,4
699,4
575,4
572,4
197,2
726,4
1119,2
404,4
794,4
545,2
595,2
613,4
1007,4
642,4
940,4
442,4
611,4
578,4
221,2
747,4
598,4
1489,2
999,2
530,2
924,4
816,4
476,4
922,4
453,4
638,4
636,4
865,4
626,4
878,2
1004,4
549,2
551,4
446,4
810,4
706,4
760,4
334,2
274,2
668,4
518,2
273,2
291,2
232,2
490,4
769,4
840,4
628,4
813,4
560,4
251,2
845,4
664,2
533,4
654,4
582,4
480,4
858,4
730,4
806,4
845,4
345,2
268,2
294,2
244,2
446,4
581,4
270,2
658,4
525,4
1003,4
1051,4
860,4
451,2
1041,4
762,4
302,2
869,4
477,4
653,4
733,4
803,4
740,2
235,2
249,2
501,4
888,4
715,4
1013,4
578,4
787,4
439,4
515,4
527,4
637,4
797,4
602,4
803,2
545,4
1042,4
1017,4
382,4
452,4
677,4
502,4
673,4
805,4
253,2
233,2
711,4
525,4
886,4
675,4
699,4
516,2
1004,4
651,4
529,4
561,4
864,4
483,4
629,4
1094,4
955,4
757,4
959,4
569,4
467,2
751,4
192,2
542,4
708,4
644,4
631,4
908,4
1516,4
1069,4
967,4
628,4
501,4
678,4
458,4
310,4
371,2
391,4
513,4
437,4
426,4
536,4
878,4
816,4
1087,2
797,4
567,4
523,4
459,4
662,4
559,4
520,4
375,4
855,4
163,2
648,4
627,4
551,4
990,4
1010,4
538,4
588,2
528,4
1138,4
761,4
1029,4
810,4
902,4
663,4
736,4
602,4
675,4
774,4
673,4
827,4
401,4
1014,4
616,4
640,4
672,4
1011,4
563,4
591,4
549,4
334,2
657,4
1301,4
359,2
497,4
888,4
511,4
582,2
584,4
760,4
712,4
1066,4
517,4
1011,4
1998,2
1134,4
2048,2
1126,4
796,4
797,4
524,4
497,4
482,4
482,4
466,4
625,4
383,4
