pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,2,297,0,148.50,1903.60,1
2,EXTEND,52,8192,0,157.54,135.87,1
3,EXTEND,108,8172,0,161.76,70.38,1
4,DECODE,161,0,161,161.69,19.28,1
5,DECODE,161,0,161,162.69,5.53,1
6,DECODE,161,0,161,163.69,5.68,1
7,DECODE,161,0,161,164.69,5.47,1
8,DECODE,161,0,161,165.69,5.56,1
9,DECODE,161,0,161,166.69,5.60,1
10,DECODE,161,0,161,167.69,6.54,1
11,DECODE,161,0,161,168.69,5.60,1
12,DECODE,161,0,161,169.69,5.55,1
13,DECODE,161,0,161,170.69,5.52,1
14,DECODE,161,0,161,171.69,5.52,1
15,DECODE,161,0,161,172.69,5.51,1
16,DECODE,161,0,161,173.69,5.53,1
17,DECODE,161,0,161,174.69,5.66,1
18,DECODE,161,0,161,175.69,5.74,1
19,DECODE,161,0,161,176.69,6.07,1
20,DECODE,161,0,161,177.69,6.07,1
21,DECODE,161,0,161,178.69,6.05,1
22,DECODE,161,0,161,179.69,6.03,1
23,DECODE,161,0,161,180.69,6.03,1
24,DECODE,161,0,161,181.69,6.04,1
25,DECODE,160,0,160,182.70,7.54,1
26,EXTEND,39,2443,0,158.28,40.33,1
27,DECODE,196,0,196,178.92,6.64,1
28,EXTEND,15,1043,0,156.07,23.52,1
29,DECODE,210,0,210,178.33,6.87,1
30,EXTEND,5,408,0,178.00,29.31,1
31,DECODE,213,0,213,179.32,6.44,1
32,EXTEND,4,4,0,189.25,16.79,1
33,DECODE,217,0,217,180.51,7.64,1
34,DECODE,217,0,217,181.51,5.95,1
35,DECODE,216,0,216,182.52,5.90,1
36,EXTEND,2,210,0,191.00,22.78,1
37,DECODE,212,0,212,183.29,5.86,1
38,EXTEND,5,362,0,200.00,19.89,1
39,DECODE,215,0,215,184.53,5.94,1
40,EXTEND,3,125,0,167.33,24.21,1
41,DECODE,217,0,217,185.34,6.01,1
42,EXTEND,2,2,0,148.00,14.69,1
43,DECODE,213,0,213,186.26,5.93,1
44,EXTEND,5,322,0,150.40,19.28,1
45,DECODE,213,0,213,186.10,6.16,1
46,EXTEND,5,175,0,188.80,19.10,1
47,DECODE,215,0,215,187.24,6.15,1
48,EXTEND,4,210,0,181.00,13.73,1
49,DECODE,217,0,217,188.12,6.13,1
50,EXTEND,2,2,0,190.00,14.02,1
51,DECODE,217,0,217,189.10,6.17,1
52,EXTEND,3,204,0,154.00,22.31,1
53,DECODE,216,0,216,189.74,6.17,1
54,EXTEND,3,172,0,166.67,19.59,1
55,DECODE,218,0,218,190.45,6.17,1
56,EXTEND,2,50,0,148.50,20.06,1
57,DECODE,215,0,215,190.96,6.06,1
58,EXTEND,5,5,0,150.20,14.74,1
59,DECODE,217,0,217,191.01,6.06,1
60,EXTEND,3,3,0,176.67,15.02,1
61,DECODE,218,0,218,191.65,6.09,1
62,EXTEND,3,213,0,157.00,21.05,1
63,DECODE,219,0,219,192.21,6.10,1
64,EXTEND,2,60,0,151.50,20.91,1
65,DECODE,220,0,220,192.80,6.69,1
66,EXTEND,2,2,0,146.00,14.07,1
67,DECODE,221,0,221,193.26,6.23,1
68,EXTEND,1,1,0,146.00,66.84,1
69,DECODE,217,0,217,194.10,6.35,1
70,EXTEND,4,234,0,146.00,22.01,1
71,DECODE,217,0,217,194.24,6.18,1
72,EXTEND,4,4,0,152.00,14.27,1
73,DECODE,218,0,218,194.07,6.08,1
74,EXTEND,4,240,0,146.00,13.68,1
75,DECODE,219,0,219,193.95,6.06,1
76,EXTEND,4,200,0,136.00,13.79,1
77,DECODE,218,0,218,193.85,6.05,1
78,EXTEND,4,348,0,173.00,18.08,1
79,DECODE,219,0,219,194.04,6.10,1
80,EXTEND,4,267,0,152.75,18.81,1
81,DECODE,214,0,214,194.51,6.17,1
82,EXTEND,7,250,0,154.86,24.59,1
83,DECODE,221,0,221,194.25,6.01,1
84,DECODE,221,0,221,195.25,5.99,1
85,DECODE,218,0,218,195.96,5.96,1
86,EXTEND,5,359,0,174.20,18.19,1
87,DECODE,219,0,219,196.40,6.01,1
88,EXTEND,5,176,0,193.00,13.24,1
89,DECODE,223,0,223,197.28,5.99,1
90,EXTEND,2,2,0,259.00,13.55,1
91,DECODE,225,0,225,198.83,6.81,1
92,DECODE,225,0,225,199.83,6.08,1
93,DECODE,222,0,222,200.62,5.94,1
94,EXTEND,4,175,0,175.00,13.56,1
95,DECODE,218,0,218,201.33,6.10,1
96,EXTEND,6,403,0,164.67,19.33,1
97,DECODE,222,0,222,201.43,6.02,1
98,EXTEND,4,60,0,165.50,13.61,1
99,DECODE,224,0,224,201.78,7.16,1
100,EXTEND,3,3,0,143.00,14.55,1
101,DECODE,222,0,222,202.16,6.26,1
102,EXTEND,4,264,0,153.00,19.39,1
103,DECODE,224,0,224,202.13,6.17,1
104,EXTEND,3,195,0,151.00,21.94,1
105,DECODE,225,0,225,202.48,6.48,1
106,EXTEND,3,109,0,143.67,22.60,1
107,DECODE,228,0,228,202.71,6.25,1
108,DECODE,228,0,228,203.71,6.28,1
109,DECODE,223,0,223,204.30,6.26,1
110,EXTEND,5,266,0,160.60,18.78,1
111,DECODE,224,0,224,204.03,6.28,1
112,EXTEND,4,4,0,181.50,13.77,1
113,DECODE,225,0,225,204.56,6.22,1
114,EXTEND,4,223,0,171.50,23.76,1
115,DECODE,224,0,224,204.28,6.35,1
116,EXTEND,5,433,0,188.20,19.27,1
117,DECODE,225,0,225,204.89,6.25,1
118,EXTEND,4,320,0,167.00,14.02,1
119,DECODE,226,0,226,204.98,6.24,1
120,EXTEND,4,228,0,143.00,20.65,1
121,DECODE,229,0,229,204.88,6.27,1
122,EXTEND,2,146,0,160.00,19.20,1
123,DECODE,223,0,223,204.95,6.56,1
124,EXTEND,6,390,0,176.00,20.90,1
125,DECODE,224,0,224,205.50,7.51,1
126,EXTEND,6,462,0,163.67,19.34,1
127,DECODE,225,0,225,205.60,6.99,1
128,EXTEND,5,289,0,165.60,17.65,1
129,DECODE,226,0,226,205.46,7.02,1
130,EXTEND,5,5,0,155.60,13.66,1
131,DECODE,229,0,229,205.27,7.15,1
132,EXTEND,3,252,0,170.00,23.98,1
133,DECODE,229,0,229,205.62,7.81,1
134,EXTEND,3,223,0,188.00,14.22,1
135,DECODE,230,0,230,206.37,7.41,1
136,EXTEND,3,85,0,187.67,29.41,1
137,DECODE,232,0,232,207.08,6.36,1
138,EXTEND,2,2,0,169.00,14.11,1
139,DECODE,232,0,232,207.68,6.26,1
140,EXTEND,2,63,0,158.50,18.26,1
141,DECODE,233,0,233,207.80,7.23,1
142,EXTEND,2,2,0,148.00,13.82,1
143,DECODE,231,0,231,208.35,6.19,1
144,EXTEND,3,125,0,148.00,13.95,1
145,DECODE,233,0,233,208.44,6.27,1
146,EXTEND,2,2,0,148.00,14.28,1
147,DECODE,230,0,230,208.73,6.34,1
148,EXTEND,4,348,0,173.00,14.25,1
149,DECODE,229,0,229,209.13,6.35,1
150,EXTEND,5,367,0,160.40,19.24,1
151,DECODE,228,0,228,208.50,6.34,1
152,EXTEND,6,318,0,201.00,17.98,1
153,DECODE,230,0,230,209.22,6.33,1
154,EXTEND,5,333,0,173.60,18.39,1
155,DECODE,231,0,231,209.74,6.25,1
156,EXTEND,5,388,0,163.80,19.44,1
157,DECODE,233,0,233,209.58,6.29,1
158,EXTEND,4,76,0,174.25,24.80,1
159,DECODE,235,0,235,210.15,6.66,1
160,EXTEND,3,79,0,161.33,23.88,1
161,DECODE,235,0,235,210.54,6.38,1
162,EXTEND,3,3,0,162.67,14.08,1
163,DECODE,237,0,237,210.95,6.47,1
164,EXTEND,2,198,0,223.50,21.41,1
165,DECODE,235,0,235,211.58,6.41,1
