pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,1,135,0,135.00,1264.51
2,EXTEND,53,8192,0,154.57,112.82
3,EXTEND,49,3963,0,170.18,39.43
4,DECODE,102,0,102,163.02,25.73
5,DECODE,102,0,102,164.02,4.92
6,DECODE,102,0,102,165.02,4.64
7,DECODE,102,0,102,166.02,4.48
8,DECODE,102,0,102,167.02,4.57
9,DECODE,102,0,102,168.02,4.66
10,DECODE,102,0,102,169.02,4.59
11,DECODE,102,0,102,170.02,4.66
12,DECODE,102,0,102,171.02,4.69
13,DECODE,102,0,102,172.02,4.62
14,DECODE,102,0,102,173.02,4.61
15,DECODE,102,0,102,174.02,4.62
16,DECODE,102,0,102,175.02,4.61
17,DECODE,102,0,102,176.02,4.61
18,DECODE,102,0,102,177.02,4.67
19,DECODE,102,0,102,178.02,4.67
20,DECODE,102,0,102,179.02,4.73
21,DECODE,102,0,102,180.02,4.90
22,DECODE,102,0,102,181.02,4.74
23,DECODE,102,0,102,182.02,4.85
24,DECODE,102,0,102,183.02,4.86
25,DECODE,102,0,102,184.02,4.75
26,DECODE,102,0,102,185.02,4.76
27,DECODE,98,0,98,185.80,4.89
28,EXTEND,21,1569,0,168.29,25.49
29,DECODE,117,0,117,183.97,5.74
30,EXTEND,9,577,0,161.44,27.70
31,DECODE,125,0,125,183.37,5.65
32,EXTEND,3,3,0,172.00,14.71
33,DECODE,127,0,127,184.21,4.60
34,EXTEND,2,2,0,162.00,234.96
35,DECODE,123,0,123,185.65,5.53
36,EXTEND,5,149,0,159.40,20.31
37,DECODE,126,0,126,185.64,4.68
38,EXTEND,3,108,0,170.00,25.04
39,DECODE,127,0,127,186.22,5.03
40,EXTEND,2,2,0,192.00,13.82
41,DECODE,126,0,126,187.56,4.62
42,EXTEND,3,267,0,210.00,18.75
43,DECODE,129,0,129,189.09,5.74
44,DECODE,129,0,129,190.09,4.78
45,DECODE,127,0,127,191.07,4.68
46,EXTEND,3,93,0,205.00,22.80
47,DECODE,127,0,127,192.00,6.06
48,EXTEND,3,102,0,180.00,23.01
49,DECODE,127,0,127,192.61,6.42
50,EXTEND,3,63,0,170.00,23.47
51,DECODE,130,0,130,193.09,5.92
52,DECODE,130,0,130,194.09,4.92
53,DECODE,127,0,127,195.20,4.79
54,EXTEND,3,3,0,173.00,14.08
55,DECODE,126,0,126,195.70,5.36
56,EXTEND,4,140,0,151.00,19.92
57,DECODE,130,0,130,195.32,4.80
58,DECODE,130,0,130,196.32,5.19
59,DECODE,126,0,126,197.05,4.63
60,EXTEND,4,172,0,163.00,19.38
61,DECODE,128,0,128,196.74,4.61
62,EXTEND,3,71,0,165.67,21.42
63,DECODE,130,0,130,197.07,4.77
64,EXTEND,2,2,0,155.00,13.72
65,DECODE,131,0,131,197.30,5.32
66,EXTEND,2,84,0,162.00,21.27
67,DECODE,133,0,133,197.77,5.30
68,DECODE,133,0,133,198.77,4.84
69,DECODE,129,0,129,199.31,4.81
70,EXTEND,3,3,0,169.00,13.78
71,DECODE,131,0,131,199.64,5.17
72,EXTEND,2,198,0,185.00,24.85
73,DECODE,132,0,132,200.59,4.83
74,EXTEND,1,1,0,185.00,72.22
75,DECODE,131,0,131,200.66,5.18
76,EXTEND,2,81,0,176.00,26.42
77,DECODE,131,0,131,201.15,4.81
78,EXTEND,2,2,0,167.00,16.20
79,DECODE,132,0,132,201.47,4.87
80,EXTEND,2,84,0,168.00,13.62
81,DECODE,133,0,133,201.79,4.80
82,EXTEND,1,1,0,169.00,13.14
83,DECODE,133,0,133,202.69,4.82
84,EXTEND,1,1,0,169.00,12.96
85,DECODE,133,0,133,203.29,4.82
86,EXTEND,1,1,0,169.00,14.24
87,DECODE,133,0,133,204.10,4.85
88,EXTEND,2,144,0,159.00,13.62
89,DECODE,133,0,133,204.05,4.86
90,EXTEND,2,2,0,159.00,13.60
91,DECODE,133,0,133,204.23,4.83
92,EXTEND,2,148,0,161.00,19.11
93,DECODE,133,0,133,204.86,4.82
94,EXTEND,2,2,0,161.00,13.57
95,DECODE,134,0,134,205.18,4.86
96,EXTEND,1,56,0,142.00,13.78
97,DECODE,132,0,132,205.72,4.77
98,EXTEND,3,3,0,142.00,13.69
99,DECODE,135,0,135,205.30,4.83
100,DECODE,135,0,135,206.30,4.85
101,DECODE,135,0,135,207.30,4.88
102,DECODE,133,0,133,208.49,4.86
103,EXTEND,3,189,0,149.00,19.13
104,DECODE,131,0,131,208.44,4.83
105,EXTEND,4,262,0,169.25,19.97
106,DECODE,134,0,134,208.50,4.87
107,EXTEND,2,98,0,179.50,24.02
108,DECODE,131,0,131,207.68,4.88
109,EXTEND,4,83,0,178.75,23.70
110,DECODE,130,0,130,208.28,5.08
111,EXTEND,5,237,0,180.80,23.11
112,DECODE,133,0,133,208.44,4.95
113,EXTEND,3,90,0,193.33,24.39
114,DECODE,135,0,135,209.24,4.87
115,EXTEND,2,2,0,174.00,13.65
116,DECODE,136,0,136,209.90,4.82
117,EXTEND,1,1,0,174.00,13.63
118,DECODE,136,0,136,210.85,4.84
119,EXTEND,2,98,0,135.00,13.65
120,DECODE,135,0,135,210.90,4.83
121,EXTEND,2,2,0,135.00,13.82
122,DECODE,133,0,133,210.83,4.86
123,EXTEND,4,428,0,193.00,20.54
