pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,2,188,0,94.00,1037.46
2,EXTEND,92,8192,0,89.04,25.30
3,EXTEND,66,4980,0,80.45,20.27
4,DECODE,159,0,159,86.81,17.49
5,DECODE,159,0,159,87.81,3.03
6,DECODE,159,0,159,88.81,2.97
7,DECODE,159,0,159,89.81,2.89
8,DECODE,159,0,159,90.81,2.86
9,DECODE,159,0,159,91.81,2.81
10,DECODE,159,0,159,92.81,2.77
11,DECODE,159,0,159,93.81,2.78
12,DECODE,159,0,159,94.81,2.88
13,DECODE,159,0,159,95.81,2.78
14,DECODE,159,0,159,96.81,2.78
15,DECODE,159,0,159,97.81,2.76
16,DECODE,159,0,159,98.81,2.76
17,DECODE,159,0,159,99.81,2.86
18,DECODE,159,0,159,100.81,2.82
19,DECODE,159,0,159,101.81,2.75
20,DECODE,159,0,159,102.81,2.75
21,DECODE,159,0,159,103.81,2.81
22,DECODE,159,0,159,104.81,2.79
23,DECODE,159,0,159,105.81,2.77
24,DECODE,159,0,159,106.81,2.77
25,DECODE,159,0,159,107.81,2.77
26,DECODE,159,0,159,108.81,2.77
27,DECODE,159,0,159,109.81,2.83
28,DECODE,159,0,159,110.81,2.79
29,DECODE,159,0,159,111.81,2.79
30,DECODE,159,0,159,112.81,2.92
31,DECODE,159,0,159,113.81,2.94
32,DECODE,159,0,159,114.81,2.90
33,DECODE,159,0,159,115.81,2.79
34,DECODE,159,0,159,116.81,2.92
35,DECODE,159,0,159,117.81,2.94
36,DECODE,159,0,159,118.81,2.92
37,DECODE,159,0,159,119.81,2.91
38,DECODE,159,0,159,120.81,2.92
39,DECODE,159,0,159,121.81,2.89
40,DECODE,159,0,159,122.81,2.93
41,DECODE,159,0,159,123.81,2.93
42,DECODE,159,0,159,124.81,2.93
43,DECODE,159,0,159,125.81,2.89
44,DECODE,159,0,159,126.81,2.93
45,DECODE,159,0,159,127.81,2.95
46,DECODE,159,0,159,128.81,2.92
47,DECODE,159,0,159,129.81,2.95
48,DECODE,159,0,159,130.81,2.93
49,DECODE,159,0,159,131.81,2.92
50,DECODE,159,0,159,132.81,2.97
51,DECODE,159,0,159,133.81,2.94
52,DECODE,159,0,159,134.81,2.93
53,DECODE,159,0,159,135.81,2.94
54,DECODE,159,0,159,136.81,2.87
55,DECODE,159,0,159,137.81,2.86
56,DECODE,159,0,159,138.81,3.03
57,DECODE,159,0,159,139.81,2.96
58,DECODE,159,0,159,140.81,3.04
59,DECODE,159,0,159,141.81,2.92
60,DECODE,159,0,159,142.81,2.90
61,DECODE,159,0,159,143.81,2.89
62,DECODE,159,0,159,144.81,2.95
63,DECODE,159,0,159,145.81,2.92
64,DECODE,159,0,159,146.81,2.92
65,DECODE,159,0,159,147.81,2.94
66,DECODE,159,0,159,148.81,2.98
67,DECODE,159,0,159,149.81,2.94
68,DECODE,159,0,159,150.81,2.97
69,DECODE,159,0,159,151.81,2.93
70,DECODE,159,0,159,152.81,2.87
71,DECODE,159,0,159,153.81,2.89
72,DECODE,159,0,159,154.81,2.94
73,DECODE,159,0,159,155.81,2.92
74,DECODE,159,0,159,156.81,2.94
75,DECODE,159,0,159,157.81,2.96
76,DECODE,159,0,159,158.81,2.92
77,DECODE,159,0,159,159.81,2.88
78,DECODE,159,0,159,160.81,3.00
79,DECODE,159,0,159,161.81,2.90
80,DECODE,159,0,159,162.81,2.93
81,DECODE,159,0,159,163.81,2.92
82,DECODE,159,0,159,164.81,2.96
83,DECODE,159,0,159,165.81,2.90
84,DECODE,159,0,159,166.81,2.93
85,DECODE,159,0,159,167.81,2.95
86,DECODE,159,0,159,168.81,2.93
87,DECODE,159,0,159,169.81,2.94
88,DECODE,159,0,159,170.81,2.91
89,DECODE,159,0,159,171.81,2.96
90,DECODE,159,0,159,172.81,2.93
91,DECODE,159,0,159,173.81,2.96
92,DECODE,159,0,159,174.81,2.96
93,DECODE,159,0,159,175.81,2.97
94,DECODE,159,0,159,176.81,2.94
95,DECODE,159,0,159,177.81,2.96
