pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,4,350,0,87.50,1285.18,1
2,EXTEND,42,4026,0,95.86,155.27,1
3,DECODE,46,0,46,96.13,30.97,1
4,DECODE,46,0,46,97.13,10.53,1
5,DECODE,46,0,46,98.13,10.43,1
6,DECODE,46,0,46,99.13,10.44,1
7,DECODE,46,0,46,100.13,10.61,1
8,DECODE,46,0,46,101.13,10.97,1
9,DECODE,46,0,46,102.13,10.91,1
10,DECODE,46,0,46,103.13,10.74,1
11,DECODE,46,0,46,104.13,10.95,1
12,DECODE,46,0,46,105.13,10.93,1
13,DECODE,46,0,46,106.13,11.19,1
14,DECODE,46,0,46,107.13,11.11,1
15,DECODE,46,0,46,108.13,11.35,1
16,DECODE,46,0,46,109.13,11.16,1
17,DECODE,46,0,46,110.13,11.52,1
18,DECODE,46,0,46,111.13,11.57,1
19,DECODE,46,0,46,112.13,11.46,1
20,DECODE,46,0,46,113.13,11.69,1
21,DECODE,46,0,46,114.13,11.97,1
22,DECODE,46,0,46,115.13,11.57,1
23,DECODE,46,0,46,116.13,11.55,1
24,DECODE,46,0,46,117.13,11.54,1
25,DECODE,46,0,46,118.13,11.52,1
26,DECODE,46,0,46,119.13,11.50,1
27,DECODE,46,0,46,120.13,11.59,1
28,DECODE,46,0,46,121.13,11.50,1
29,DECODE,46,0,46,122.13,11.46,1
30,DECODE,46,0,46,123.13,11.44,1
31,DECODE,46,0,46,124.13,11.39,1
32,DECODE,46,0,46,125.13,11.38,1
33,DECODE,46,0,46,126.13,11.36,1
34,DECODE,46,0,46,127.13,11.40,1
35,DECODE,46,0,46,128.13,11.32,1
36,DECODE,46,0,46,129.13,11.50,1
37,DECODE,46,0,46,130.13,11.45,1
38,DECODE,46,0,46,131.13,11.37,1
39,DECODE,46,0,46,132.13,10.47,1
40,DECODE,46,0,46,133.13,11.41,1
41,DECODE,46,0,46,134.13,11.36,1
42,DECODE,46,0,46,135.13,11.33,1
43,DECODE,46,0,46,136.13,11.29,1
44,DECODE,46,0,46,137.13,11.34,1
45,DECODE,46,0,46,138.13,12.16,1
46,DECODE,46,0,46,139.13,11.84,1
47,DECODE,46,0,46,140.13,11.19,1
48,DECODE,46,0,46,141.13,11.32,1
49,DECODE,46,0,46,142.13,11.44,1
50,DECODE,46,0,46,143.13,11.42,1
51,DECODE,46,0,46,144.13,11.43,1
52,DECODE,46,0,46,145.13,11.45,1
53,DECODE,46,0,46,146.13,11.54,1
54,DECODE,46,0,46,147.13,11.55,1
55,DECODE,46,0,46,148.13,11.41,1
56,DECODE,46,0,46,149.13,11.52,1
57,DECODE,46,0,46,150.13,11.45,1
58,DECODE,46,0,46,151.13,11.50,1
59,DECODE,46,0,46,152.13,11.44,1
60,DECODE,46,0,46,153.13,11.55,1
61,DECODE,46,0,46,154.13,11.50,1
62,DECODE,46,0,46,155.13,12.07,1
63,DECODE,46,0,46,156.13,13.29,1
64,DECODE,46,0,46,157.13,11.57,1
65,DECODE,46,0,46,158.13,11.53,1
66,DECODE,46,0,46,159.13,11.56,1
67,DECODE,46,0,46,160.13,11.45,1
68,DECODE,46,0,46,161.13,11.49,1
69,DECODE,46,0,46,162.13,11.44,1
70,DECODE,46,0,46,163.13,11.57,1
71,DECODE,46,0,46,164.13,11.39,1
72,DECODE,46,0,46,165.13,11.50,1
73,DECODE,46,0,46,166.13,11.52,1
74,DECODE,46,0,46,167.13,11.51,1
75,DECODE,46,0,46,168.13,11.46,1
76,DECODE,46,0,46,169.13,11.46,1
77,DECODE,46,0,46,170.13,11.43,1
78,DECODE,46,0,46,171.13,11.58,1
79,DECODE,46,0,46,172.13,11.58,1
80,DECODE,46,0,46,173.13,11.58,1
81,DECODE,46,0,46,174.13,11.46,1
82,DECODE,46,0,46,175.13,11.45,1
83,DECODE,46,0,46,176.13,11.51,1
84,DECODE,46,0,46,177.13,11.63,1
85,DECODE,46,0,46,178.13,11.50,1
86,DECODE,46,0,46,179.13,11.54,1
87,DECODE,46,0,46,180.13,11.52,1
88,DECODE,46,0,46,181.13,11.53,1
89,DECODE,46,0,46,182.13,11.55,1
