pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,6,476,0,79.33,1698.81,1
2,EXTEND,85,6807,0,80.08,84.60,1
3,DECODE,91,0,91,81.03,17.20,1
4,DECODE,91,0,91,82.03,3.88,1
5,DECODE,91,0,91,83.03,3.84,1
6,DECODE,91,0,91,84.03,3.77,1
7,DECODE,91,0,91,85.03,3.77,1
8,DECODE,91,0,91,86.03,3.79,1
9,DECODE,91,0,91,87.03,3.74,1
10,DECODE,91,0,91,88.03,3.77,1
11,DECODE,91,0,91,89.03,3.81,1
12,DECODE,91,0,91,90.03,4.17,1
13,DECODE,91,0,91,91.03,3.78,1
14,DECODE,91,0,91,92.03,3.83,1
15,DECODE,91,0,91,93.03,4.14,1
16,DECODE,91,0,91,94.03,3.74,1
17,DECODE,91,0,91,95.03,3.83,1
18,DECODE,91,0,91,96.03,3.82,1
19,DECODE,91,0,91,97.03,3.83,1
20,DECODE,91,0,91,98.03,3.83,1
21,DECODE,91,0,91,99.03,3.77,1
22,DECODE,91,0,91,100.03,3.79,1
23,DECODE,91,0,91,101.03,3.82,1
24,DECODE,91,0,91,102.03,3.75,1
25,DECODE,91,0,91,103.03,3.77,1
26,DECODE,91,0,91,104.03,3.75,1
27,DECODE,91,0,91,105.03,3.84,1
28,DECODE,91,0,91,106.03,3.77,1
29,DECODE,91,0,91,107.03,3.78,1
30,DECODE,91,0,91,108.03,3.76,1
31,DECODE,91,0,91,109.03,3.77,1
32,DECODE,91,0,91,110.03,3.76,1
33,DECODE,91,0,91,111.03,3.78,1
34,DECODE,91,0,91,112.03,3.76,1
35,DECODE,91,0,91,113.03,3.78,1
36,DECODE,91,0,91,114.03,3.76,1
37,DECODE,91,0,91,115.03,3.76,1
38,DECODE,91,0,91,116.03,3.74,1
39,DECODE,91,0,91,117.03,3.79,1
40,DECODE,91,0,91,118.03,3.77,1
41,DECODE,91,0,91,119.03,3.81,1
42,DECODE,91,0,91,120.03,3.84,1
43,DECODE,91,0,91,121.03,3.83,1
44,DECODE,91,0,91,122.03,3.77,1
45,DECODE,91,0,91,123.03,4.60,1
46,DECODE,91,0,91,124.03,4.56,1
47,DECODE,91,0,91,125.03,4.63,1
48,DECODE,91,0,91,126.03,4.59,1
49,DECODE,91,0,91,127.03,4.65,1
50,DECODE,91,0,91,128.03,4.61,1
51,DECODE,91,0,91,129.03,4.64,1
52,DECODE,91,0,91,130.03,4.68,1
53,DECODE,91,0,91,131.03,4.73,1
54,DECODE,91,0,91,132.03,4.47,1
55,DECODE,91,0,91,133.03,4.00,1
56,DECODE,91,0,91,134.03,3.88,1
57,DECODE,91,0,91,135.03,3.89,1
58,DECODE,91,0,91,136.03,3.91,1
59,DECODE,91,0,91,137.03,3.94,1
60,DECODE,91,0,91,138.03,3.90,1
61,DECODE,91,0,91,139.03,3.91,1
62,DECODE,91,0,91,140.03,3.91,1
63,DECODE,91,0,91,141.03,3.91,1
64,DECODE,91,0,91,142.03,4.13,1
65,DECODE,91,0,91,143.03,3.84,1
66,DECODE,91,0,91,144.03,3.83,1
