pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,1,52,0,52.00,1663.53
2,EXTEND,86,6990,0,81.28,63.43
3,DECODE,87,0,87,81.94,30.61
4,DECODE,87,0,87,82.94,4.29
5,DECODE,87,0,87,83.94,4.20
6,DECODE,87,0,87,84.94,4.10
7,DECODE,87,0,87,85.94,3.94
8,DECODE,87,0,87,86.94,3.81
9,DECODE,87,0,87,87.94,3.83
10,DECODE,87,0,87,88.94,3.86
11,DECODE,87,0,87,89.94,4.81
12,DECODE,87,0,87,90.94,4.05
13,DECODE,87,0,87,91.94,3.86
14,DECODE,87,0,87,92.94,3.82
15,DECODE,87,0,87,93.94,3.82
16,DECODE,87,0,87,94.94,3.81
17,DECODE,87,0,87,95.94,3.81
18,DECODE,87,0,87,96.94,3.80
19,DECODE,87,0,87,97.94,3.91
20,DECODE,87,0,87,98.94,3.83
21,DECODE,87,0,87,99.94,5.18
22,DECODE,87,0,87,100.94,3.80
23,DECODE,87,0,87,101.94,3.86
24,DECODE,87,0,87,102.94,3.82
25,DECODE,87,0,87,103.94,3.86
26,DECODE,87,0,87,104.94,3.89
27,DECODE,87,0,87,105.94,3.86
28,DECODE,87,0,87,106.94,3.82
29,DECODE,87,0,87,107.94,4.24
30,DECODE,87,0,87,108.94,4.24
31,DECODE,87,0,87,109.94,4.19
32,DECODE,87,0,87,110.94,4.21
33,DECODE,87,0,87,111.94,4.18
34,DECODE,87,0,87,112.94,4.64
35,DECODE,87,0,87,113.94,4.28
36,DECODE,87,0,87,114.94,4.52
37,DECODE,87,0,87,115.94,4.51
38,DECODE,87,0,87,116.94,4.49
39,DECODE,87,0,87,117.94,4.50
40,DECODE,87,0,87,118.94,4.57
41,DECODE,87,0,87,119.94,4.52
42,DECODE,87,0,87,120.94,4.44
43,DECODE,87,0,87,121.94,4.61
44,DECODE,87,0,87,122.94,4.51
45,DECODE,87,0,87,123.94,4.55
46,DECODE,87,0,87,124.94,4.47
47,DECODE,87,0,87,125.94,4.46
48,DECODE,87,0,87,126.94,4.62
49,DECODE,87,0,87,127.94,4.59
50,DECODE,87,0,87,128.94,4.51
51,DECODE,87,0,87,129.94,4.51
52,DECODE,87,0,87,130.94,4.53
53,DECODE,87,0,87,131.94,4.45
54,DECODE,87,0,87,132.94,4.47
55,DECODE,87,0,87,133.94,4.48
56,DECODE,87,0,87,134.94,4.49
57,DECODE,87,0,87,135.94,4.59
58,DECODE,87,0,87,136.94,4.66
59,DECODE,87,0,87,137.94,4.73
60,DECODE,87,0,87,138.94,4.73
61,DECODE,87,0,87,139.94,4.71
62,DECODE,87,0,87,140.94,4.63
63,DECODE,87,0,87,141.94,4.56
64,DECODE,87,0,87,142.94,4.59
65,DECODE,87,0,87,143.94,4.61
66,DECODE,87,0,87,144.94,4.66
67,DECODE,87,0,87,145.94,4.64
68,DECODE,87,0,87,146.94,5.08
69,DECODE,87,0,87,147.94,5.30
70,DECODE,87,0,87,148.94,5.92
71,DECODE,87,0,87,149.94,5.96
72,DECODE,87,0,87,150.94,5.97
73,DECODE,87,0,87,151.94,4.63
74,DECODE,87,0,87,152.94,4.68
75,DECODE,87,0,87,153.94,4.70
76,DECODE,87,0,87,154.94,4.66
77,DECODE,87,0,87,155.94,4.72
78,DECODE,87,0,87,156.94,4.77
79,DECODE,87,0,87,157.94,4.67
80,DECODE,87,0,87,158.94,4.83
81,DECODE,87,0,87,159.94,4.72
82,DECODE,87,0,87,160.94,4.73
83,DECODE,87,0,87,161.94,4.73
