pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,16,2500,0,156.25,978.66
2,EXTEND,49,8192,0,167.18,74.81
3,EXTEND,41,3207,0,167.15,37.93
4,DECODE,105,0,105,166.99,23.98
5,DECODE,105,0,105,167.99,5.14
6,DECODE,105,0,105,168.99,5.48
7,DECODE,105,0,105,169.99,4.56
8,DECODE,105,0,105,170.99,4.69
9,DECODE,105,0,105,171.99,4.60
10,DECODE,105,0,105,172.99,4.69
11,DECODE,105,0,105,173.99,4.63
12,DECODE,105,0,105,174.99,4.64
13,DECODE,105,0,105,175.99,4.64
14,DECODE,105,0,105,176.99,4.59
15,DECODE,105,0,105,177.99,4.60
16,DECODE,105,0,105,178.99,4.60
17,DECODE,105,0,105,179.99,4.61
18,DECODE,105,0,105,180.99,4.55
19,DECODE,105,0,105,181.99,4.60
20,DECODE,105,0,105,182.99,4.59
21,DECODE,100,0,100,184.54,7.81
22,EXTEND,19,1803,0,222.05,20.69
23,DECODE,113,0,113,192.60,7.94
24,EXTEND,11,767,0,157.09,21.25
25,DECODE,119,0,119,192.01,4.86
26,EXTEND,7,301,0,142.57,18.16
27,DECODE,126,0,126,190.26,5.80
28,DECODE,126,0,126,191.26,4.93
29,DECODE,123,0,123,192.98,4.86
30,EXTEND,4,108,0,147.50,24.08
31,DECODE,123,0,123,193.45,5.04
32,EXTEND,4,158,0,152.00,21.20
33,DECODE,122,0,122,194.48,5.06
34,EXTEND,5,128,0,144.20,15.85
35,DECODE,127,0,127,193.50,5.79
36,DECODE,127,0,127,194.50,5.19
37,DECODE,125,0,125,195.52,5.23
38,EXTEND,3,235,0,179.67,34.10
39,DECODE,122,0,122,196.55,5.67
40,EXTEND,6,174,0,156.00,22.27
41,DECODE,126,0,126,195.60,4.88
42,EXTEND,3,531,0,263.00,22.45
43,DECODE,127,0,127,198.46,4.94
44,EXTEND,2,51,0,200.00,19.32
45,DECODE,126,0,126,199.56,4.99
46,EXTEND,3,3,0,137.00,14.96
47,DECODE,126,0,126,199.21,4.97
48,EXTEND,3,204,0,155.00,22.09
49,DECODE,128,0,128,199.48,4.81
50,EXTEND,2,64,0,152.50,15.41
51,DECODE,129,0,129,200.09,7.57
52,EXTEND,1,1,0,150.00,69.30
53,DECODE,128,0,128,200.60,5.38
54,EXTEND,2,199,0,217.00,22.79
55,DECODE,126,0,126,202.27,5.14
56,EXTEND,4,74,0,219.00,25.04
57,DECODE,127,0,127,204.69,5.12
58,EXTEND,3,3,0,200.00,13.86
59,DECODE,130,0,130,205.58,5.19
60,DECODE,130,0,130,206.58,5.08
61,DECODE,129,0,129,208.00,5.61
62,EXTEND,2,302,0,272.50,20.08
63,DECODE,127,0,127,211.06,5.16
64,EXTEND,3,3,0,387.00,15.51
65,DECODE,130,0,130,216.12,5.37
66,DECODE,130,0,130,217.12,5.36
67,DECODE,127,0,127,218.46,5.07
68,EXTEND,4,668,0,254.00,18.15
69,DECODE,129,0,129,221.12,6.36
70,EXTEND,3,306,0,190.00,20.97
71,DECODE,130,0,130,222.10,6.04
72,EXTEND,2,114,0,194.50,27.02
73,DECODE,129,0,129,223.95,6.81
74,EXTEND,3,3,0,199.00,16.77
