pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,7,921,0,131.57,1537.77,1
2,EXTEND,87,8192,0,94.16,287.60,1
3,EXTEND,98,8192,0,87.32,256.34,1
4,EXTEND,66,5044,0,81.82,165.11,1
5,DECODE,256,0,256,90.97,31.14,1
6,DECODE,256,0,256,91.97,16.50,1
7,DECODE,256,0,256,92.97,16.32,1
8,DECODE,256,0,256,93.97,16.23,1
9,DECODE,256,0,256,94.97,16.25,1
10,DECODE,256,0,256,95.97,16.17,1
11,DECODE,256,0,256,96.97,15.95,1
12,DECODE,256,0,256,97.97,16.57,1
13,DECODE,256,0,256,98.97,16.59,1
14,DECODE,256,0,256,99.97,16.83,1
15,DECODE,256,0,256,100.97,16.68,1
16,DECODE,256,0,256,101.97,16.77,1
17,DECODE,256,0,256,102.97,16.62,1
18,DECODE,256,0,256,103.97,16.51,1
19,DECODE,256,0,256,104.97,16.59,1
20,DECODE,256,0,256,105.97,16.74,1
21,DECODE,256,0,256,106.97,16.71,1
22,DECODE,256,0,256,107.97,16.75,1
23,DECODE,256,0,256,108.97,16.65,1
24,DECODE,256,0,256,109.97,15.71,1
25,DECODE,256,0,256,110.97,16.69,1
26,DECODE,256,0,256,111.97,16.78,1
27,DECODE,256,0,256,112.97,16.73,1
28,DECODE,256,0,256,113.97,16.80,1
29,DECODE,256,0,256,114.97,16.79,1
30,DECODE,256,0,256,115.97,16.90,1
31,DECODE,256,0,256,116.97,16.72,1
32,DECODE,256,0,256,117.97,16.83,1
33,DECODE,256,0,256,118.97,16.79,1
34,DECODE,256,0,256,119.97,16.81,1
35,DECODE,256,0,256,120.97,16.80,1
36,DECODE,256,0,256,121.97,16.82,1
37,DECODE,256,0,256,122.97,16.84,1
38,DECODE,256,0,256,123.97,16.95,1
39,DECODE,256,0,256,124.97,16.78,1
40,DECODE,256,0,256,125.97,16.10,1
41,DECODE,256,0,256,126.97,16.06,1
42,DECODE,256,0,256,127.97,16.75,1
43,DECODE,256,0,256,128.97,16.71,1
44,DECODE,256,0,256,129.97,16.47,1
45,DECODE,256,0,256,130.97,16.48,1
46,DECODE,256,0,256,131.97,16.07,1
47,DECODE,256,0,256,132.97,16.67,1
48,DECODE,256,0,256,133.97,16.66,1
49,DECODE,256,0,256,134.97,16.13,1
50,DECODE,256,0,256,135.97,16.56,1
51,DECODE,256,0,256,136.97,16.09,1
52,DECODE,256,0,256,137.97,16.09,1
53,DECODE,256,0,256,138.97,16.89,1
54,DECODE,256,0,256,139.97,16.23,1
55,DECODE,256,0,256,140.97,21.58,1
56,DECODE,256,0,256,141.97,16.23,1
57,DECODE,256,0,256,142.97,16.22,1
58,DECODE,256,0,256,143.97,16.22,1
59,DECODE,256,0,256,144.97,16.09,1
60,DECODE,256,0,256,145.97,16.22,1
61,DECODE,256,0,256,146.97,16.20,1
62,DECODE,256,0,256,147.97,16.22,1
63,DECODE,256,0,256,148.97,16.27,1
64,DECODE,256,0,256,149.97,16.27,1
65,DECODE,256,0,256,150.97,17.67,1
66,DECODE,256,0,256,151.97,16.79,1
67,DECODE,256,0,256,152.97,16.79,1
68,DECODE,256,0,256,153.97,17.06,1
69,DECODE,256,0,256,154.97,16.83,1
70,DECODE,256,0,256,155.97,16.97,1
71,DECODE,256,0,256,156.97,17.12,1
72,DECODE,256,0,256,157.97,16.88,1
73,DECODE,256,0,256,158.97,16.60,1
74,DECODE,256,0,256,159.97,17.00,1
75,DECODE,256,0,256,160.97,17.09,1
76,DECODE,256,0,256,161.97,16.95,1
77,DECODE,256,0,256,162.97,16.95,1
78,DECODE,256,0,256,163.97,17.02,1
79,DECODE,256,0,256,164.97,16.95,1
80,DECODE,256,0,256,165.97,16.77,1
81,DECODE,256,0,256,166.97,17.12,1
82,DECODE,256,0,256,167.97,16.96,1
