pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,3,223,0,74.33,1736.50,1
2,EXTEND,93,8192,0,88.09,96.00,1
3,EXTEND,1,33,0,116.00,21.07,1
4,DECODE,96,0,96,89.00,36.55,1
5,DECODE,96,0,96,90.00,4.23,1
6,DECODE,96,0,96,91.00,3.93,1
7,DECODE,96,0,96,92.00,3.83,1
8,DECODE,96,0,96,93.00,3.96,1
9,DECODE,96,0,96,94.00,3.84,1
10,DECODE,96,0,96,95.00,3.96,1
11,DECODE,96,0,96,96.00,4.25,1
12,DECODE,96,0,96,97.00,3.98,1
13,DECODE,96,0,96,98.00,4.09,1
14,DECODE,96,0,96,99.00,3.86,1
15,DECODE,96,0,96,100.00,3.95,1
16,DECODE,96,0,96,101.00,3.92,1
17,DECODE,96,0,96,102.00,3.94,1
18,DECODE,96,0,96,103.00,4.75,1
19,DECODE,96,0,96,104.00,3.98,1
20,DECODE,96,0,96,105.00,3.89,1
21,DECODE,96,0,96,106.00,3.93,1
22,DECODE,96,0,96,107.00,3.88,1
23,DECODE,96,0,96,108.00,3.94,1
24,DECODE,96,0,96,109.00,3.95,1
25,DECODE,96,0,96,110.00,3.95,1
26,DECODE,96,0,96,111.00,3.94,1
27,DECODE,96,0,96,112.00,3.93,1
28,DECODE,96,0,96,113.00,3.85,1
29,DECODE,96,0,96,114.00,3.88,1
30,DECODE,96,0,96,115.00,5.73,1
31,DECODE,96,0,96,116.00,3.86,1
32,DECODE,96,0,96,117.00,4.07,1
33,DECODE,96,0,96,118.00,4.02,1
34,DECODE,96,0,96,119.00,4.00,1
35,DECODE,96,0,96,120.00,4.02,1
36,DECODE,96,0,96,121.00,3.93,1
37,DECODE,96,0,96,122.00,4.07,1
38,EXTEND,1,110,0,114.00,34.11,1
39,EXTEND,63,4770,0,80.73,33.71,1
40,DECODE,160,0,160,106.70,5.90,1
41,DECODE,160,0,160,107.70,4.64,1
42,DECODE,160,0,160,108.70,4.58,1
43,DECODE,160,0,160,109.70,4.54,1
44,DECODE,160,0,160,110.70,4.58,1
45,DECODE,160,0,160,111.70,4.56,1
46,DECODE,160,0,160,112.70,4.58,1
47,DECODE,160,0,160,113.70,4.52,1
48,DECODE,160,0,160,114.70,4.68,1
49,DECODE,160,0,160,115.70,4.57,1
50,DECODE,160,0,160,116.70,4.61,1
51,DECODE,160,0,160,117.70,5.15,1
52,DECODE,160,0,160,118.70,5.15,1
53,DECODE,160,0,160,119.70,5.17,1
54,DECODE,160,0,160,120.70,5.18,1
55,DECODE,160,0,160,121.70,5.17,1
56,DECODE,160,0,160,122.70,5.29,1
57,DECODE,160,0,160,123.70,5.18,1
58,DECODE,160,0,160,124.70,5.47,1
59,DECODE,160,0,160,125.70,5.45,1
60,DECODE,160,0,160,126.70,5.31,1
61,DECODE,160,0,160,127.70,5.92,1
62,DECODE,160,0,160,128.70,5.41,1
63,DECODE,160,0,160,129.70,5.56,1
64,DECODE,160,0,160,130.70,5.52,1
65,DECODE,160,0,160,131.70,5.52,1
66,DECODE,160,0,160,132.70,5.49,1
67,DECODE,160,0,160,133.70,5.37,1
68,DECODE,160,0,160,134.70,5.52,1
69,DECODE,160,0,160,135.70,5.96,1
70,DECODE,160,0,160,136.70,5.59,1
71,DECODE,160,0,160,137.70,5.57,1
72,DECODE,160,0,160,138.70,5.43,1
73,DECODE,160,0,160,139.70,5.53,1
74,DECODE,160,0,160,140.70,5.60,1
75,DECODE,160,0,160,141.70,5.54,1
76,DECODE,160,0,160,142.70,5.59,1
77,DECODE,160,0,160,143.70,5.47,1
78,DECODE,160,0,160,144.70,5.56,1
79,DECODE,160,0,160,145.70,5.55,1
80,DECODE,160,0,160,146.70,5.49,1
81,DECODE,160,0,160,147.70,5.48,1
82,DECODE,160,0,160,148.70,5.45,1
83,DECODE,160,0,160,149.70,5.52,1
84,DECODE,160,0,160,150.70,5.63,1
85,DECODE,160,0,160,151.70,5.43,1
86,DECODE,160,0,160,152.70,5.58,1
87,DECODE,160,0,160,153.70,5.33,1
88,DECODE,160,0,160,154.70,5.58,1
89,DECODE,160,0,160,155.70,5.42,1
90,DECODE,160,0,160,156.70,5.62,1
91,DECODE,160,0,160,157.70,5.60,1
92,DECODE,160,0,160,158.70,5.59,1
93,DECODE,160,0,160,159.70,5.53,1
94,DECODE,160,0,160,160.70,5.48,1
95,DECODE,160,0,160,161.70,5.44,1
96,DECODE,160,0,160,162.70,5.47,1
97,DECODE,160,0,160,163.70,5.71,1
98,DECODE,160,0,160,164.70,5.69,1
99,DECODE,160,0,160,165.70,5.33,1
100,DECODE,160,0,160,166.70,5.49,1
101,DECODE,160,0,160,167.70,5.58,1
102,DECODE,160,0,160,168.70,5.57,1
103,DECODE,160,0,160,169.70,5.47,1
104,DECODE,160,0,160,170.70,5.54,1
105,DECODE,160,0,160,171.70,4.79,1
106,DECODE,160,0,160,172.70,4.68,1
107,DECODE,160,0,160,173.70,6.74,1
108,DECODE,160,0,160,174.70,5.72,1
109,DECODE,160,0,160,175.70,5.62,1
110,DECODE,160,0,160,176.70,5.87,1
111,DECODE,160,0,160,177.70,5.78,1
112,EXTEND,5,344,0,73.00,41.55,1
113,EXTEND,27,2724,0,105.00,26.86,1
114,DECODE,192,0,192,165.75,5.98,1
115,DECODE,192,0,192,166.75,5.04,1
116,DECODE,192,0,192,167.75,4.90,1
117,DECODE,192,0,192,168.75,4.82,1
118,DECODE,192,0,192,169.75,4.87,1
119,DECODE,192,0,192,170.75,4.74,1
