pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,5,1675,0,335.00,6409.71,1
2,EXTEND,25,8192,0,327.68,255.55,1
3,EXTEND,67,4519,0,327.60,55.60,1
4,DECODE,96,0,96,330.00,29.95,1
5,DECODE,96,0,96,331.00,16.30,1
6,DECODE,96,0,96,332.00,6.75,1
7,DECODE,96,0,96,333.00,8.87,1
8,DECODE,96,0,96,334.00,11.88,1
9,DECODE,96,0,96,335.00,8.45,1
10,DECODE,96,0,96,336.00,13.38,1
11,DECODE,96,0,96,337.00,7.56,1
12,DECODE,96,0,96,338.00,6.26,1
13,DECODE,96,0,96,339.00,8.51,1
14,DECODE,96,0,96,340.00,6.23,1
15,DECODE,96,0,96,341.00,4.60,1
16,DECODE,96,0,96,342.00,5.60,1
17,DECODE,96,0,96,343.00,4.06,1
18,DECODE,96,0,96,344.00,13.29,1
19,DECODE,96,0,96,345.00,5.60,1
20,DECODE,96,0,96,346.00,4.24,1
21,DECODE,96,0,96,347.00,12.22,1
22,DECODE,96,0,96,348.00,9.08,1
23,DECODE,96,0,96,349.00,8.41,1
24,DECODE,96,0,96,350.00,3.98,1
25,DECODE,96,0,96,351.00,5.95,1
26,DECODE,96,0,96,352.00,8.08,1
27,DECODE,96,0,96,353.00,6.04,1
28,DECODE,96,0,96,354.00,7.75,1
29,DECODE,96,0,96,355.00,9.08,1
30,DECODE,96,0,96,356.00,9.23,1
31,DECODE,96,0,96,357.00,7.49,1
32,DECODE,96,0,96,358.00,6.24,1
33,DECODE,96,0,96,359.00,5.13,1
34,DECODE,96,0,96,360.00,5.23,1
35,DECODE,96,0,96,361.00,5.45,1
36,DECODE,96,0,96,362.00,4.26,1
37,DECODE,96,0,96,363.00,4.00,1
38,DECODE,96,0,96,364.00,4.93,1
39,DECODE,96,0,96,365.00,4.32,1
40,DECODE,96,0,96,366.00,4.00,1
41,DECODE,96,0,96,367.00,4.02,1
42,DECODE,96,0,96,368.00,12.98,1
43,DECODE,96,0,96,369.00,5.06,1
44,DECODE,96,0,96,370.00,9.50,1
45,DECODE,96,0,96,371.00,8.66,1
46,DECODE,96,0,96,372.00,4.06,1
47,DECODE,96,0,96,373.00,10.11,1
48,DECODE,96,0,96,374.00,8.66,1
49,DECODE,96,0,96,375.00,9.85,1
50,DECODE,96,0,96,376.00,11.94,1
51,DECODE,96,0,96,377.00,5.16,1
52,DECODE,96,0,96,378.00,5.95,1
53,DECODE,96,0,96,379.00,5.91,1
54,DECODE,96,0,96,380.00,8.22,1
55,DECODE,96,0,96,381.00,6.08,1
56,DECODE,96,0,96,382.00,10.25,1
57,DECODE,96,0,96,383.00,4.17,1
58,DECODE,96,0,96,384.00,7.03,1
59,DECODE,96,0,96,385.00,4.13,1
60,DECODE,96,0,96,386.00,4.20,1
61,DECODE,96,0,96,387.00,4.13,1
62,DECODE,96,0,96,388.00,5.99,1
63,DECODE,96,0,96,389.00,7.32,1
64,DECODE,96,0,96,390.00,5.33,1
65,DECODE,96,0,96,391.00,6.77,1
66,DECODE,96,0,96,392.00,4.21,1
67,DECODE,96,0,96,393.00,7.90,1
68,DECODE,96,0,96,394.00,4.90,1
69,DECODE,96,0,96,395.00,6.38,1
70,DECODE,96,0,96,396.00,6.46,1
71,DECODE,96,0,96,397.00,4.80,1
72,DECODE,96,0,96,398.00,5.86,1
73,DECODE,96,0,96,399.00,4.69,1
74,DECODE,96,0,96,400.00,8.60,1
75,DECODE,96,0,96,401.00,4.25,1
76,DECODE,96,0,96,402.00,4.14,1
77,DECODE,96,0,96,403.00,5.85,1
78,DECODE,96,0,96,404.00,9.15,1
79,DECODE,96,0,96,405.00,7.09,1
80,DECODE,96,0,96,406.00,6.57,1
81,DECODE,96,0,96,407.00,7.40,1
82,DECODE,96,0,96,408.00,7.11,1
83,DECODE,96,0,96,409.00,7.28,1
84,DECODE,96,0,96,410.00,4.98,1
85,DECODE,96,0,96,411.00,4.67,1
86,DECODE,96,0,96,412.00,7.21,1
87,DECODE,96,0,96,413.00,4.20,1
88,DECODE,96,0,96,414.00,7.40,1
89,DECODE,96,0,96,415.00,5.00,1
90,DECODE,96,0,96,416.00,4.30,1
91,DECODE,96,0,96,417.00,7.96,1
92,DECODE,96,0,96,418.00,4.47,1
93,DECODE,96,0,96,419.00,9.32,1
94,DECODE,96,0,96,420.00,6.47,1
95,DECODE,96,0,96,421.00,4.17,1
96,DECODE,96,0,96,422.00,7.20,1
97,DECODE,96,0,96,423.00,7.01,1
98,DECODE,96,0,96,424.00,10.18,1
99,DECODE,96,0,96,425.00,7.86,1
100,DECODE,96,0,96,426.00,6.29,1
101,DECODE,96,0,96,427.00,4.97,1
102,DECODE,96,0,96,428.00,7.16,1
103,DECODE,96,0,96,429.00,5.94,1
104,DECODE,96,0,96,430.00,4.17,1
105,DECODE,96,0,96,431.00,9.27,1
106,DECODE,96,0,96,432.00,4.61,1
107,DECODE,96,0,96,433.00,4.28,1
108,DECODE,96,0,96,434.00,8.35,1
109,DECODE,96,0,96,435.00,6.46,1
110,DECODE,96,0,96,436.00,4.19,1
111,DECODE,96,0,96,437.00,14.16,1
112,DECODE,96,0,96,438.00,4.62,1
113,DECODE,96,0,96,439.00,4.16,1
114,DECODE,96,0,96,440.00,5.18,1
115,DECODE,96,0,96,441.00,7.46,1
116,DECODE,96,0,96,442.00,4.15,1
117,DECODE,96,0,96,443.00,5.35,1
118,DECODE,96,0,96,444.00,5.28,1
119,DECODE,96,0,96,445.00,4.43,1
120,DECODE,96,0,96,446.00,4.62,1
121,DECODE,96,0,96,447.00,7.90,1
122,DECODE,96,0,96,448.00,4.12,1
123,DECODE,96,0,96,449.00,8.43,1
124,DECODE,96,0,96,450.00,5.97,1
125,DECODE,96,0,96,451.00,5.20,1
126,DECODE,96,0,96,452.00,5.88,1
127,DECODE,96,0,96,453.00,4.29,1
128,DECODE,96,0,96,454.00,4.15,1
129,DECODE,96,0,96,455.00,13.31,1
130,DECODE,96,0,96,456.00,10.22,1
131,DECODE,96,0,96,457.00,6.02,1
132,DECODE,96,0,96,458.00,4.14,1
133,DECODE,96,0,96,459.00,7.35,1
134,DECODE,96,0,96,460.00,5.73,1
135,DECODE,96,0,96,461.00,4.14,1
136,DECODE,96,0,96,462.00,4.15,1
137,DECODE,96,0,96,463.00,4.14,1
138,DECODE,96,0,96,464.00,4.44,1
139,DECODE,96,0,96,465.00,4.94,1
140,DECODE,96,0,96,466.00,4.16,1
141,DECODE,96,0,96,467.00,6.95,1
142,DECODE,96,0,96,468.00,9.71,1
143,DECODE,96,0,96,469.00,6.09,1
144,DECODE,96,0,96,470.00,4.25,1
145,DECODE,96,0,96,471.00,6.10,1
146,DECODE,96,0,96,472.00,4.39,1
147,DECODE,96,0,96,473.00,12.88,1
148,DECODE,96,0,96,474.00,5.17,1
149,DECODE,96,0,96,475.00,5.82,1
150,DECODE,96,0,96,476.00,8.12,1
151,DECODE,96,0,96,477.00,6.61,1
152,DECODE,96,0,96,478.00,6.07,1
153,DECODE,96,0,96,479.00,4.22,1
154,DECODE,96,0,96,480.00,4.20,1
155,DECODE,96,0,96,481.00,4.20,1
156,DECODE,96,0,96,482.00,9.50,1
157,DECODE,96,0,96,483.00,5.02,1
158,DECODE,96,0,96,484.00,4.42,1
159,DECODE,96,0,96,485.00,4.25,1
160,DECODE,96,0,96,486.00,10.00,1
161,DECODE,96,0,96,487.00,6.30,1
162,DECODE,96,0,96,488.00,6.07,1
163,DECODE,96,0,96,489.00,5.96,1
164,DECODE,96,0,96,490.00,8.08,1
165,DECODE,96,0,96,491.00,6.03,1
166,DECODE,96,0,96,492.00,5.60,1
167,DECODE,96,0,96,493.00,7.38,1
168,DECODE,96,0,96,494.00,4.32,1
169,DECODE,96,0,96,495.00,8.37,1
170,DECODE,96,0,96,496.00,10.32,1
171,DECODE,96,0,96,497.00,4.27,1
172,DECODE,96,0,96,498.00,4.19,1
173,DECODE,96,0,96,499.00,4.33,1
174,DECODE,96,0,96,500.00,8.23,1
175,DECODE,96,0,96,501.00,5.00,1
176,DECODE,96,0,96,502.00,5.14,1
177,DECODE,96,0,96,503.00,7.66,1
178,DECODE,96,0,96,504.00,5.20,1
179,DECODE,96,0,96,505.00,6.46,1
180,DECODE,96,0,96,506.00,4.60,1
181,DECODE,96,0,96,507.00,9.19,1
182,DECODE,96,0,96,508.00,7.35,1
183,DECODE,96,0,96,509.00,4.32,1
184,DECODE,96,0,96,510.00,4.40,1
185,DECODE,96,0,96,511.00,4.39,1
186,DECODE,96,0,96,512.00,8.14,1
187,DECODE,96,0,96,513.00,4.34,1
188,DECODE,96,0,96,514.00,5.21,1
189,DECODE,96,0,96,515.00,4.54,1
190,DECODE,96,0,96,516.00,8.80,1
191,DECODE,96,0,96,517.00,8.77,1
192,DECODE,96,0,96,518.00,5.03,1
193,DECODE,96,0,96,519.00,6.42,1
194,DECODE,96,0,96,520.00,7.15,1
195,DECODE,96,0,96,521.00,14.61,1
196,DECODE,96,0,96,522.00,7.34,1
197,DECODE,96,0,96,523.00,10.33,1
198,DECODE,96,0,96,524.00,5.31,1
199,DECODE,96,0,96,525.00,4.96,1
200,DECODE,96,0,96,526.00,4.57,1
201,DECODE,96,0,96,527.00,11.56,1
202,DECODE,96,0,96,528.00,9.65,1
203,DECODE,96,0,96,529.00,4.23,1
204,DECODE,96,0,96,530.00,7.43,1
205,DECODE,96,0,96,531.00,6.24,1
206,DECODE,96,0,96,532.00,7.75,1
207,DECODE,96,0,96,533.00,7.92,1
208,DECODE,96,0,96,534.00,9.81,1
209,DECODE,96,0,96,535.00,7.37,1
210,DECODE,96,0,96,536.00,6.89,1
211,DECODE,96,0,96,537.00,7.57,1
212,DECODE,96,0,96,538.00,4.24,1
213,DECODE,96,0,96,539.00,4.42,1
214,DECODE,96,0,96,540.00,4.57,1
215,DECODE,96,0,96,541.00,8.62,1
216,DECODE,96,0,96,542.00,10.77,1
217,DECODE,96,0,96,543.00,5.96,1
218,DECODE,96,0,96,544.00,8.06,1
219,DECODE,96,0,96,545.00,6.20,1
220,DECODE,96,0,96,546.00,4.40,1
221,DECODE,96,0,96,547.00,13.96,1
222,DECODE,96,0,96,548.00,4.36,1
223,DECODE,96,0,96,549.00,7.67,1
