pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,2,714,0,357.00,916.60,1
2,EXTEND,25,8192,0,327.68,81.02,1
3,EXTEND,67,6408,0,344.28,60.92,1
4,DECODE,93,0,93,343.91,19.15,1
5,DECODE,93,0,93,344.91,4.81,1
6,DECODE,93,0,93,345.91,4.69,1
7,DECODE,93,0,93,346.91,4.62,1
8,DECODE,93,0,93,347.91,4.66,1
9,DECODE,93,0,93,348.91,4.62,1
10,DECODE,93,0,93,349.91,4.65,1
11,DECODE,93,0,93,350.91,4.66,1
12,DECODE,93,0,93,351.91,4.62,1
13,DECODE,93,0,93,352.91,4.64,1
14,DECODE,93,0,93,353.91,4.59,1
15,DECODE,93,0,93,354.91,4.69,1
16,DECODE,93,0,93,355.91,4.63,1
17,DECODE,93,0,93,356.91,4.67,1
18,DECODE,93,0,93,357.91,4.63,1
19,DECODE,93,0,93,358.91,4.64,1
20,DECODE,93,0,93,359.91,4.70,1
21,DECODE,93,0,93,360.91,4.63,1
22,DECODE,93,0,93,361.91,4.70,1
23,DECODE,92,0,92,363.18,5.07,1
24,EXTEND,25,1681,0,355.00,28.70,1
25,DECODE,117,0,117,362.44,5.99,1
26,DECODE,117,0,117,363.44,4.82,1
27,DECODE,88,0,88,362.07,5.43,1
28,EXTEND,28,652,0,372.07,19.60,1
29,DECODE,93,0,93,364.61,4.77,1
30,EXTEND,25,1917,0,371.80,25.54,1
31,DECODE,116,0,116,367.12,4.98,1
32,EXTEND,10,98,0,346.20,23.28,1
33,DECODE,126,0,126,366.46,5.59,1
34,DECODE,126,0,126,367.46,4.93,1
35,DECODE,125,0,125,368.33,4.91,1
36,EXTEND,4,4,0,328.50,13.57,1
37,DECODE,126,0,126,368.32,4.91,1
38,EXTEND,3,3,0,315.00,14.72,1
39,DECODE,129,0,129,368.08,5.90,1
40,DECODE,129,0,129,369.08,5.10,1
41,DECODE,128,0,128,370.34,4.91,1
42,EXTEND,2,2,0,304.00,13.74,1
43,DECODE,130,0,130,370.32,5.15,1
44,DECODE,130,0,130,371.32,5.08,1
45,DECODE,125,0,125,372.69,4.91,1
46,EXTEND,5,5,0,335.80,14.56,1
47,DECODE,129,0,129,372.26,5.06,1
48,EXTEND,2,123,0,362.50,23.42,1
49,DECODE,130,0,130,373.11,5.12,1
50,EXTEND,1,1,0,368.00,63.65,1
51,DECODE,131,0,131,374.07,5.56,1
52,DECODE,131,0,131,375.07,5.61,1
53,DECODE,131,0,131,376.07,6.18,1
54,DECODE,130,0,130,377.26,5.54,1
55,EXTEND,2,2,0,368.00,14.56,1
56,DECODE,124,0,124,376.31,5.73,1
57,EXTEND,6,6,0,334.00,14.93,1
58,DECODE,126,0,126,375.10,6.10,1
59,EXTEND,5,5,0,319.80,13.76,1
60,DECODE,126,0,126,371.94,6.03,1
61,EXTEND,5,5,0,385.00,13.81,1
62,DECODE,123,0,123,371.66,6.01,1
63,EXTEND,7,499,0,380.71,21.03,1
64,DECODE,119,0,119,371.24,6.25,1
65,EXTEND,10,10,0,357.40,20.33,1
66,DECODE,115,0,115,367.81,6.41,1
67,EXTEND,13,13,0,388.38,21.15,1
68,DECODE,127,0,127,370.31,6.97,1
69,EXTEND,5,5,0,357.40,17.84,1
70,DECODE,127,0,127,370.57,5.21,1
