pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,2,607,0,303.50,1941.74,1
2,EXTEND,24,8192,0,341.33,61.56,1
3,EXTEND,65,8192,0,342.02,47.38,1
4,EXTEND,26,2475,0,338.96,29.53,1
5,DECODE,115,0,115,344.20,18.70,1
6,DECODE,115,0,115,345.20,4.53,1
7,DECODE,115,0,115,346.20,4.45,1
8,DECODE,115,0,115,347.20,4.48,1
9,DECODE,115,0,115,348.20,4.51,1
10,DECODE,115,0,115,349.20,4.48,1
11,DECODE,115,0,115,350.20,4.48,1
12,DECODE,115,0,115,351.20,4.53,1
13,DECODE,115,0,115,352.20,4.48,1
14,DECODE,115,0,115,353.20,4.48,1
15,DECODE,115,0,115,354.20,4.48,1
16,DECODE,115,0,115,355.20,4.50,1
17,DECODE,115,0,115,356.20,4.50,1
18,DECODE,115,0,115,357.20,4.55,1
19,DECODE,115,0,115,358.20,4.53,1
20,DECODE,115,0,115,359.20,4.56,1
21,DECODE,115,0,115,360.20,4.52,1
22,DECODE,115,0,115,361.20,4.56,1
23,DECODE,115,0,115,362.20,4.52,1
24,DECODE,115,0,115,363.20,4.53,1
25,DECODE,115,0,115,364.20,4.52,1
26,DECODE,115,0,115,365.20,4.51,1
27,DECODE,115,0,115,366.20,4.49,1
28,DECODE,115,0,115,367.20,4.54,1
29,DECODE,115,0,115,368.20,4.49,1
30,DECODE,115,0,115,369.20,4.53,1
31,DECODE,115,0,115,370.20,4.52,1
32,DECODE,115,0,115,371.20,4.53,1
33,DECODE,115,0,115,372.20,4.56,1
34,DECODE,115,0,115,373.20,4.56,1
35,DECODE,115,0,115,374.20,4.53,1
36,DECODE,115,0,115,375.20,4.57,1
37,DECODE,115,0,115,376.20,4.44,1
38,DECODE,115,0,115,377.20,4.55,1
39,DECODE,115,0,115,378.20,4.54,1
40,DECODE,115,0,115,379.20,4.52,1
41,DECODE,115,0,115,380.20,4.53,1
42,DECODE,115,0,115,381.20,4.51,1
43,DECODE,115,0,115,382.20,4.54,1
44,DECODE,115,0,115,383.20,4.50,1
45,DECODE,115,0,115,384.20,4.53,1
46,DECODE,115,0,115,385.20,4.53,1
47,DECODE,115,0,115,386.20,4.50,1
48,DECODE,115,0,115,387.20,4.53,1
49,DECODE,115,0,115,388.20,4.53,1
50,DECODE,115,0,115,389.20,4.54,1
51,DECODE,115,0,115,390.20,4.54,1
52,DECODE,115,0,115,391.20,4.53,1
53,DECODE,115,0,115,392.20,4.55,1
54,DECODE,115,0,115,393.20,4.52,1
55,DECODE,115,0,115,394.20,4.54,1
56,DECODE,115,0,115,395.20,4.58,1
57,DECODE,115,0,115,396.20,4.53,1
58,DECODE,115,0,115,397.20,4.55,1
59,DECODE,115,0,115,398.20,4.56,1
60,DECODE,115,0,115,399.20,4.59,1
61,DECODE,115,0,115,400.20,4.55,1
62,DECODE,115,0,115,401.20,4.63,1
63,DECODE,115,0,115,402.20,5.38,1
64,DECODE,115,0,115,403.20,5.35,1
65,DECODE,115,0,115,404.20,5.76,1
66,DECODE,115,0,115,405.20,6.47,1
67,DECODE,115,0,115,406.20,6.84,1
68,DECODE,115,0,115,407.20,6.81,1
69,DECODE,115,0,115,408.20,7.25,1
70,DECODE,115,0,115,409.20,5.89,1
71,DECODE,115,0,115,410.20,5.44,1
72,DECODE,115,0,115,411.20,5.35,1
73,DECODE,115,0,115,412.20,5.37,1
74,DECODE,115,0,115,413.20,5.38,1
75,DECODE,115,0,115,414.20,5.39,1
76,DECODE,115,0,115,415.20,5.38,1
77,DECODE,115,0,115,416.20,5.36,1
78,DECODE,115,0,115,417.20,5.38,1
79,DECODE,115,0,115,418.20,5.37,1
80,DECODE,115,0,115,419.20,5.37,1
81,DECODE,115,0,115,420.20,5.41,1
82,DECODE,115,0,115,421.20,5.36,1
83,DECODE,115,0,115,422.20,5.40,1
84,DECODE,115,0,115,423.20,5.42,1
85,DECODE,115,0,115,424.20,5.38,1
86,DECODE,115,0,115,425.20,5.37,1
87,DECODE,115,0,115,426.20,5.42,1
88,DECODE,115,0,115,427.20,5.36,1
89,DECODE,115,0,115,428.20,5.32,1
90,DECODE,115,0,115,429.20,5.40,1
91,DECODE,115,0,115,430.20,5.35,1
92,DECODE,115,0,115,431.20,5.31,1
93,DECODE,115,0,115,432.20,5.40,1
94,DECODE,115,0,115,433.20,5.30,1
95,DECODE,115,0,115,434.20,5.40,1
96,DECODE,115,0,115,435.20,5.39,1
97,DECODE,115,0,115,436.20,5.34,1
98,DECODE,115,0,115,437.20,5.36,1
99,DECODE,115,0,115,438.20,5.36,1
100,DECODE,115,0,115,439.20,5.39,1
101,DECODE,115,0,115,440.20,5.36,1
102,DECODE,115,0,115,441.20,5.36,1
103,DECODE,115,0,115,442.20,5.40,1
104,DECODE,115,0,115,443.20,5.31,1
105,DECODE,115,0,115,444.20,5.38,1
106,DECODE,115,0,115,445.20,5.39,1
107,DECODE,115,0,115,446.20,5.41,1
108,DECODE,115,0,115,447.20,5.39,1
109,DECODE,115,0,115,448.20,5.38,1
110,DECODE,115,0,115,449.20,5.44,1
111,DECODE,115,0,115,450.20,5.40,1
112,DECODE,115,0,115,451.20,5.35,1
113,DECODE,115,0,115,452.20,5.41,1
114,DECODE,115,0,115,453.20,4.55,1
115,DECODE,115,0,115,454.20,4.64,1
116,DECODE,115,0,115,455.20,4.59,1
117,DECODE,115,0,115,456.20,4.61,1
118,DECODE,115,0,115,457.20,4.64,1
119,DECODE,115,0,115,458.20,4.60,1
120,DECODE,115,0,115,459.20,4.60,1
121,DECODE,115,0,115,460.20,4.66,1
122,DECODE,115,0,115,461.20,4.62,1
123,DECODE,115,0,115,462.20,4.65,1
124,DECODE,115,0,115,463.20,4.62,1
125,DECODE,115,0,115,464.20,4.63,1
126,DECODE,115,0,115,465.20,4.61,1
127,DECODE,115,0,115,466.20,4.64,1
128,DECODE,115,0,115,467.20,4.66,1
129,DECODE,115,0,115,468.20,4.64,1
130,DECODE,115,0,115,469.20,4.65,1
131,DECODE,115,0,115,470.20,4.65,1
132,DECODE,115,0,115,471.20,4.63,1
133,DECODE,115,0,115,472.20,4.65,1
134,DECODE,115,0,115,473.20,4.64,1
135,DECODE,115,0,115,474.20,4.72,1
136,DECODE,115,0,115,475.20,4.68,1
137,DECODE,115,0,115,476.20,4.70,1
138,DECODE,115,0,115,477.20,4.84,1
139,DECODE,115,0,115,478.20,6.65,1
140,DECODE,115,0,115,479.20,4.87,1
141,DECODE,115,0,115,480.20,4.69,1
142,DECODE,115,0,115,481.20,4.56,1
143,DECODE,115,0,115,482.20,4.93,1
144,DECODE,115,0,115,483.20,5.66,1
145,DECODE,115,0,115,484.20,6.68,1
146,DECODE,115,0,115,485.20,7.08,1
147,DECODE,115,0,115,486.20,7.05,1
148,DECODE,115,0,115,487.20,6.69,1
149,DECODE,115,0,115,488.20,6.39,1
150,DECODE,115,0,115,489.20,5.48,1
151,DECODE,115,0,115,490.20,5.53,1
152,DECODE,115,0,115,491.20,5.49,1
153,DECODE,115,0,115,492.20,5.43,1
154,DECODE,115,0,115,493.20,5.50,1
155,DECODE,115,0,115,494.20,5.59,1
156,DECODE,115,0,115,495.20,5.47,1
157,DECODE,115,0,115,496.20,5.45,1
158,DECODE,115,0,115,497.20,5.49,1
159,DECODE,115,0,115,498.20,5.45,1
160,DECODE,115,0,115,499.20,5.46,1
161,DECODE,115,0,115,500.20,5.44,1
162,DECODE,115,0,115,501.20,5.58,1
163,DECODE,115,0,115,502.20,5.54,1
164,DECODE,115,0,115,503.20,5.51,1
165,DECODE,115,0,115,504.20,5.43,1
166,DECODE,115,0,115,505.20,5.58,1
167,DECODE,115,0,115,506.20,5.48,1
168,DECODE,115,0,115,507.20,5.46,1
169,DECODE,115,0,115,508.20,5.58,1
170,DECODE,115,0,115,509.20,5.51,1
171,DECODE,115,0,115,510.20,5.49,1
172,DECODE,115,0,115,511.20,5.47,1
173,DECODE,115,0,115,512.20,5.49,1
174,DECODE,115,0,115,513.20,5.49,1
175,DECODE,115,0,115,514.20,5.59,1
176,DECODE,115,0,115,515.20,5.52,1
177,DECODE,115,0,115,516.20,5.53,1
178,DECODE,115,0,115,517.20,5.53,1
179,DECODE,115,0,115,518.20,5.53,1
180,DECODE,115,0,115,519.20,5.52,1
181,DECODE,115,0,115,520.20,5.52,1
182,DECODE,115,0,115,521.20,5.52,1
183,DECODE,115,0,115,522.20,5.53,1
184,DECODE,115,0,115,523.20,5.57,1
185,DECODE,115,0,115,524.20,5.78,1
186,DECODE,115,0,115,525.20,5.95,1
187,DECODE,115,0,115,526.20,6.41,1
188,DECODE,115,0,115,527.20,6.34,1
189,DECODE,115,0,115,528.20,5.13,1
190,DECODE,115,0,115,529.20,6.72,1
191,DECODE,115,0,115,530.20,6.69,1
192,DECODE,115,0,115,531.20,7.64,1
193,DECODE,115,0,115,532.20,7.52,1
194,DECODE,115,0,115,533.20,7.52,1
195,DECODE,115,0,115,534.20,8.05,1
196,DECODE,115,0,115,535.20,5.83,1
197,DECODE,115,0,115,536.20,5.60,1
198,DECODE,115,0,115,537.20,5.60,1
199,DECODE,115,0,115,538.20,5.59,1
200,DECODE,115,0,115,539.20,5.59,1
201,DECODE,115,0,115,540.20,5.57,1
202,DECODE,115,0,115,541.20,5.56,1
203,DECODE,115,0,115,542.20,5.63,1
204,DECODE,115,0,115,543.20,5.60,1
205,DECODE,115,0,115,544.20,5.58,1
206,DECODE,115,0,115,545.20,5.65,1
207,DECODE,115,0,115,546.20,5.57,1
208,DECODE,115,0,115,547.20,5.58,1
209,DECODE,115,0,115,548.20,5.56,1
210,DECODE,115,0,115,549.20,5.61,1
211,DECODE,115,0,115,550.20,5.61,1
212,DECODE,115,0,115,551.20,5.59,1
213,DECODE,115,0,115,552.20,5.61,1
214,DECODE,115,0,115,553.20,5.64,1
215,DECODE,115,0,115,554.20,5.67,1
216,DECODE,115,0,115,555.20,5.72,1
217,DECODE,115,0,115,556.20,5.61,1
218,DECODE,115,0,115,557.20,5.62,1
219,DECODE,115,0,115,558.20,5.61,1
220,DECODE,115,0,115,559.20,5.61,1
221,DECODE,115,0,115,560.20,5.60,1
222,DECODE,115,0,115,561.20,5.60,1
223,DECODE,115,0,115,562.20,5.72,1
224,DECODE,115,0,115,563.20,5.65,1
225,DECODE,115,0,115,564.20,5.60,1
226,DECODE,115,0,115,565.20,5.73,1
227,DECODE,115,0,115,566.20,5.64,1
228,DECODE,115,0,115,567.20,5.64,1
229,DECODE,115,0,115,568.20,5.56,1
230,DECODE,115,0,115,569.20,5.59,1
231,DECODE,115,0,115,570.20,5.84,1
232,DECODE,115,0,115,571.20,5.65,1
233,DECODE,115,0,115,572.20,5.63,1
234,DECODE,115,0,115,573.20,5.63,1
235,DECODE,115,0,115,574.20,5.63,1
