pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,295,0,295.00,4125.38,1
2,EXTEND,26,8192,0,315.08,156.11,1
3,EXTEND,70,7737,0,330.87,64.43,1
4,DECODE,96,0,96,329.58,69.24,1
5,DECODE,96,0,96,330.58,13.75,1
6,DECODE,96,0,96,331.58,9.94,1
7,DECODE,96,0,96,332.58,8.76,1
8,DECODE,96,0,96,333.58,10.28,1
9,DECODE,96,0,96,334.58,6.11,1
10,DECODE,96,0,96,335.58,8.16,1
11,DECODE,96,0,96,336.58,3.99,1
12,DECODE,96,0,96,337.58,5.89,1
13,DECODE,96,0,96,338.58,5.52,1
14,DECODE,96,0,96,339.58,6.25,1
15,DECODE,96,0,96,340.58,13.37,1
16,DECODE,96,0,96,341.58,10.08,1
17,DECODE,96,0,96,342.58,12.19,1
18,DECODE,96,0,96,343.58,8.13,1
19,DECODE,96,0,96,344.58,4.02,1
20,DECODE,96,0,96,345.58,7.67,1
21,DECODE,96,0,96,346.58,4.05,1
22,DECODE,96,0,96,347.58,10.29,1
23,DECODE,96,0,96,348.58,4.00,1
24,DECODE,96,0,96,349.58,4.00,1
25,DECODE,96,0,96,350.58,4.17,1
26,DECODE,96,0,96,351.58,5.58,1
27,DECODE,96,0,96,352.58,6.96,1
28,DECODE,96,0,96,353.58,20.53,1
29,DECODE,96,0,96,354.58,9.21,1
30,DECODE,96,0,96,355.58,4.03,1
31,DECODE,96,0,96,356.58,7.57,1
32,DECODE,96,0,96,357.58,10.53,1
33,DECODE,96,0,96,358.58,4.02,1
34,DECODE,96,0,96,359.58,13.03,1
35,DECODE,96,0,96,360.58,4.03,1
36,DECODE,96,0,96,361.58,6.31,1
37,DECODE,96,0,96,362.58,7.59,1
38,DECODE,96,0,96,363.58,4.37,1
39,DECODE,96,0,96,364.58,12.72,1
40,DECODE,96,0,96,365.58,11.34,1
41,DECODE,96,0,96,366.58,7.85,1
42,DECODE,96,0,96,367.58,7.75,1
43,DECODE,96,0,96,368.58,5.00,1
44,DECODE,96,0,96,369.58,4.87,1
45,DECODE,96,0,96,370.58,8.78,1
46,DECODE,96,0,96,371.58,11.53,1
47,DECODE,96,0,96,372.58,6.04,1
48,DECODE,96,0,96,373.58,5.31,1
49,DECODE,96,0,96,374.58,6.26,1
50,DECODE,96,0,96,375.58,14.45,1
51,DECODE,96,0,96,376.58,16.85,1
52,DECODE,96,0,96,377.58,7.99,1
53,DECODE,96,0,96,378.58,4.05,1
54,DECODE,96,0,96,379.58,13.39,1
55,DECODE,96,0,96,380.58,4.06,1
56,DECODE,96,0,96,381.58,4.69,1
