pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,369,0,369.00,1810.04,1
2,EXTEND,23,8192,0,356.17,105.34,1
3,EXTEND,69,5533,0,379.61,49.08,1
4,DECODE,92,0,92,378.20,15.99,1
5,DECODE,92,0,92,379.20,4.74,1
6,DECODE,92,0,92,380.20,4.66,1
7,DECODE,92,0,92,381.20,4.48,1
8,DECODE,92,0,92,382.20,4.52,1
9,DECODE,92,0,92,383.20,4.50,1
10,DECODE,92,0,92,384.20,4.49,1
11,DECODE,92,0,92,385.20,4.48,1
12,DECODE,92,0,92,386.20,4.48,1
13,DECODE,92,0,92,387.20,4.55,1
14,DECODE,92,0,92,388.20,4.69,1
15,DECODE,92,0,92,389.20,4.56,1
16,DECODE,92,0,92,390.20,4.54,1
17,DECODE,92,0,92,391.20,4.50,1
18,DECODE,92,0,92,392.20,5.13,1
19,DECODE,92,0,92,393.20,5.12,1
20,DECODE,92,0,92,394.20,5.04,1
21,DECODE,92,0,92,395.20,5.16,1
22,DECODE,92,0,92,396.20,5.02,1
23,DECODE,92,0,92,397.20,5.09,1
24,DECODE,92,0,92,398.20,5.45,1
25,DECODE,92,0,92,399.20,5.37,1
26,DECODE,92,0,92,400.20,5.36,1
27,DECODE,92,0,92,401.20,5.42,1
28,DECODE,92,0,92,402.20,5.35,1
29,DECODE,92,0,92,403.20,5.39,1
30,DECODE,92,0,92,404.20,5.45,1
31,DECODE,92,0,92,405.20,5.37,1
32,DECODE,92,0,92,406.20,5.38,1
33,DECODE,92,0,92,407.20,5.45,1
34,DECODE,92,0,92,408.20,5.36,1
35,DECODE,92,0,92,409.20,5.37,1
36,DECODE,92,0,92,410.20,5.45,1
37,DECODE,92,0,92,411.20,5.48,1
38,DECODE,92,0,92,412.20,5.35,1
39,DECODE,92,0,92,413.20,5.38,1
40,DECODE,92,0,92,414.20,5.32,1
41,DECODE,92,0,92,415.20,5.35,1
42,DECODE,92,0,92,416.20,5.44,1
43,DECODE,92,0,92,417.20,5.46,1
44,DECODE,92,0,92,418.20,5.20,1
45,DECODE,92,0,92,419.20,5.24,1
46,DECODE,92,0,92,420.20,5.20,1
47,DECODE,92,0,92,421.20,5.23,1
48,DECODE,92,0,92,422.20,5.23,1
49,DECODE,92,0,92,423.20,5.22,1
50,DECODE,92,0,92,424.20,5.27,1
51,DECODE,92,0,92,425.20,5.29,1
52,DECODE,92,0,92,426.20,5.30,1
53,DECODE,92,0,92,427.20,5.20,1
54,DECODE,92,0,92,428.20,5.22,1
55,DECODE,92,0,92,429.20,5.27,1
