pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,12,4288,0,357.33,2833.95,1
2,EXTEND,24,8192,0,341.33,50.25,1
3,EXTEND,99,8192,0,357.09,498.05,1
4,EXTEND,38,3529,0,369.63,65.74,1
5,DECODE,171,0,171,360.47,26.20,1
6,DECODE,171,0,171,361.47,3.46,1
7,DECODE,171,0,171,362.47,3.08,1
8,DECODE,171,0,171,363.47,3.07,1
9,DECODE,171,0,171,364.47,3.09,1
10,DECODE,171,0,171,365.47,3.12,1
11,DECODE,171,0,171,366.47,3.07,1
12,DECODE,171,0,171,367.47,3.14,1
13,DECODE,171,0,171,368.47,3.10,1
14,DECODE,171,0,171,369.47,3.10,1
15,DECODE,171,0,171,370.47,3.16,1
16,DECODE,171,0,171,371.47,3.13,1
17,DECODE,171,0,171,372.47,3.10,1
18,DECODE,171,0,171,373.47,3.11,1
19,DECODE,171,0,171,374.47,3.09,1
20,DECODE,171,0,171,375.47,3.13,1
21,DECODE,171,0,171,376.47,3.17,1
22,DECODE,171,0,171,377.47,3.15,1
23,DECODE,171,0,171,378.47,3.10,1
24,DECODE,171,0,171,379.47,3.14,1
25,DECODE,171,0,171,380.47,3.10,1
26,DECODE,171,0,171,381.47,3.64,1
27,DECODE,171,0,171,382.47,3.73,1
28,DECODE,171,0,171,383.47,3.74,1
29,DECODE,171,0,171,384.47,3.68,1
30,DECODE,171,0,171,385.47,3.65,1
31,DECODE,171,0,171,386.47,3.68,1
32,DECODE,171,0,171,387.47,3.69,1
33,DECODE,171,0,171,388.47,3.74,1
34,DECODE,171,0,171,389.47,3.77,1
35,DECODE,171,0,171,390.47,3.71,1
36,DECODE,171,0,171,391.47,3.72,1
37,DECODE,171,0,171,392.47,3.75,1
38,DECODE,171,0,171,393.47,3.81,1
39,DECODE,171,0,171,394.47,3.77,1
40,DECODE,171,0,171,395.47,5.03,1
41,DECODE,171,0,171,396.47,3.90,1
42,DECODE,171,0,171,397.47,3.75,1
43,DECODE,171,0,171,398.47,4.71,1
44,DECODE,171,0,171,399.47,3.75,1
45,DECODE,171,0,171,400.47,3.76,1
46,DECODE,171,0,171,401.47,3.82,1
47,DECODE,171,0,171,402.47,3.68,1
48,DECODE,171,0,171,403.47,3.73,1
49,DECODE,171,0,171,404.47,3.75,1
50,DECODE,171,0,171,405.47,3.71,1
51,DECODE,171,0,171,406.47,3.70,1
52,DECODE,171,0,171,407.47,3.96,1
53,DECODE,171,0,171,408.47,6.64,1
54,DECODE,171,0,171,409.47,4.08,1
55,DECODE,171,0,171,410.47,3.74,1
56,DECODE,171,0,171,411.47,3.74,1
57,DECODE,171,0,171,412.47,3.74,1
58,DECODE,171,0,171,413.47,3.75,1
59,DECODE,171,0,171,414.47,3.77,1
60,DECODE,171,0,171,415.47,3.79,1
61,DECODE,171,0,171,416.47,3.72,1
62,DECODE,171,0,171,417.47,3.82,1
63,DECODE,171,0,171,418.47,4.30,1
64,DECODE,171,0,171,419.47,4.67,1
65,DECODE,171,0,171,420.47,5.71,1
66,DECODE,171,0,171,421.47,6.81,1
67,DECODE,171,0,171,422.47,5.17,1
68,DECODE,171,0,171,423.47,5.13,1
69,DECODE,171,0,171,424.47,5.02,1
70,DECODE,171,0,171,425.47,4.73,1
71,DECODE,171,0,171,426.47,4.65,1
72,DECODE,171,0,171,427.47,4.64,1
73,DECODE,171,0,171,428.47,3.63,1
74,DECODE,171,0,171,429.47,3.54,1
75,DECODE,171,0,171,430.47,3.95,1
76,DECODE,171,0,171,431.47,4.01,1
77,DECODE,171,0,171,432.47,3.34,1
78,DECODE,171,0,171,433.47,3.97,1
79,DECODE,171,0,171,434.47,3.92,1
80,DECODE,171,0,171,435.47,4.84,1
81,DECODE,171,0,171,436.47,4.23,1
82,DECODE,171,0,171,437.47,3.60,1
83,DECODE,171,0,171,438.47,3.54,1
84,DECODE,171,0,171,439.47,4.74,1
85,DECODE,171,0,171,440.47,4.77,1
86,DECODE,171,0,171,441.47,5.65,1
87,DECODE,171,0,171,442.47,4.86,1
88,DECODE,171,0,171,443.47,5.03,1
89,DECODE,171,0,171,444.47,4.74,1
90,DECODE,171,0,171,445.47,4.68,1
91,DECODE,171,0,171,446.47,4.91,1
92,DECODE,171,0,171,447.47,4.75,1
93,DECODE,171,0,171,448.47,4.98,1
94,DECODE,171,0,171,449.47,4.07,1
95,DECODE,171,0,171,450.47,3.85,1
96,DECODE,171,0,171,451.47,4.22,1
97,DECODE,171,0,171,452.47,4.17,1
98,DECODE,171,0,171,453.47,3.35,1
99,DECODE,171,0,171,454.47,3.32,1
100,DECODE,171,0,171,455.47,3.25,1
101,DECODE,171,0,171,456.47,3.28,1
102,DECODE,171,0,171,457.47,3.25,1
103,DECODE,171,0,171,458.47,3.27,1
104,DECODE,171,0,171,459.47,3.26,1
105,DECODE,171,0,171,460.47,3.33,1
106,DECODE,171,0,171,461.47,3.24,1
107,DECODE,171,0,171,462.47,3.33,1
108,DECODE,171,0,171,463.47,3.28,1
109,DECODE,171,0,171,464.47,3.27,1
110,DECODE,171,0,171,465.47,3.25,1
111,DECODE,171,0,171,466.47,3.29,1
112,DECODE,171,0,171,467.47,3.31,1
113,DECODE,171,0,171,468.47,3.38,1
114,DECODE,171,0,171,469.47,3.31,1
115,DECODE,171,0,171,470.47,3.33,1
116,DECODE,171,0,171,471.47,3.30,1
117,DECODE,171,0,171,472.47,3.35,1
118,DECODE,171,0,171,473.47,3.28,1
119,DECODE,171,0,171,474.47,3.28,1
120,DECODE,171,0,171,475.47,3.31,1
121,DECODE,171,0,171,476.47,3.29,1
122,DECODE,171,0,171,477.47,3.30,1
123,DECODE,171,0,171,478.47,3.33,1
124,DECODE,171,0,171,479.47,3.29,1
125,DECODE,171,0,171,480.47,3.36,1
126,DECODE,171,0,171,481.47,3.33,1
127,DECODE,171,0,171,482.47,3.33,1
128,DECODE,171,0,171,483.47,3.33,1
129,DECODE,171,0,171,484.47,3.32,1
130,DECODE,171,0,171,485.47,3.33,1
131,DECODE,171,0,171,486.47,3.33,1
132,DECODE,171,0,171,487.47,3.34,1
133,DECODE,171,0,171,488.47,3.37,1
134,DECODE,171,0,171,489.47,3.32,1
135,DECODE,171,0,171,490.47,3.34,1
136,DECODE,171,0,171,491.47,3.32,1
137,DECODE,171,0,171,492.47,3.37,1
138,DECODE,171,0,171,493.47,3.35,1
139,DECODE,171,0,171,494.47,3.35,1
140,DECODE,171,0,171,495.47,4.28,1
141,DECODE,171,0,171,496.47,4.63,1
142,DECODE,171,0,171,497.47,3.94,1
143,DECODE,171,0,171,498.47,3.89,1
144,DECODE,171,0,171,499.47,3.90,1
145,DECODE,170,0,170,500.54,4.18,1
146,EXTEND,32,2197,0,349.03,31.47,1
147,DECODE,202,0,202,477.54,17.95,1
148,DECODE,202,0,202,478.54,3.90,1
149,DECODE,202,0,202,479.54,3.75,1
150,DECODE,202,0,202,480.54,3.78,1
151,DECODE,202,0,202,481.54,3.73,1
152,DECODE,202,0,202,482.54,3.72,1
153,DECODE,202,0,202,483.54,3.74,1
154,DECODE,202,0,202,484.54,3.73,1
155,DECODE,202,0,202,485.54,3.73,1
156,DECODE,202,0,202,486.54,3.73,1
157,DECODE,202,0,202,487.54,3.76,1
158,DECODE,202,0,202,488.54,3.77,1
159,DECODE,202,0,202,489.54,3.76,1
160,DECODE,202,0,202,490.54,3.80,1
161,DECODE,202,0,202,491.54,3.79,1
162,DECODE,202,0,202,492.54,3.77,1
163,DECODE,202,0,202,493.54,3.80,1
164,DECODE,202,0,202,494.54,3.78,1
165,DECODE,202,0,202,495.54,3.78,1
166,DECODE,202,0,202,496.54,3.79,1
167,DECODE,202,0,202,497.54,3.79,1
168,DECODE,202,0,202,498.54,4.14,1
169,DECODE,202,0,202,499.54,3.82,1
170,DECODE,201,0,201,500.51,3.87,1
171,EXTEND,18,1226,0,348.44,23.28,1
172,DECODE,218,0,218,488.90,5.13,1
173,EXTEND,10,533,0,348.00,22.38,1
174,DECODE,228,0,228,483.72,4.95,1
175,DECODE,228,0,228,484.72,3.93,1
176,DECODE,228,0,228,485.72,3.86,1
177,DECODE,228,0,228,486.72,3.88,1
178,DECODE,228,0,228,487.72,3.91,1
179,DECODE,228,0,228,488.72,3.88,1
180,DECODE,228,0,228,489.72,3.94,1
181,DECODE,228,0,228,490.72,3.94,1
182,DECODE,228,0,228,491.72,3.93,1
183,DECODE,228,0,228,492.72,3.93,1
184,DECODE,228,0,228,493.72,3.91,1
185,DECODE,228,0,228,494.72,3.91,1
186,DECODE,228,0,228,495.72,3.99,1
187,DECODE,228,0,228,496.72,3.94,1
188,DECODE,228,0,228,497.72,3.95,1
189,DECODE,228,0,228,498.72,3.88,1
190,DECODE,228,0,228,499.72,4.60,1
191,DECODE,228,0,228,500.72,4.53,1
192,DECODE,228,0,228,501.72,4.54,1
193,DECODE,228,0,228,502.72,4.57,1
194,DECODE,228,0,228,503.72,4.54,1
195,DECODE,228,0,228,504.72,4.51,1
196,DECODE,228,0,228,505.72,4.60,1
197,DECODE,228,0,228,506.72,4.49,1
198,DECODE,228,0,228,507.72,4.56,1
199,DECODE,228,0,228,508.72,4.53,1
200,DECODE,228,0,228,509.72,4.56,1
201,DECODE,228,0,228,510.72,4.48,1
202,DECODE,228,0,228,511.72,4.51,1
203,DECODE,228,0,228,512.72,4.51,1
204,DECODE,228,0,228,513.72,3.82,1
205,DECODE,228,0,228,514.72,4.54,1
206,DECODE,228,0,228,515.72,4.63,1
207,DECODE,228,0,228,516.72,4.86,1
208,DECODE,228,0,228,517.72,4.95,1
209,DECODE,228,0,228,518.72,4.89,1
210,DECODE,228,0,228,519.72,4.90,1
211,DECODE,228,0,228,520.72,4.85,1
